url,playlistName,saves
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,648 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,2010s Country,"606,904 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1BzILRveYHb,Sunny Day,"735,431 saves"
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,034 saves"
https://open.spotify.com/playlist/3FgcicJUPr6gWHgXJ8pB6C,country hits everyone knows,"13,230 saves"
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","9,744 saves"
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,545 saves"
https://open.spotify.com/playlist/4ZmCS4rWUw3osS59yqaMQr,country music that's actually good,"21,148 saves"
https://open.spotify.com/playlist/5pxItCRqm3tt66tNtAE9sg,GOOD VIBES COUNTRY 🤠,"7,518 saves"
https://open.spotify.com/playlist/0M9Ac5OGUGamkik8c0aAea,country music for lake days,"4,861 saves"
https://open.spotify.com/playlist/1lIVSWQvAFBrPLPh1IGpxt,backyard country BBQ,"5,883 saves"
https://open.spotify.com/playlist/4T5xI8GRwiB5AqXG3ojxmJ,2013-2015 Country,"4,875 saves"
https://open.spotify.com/playlist/1BlnbozVtU5kZBxaCFEzhb,Sandbar Playlist🏖,"4,641 saves"
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,261 saves"
https://open.spotify.com/playlist/74IixZCn2p16t6f5ZMAbjS,Country Rock 2024,"17,465 saves"
https://open.spotify.com/playlist/0wqUVPa19eClnNClEMQQoY,2010’s Country Hits,"6,309 saves"
https://open.spotify.com/playlist/5nLoSgNGM0ROb80fnxpSJl,SUMMER COUNTRY ☀️🍉🏝️,"58,251 saves"
https://open.spotify.com/playlist/5lPkoM2CSE5OCiqq56loqe,Country Beer Drinking Songs,"17,864 saves"
https://open.spotify.com/playlist/1qwbqrnuPTsQNcagyNut9H,Tiki Bar Island Music,"8,797 saves"
