url,playlistName,saves
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"305,695 saves"
https://open.spotify.com/playlist/1cpHXPYtZIvUbQ6Nen8gSm,Winning Isn’t For Everyone,"1,337 saves"
https://open.spotify.com/playlist/4TvFtTlSUlfGqqBvi9TIim,sautéing and slow dancing,"236,431 saves"
https://open.spotify.com/playlist/5TUWnksiKh33zXe3toaZM4,Wednesday Morning ☕️,"1,391 saves"
https://open.spotify.com/playlist/1iMEXT9H1t0xNDAh8Trynt,Jack Savoretti Best Of,"45,773 saves"
https://open.spotify.com/playlist/5slWRbFcrkQoT7k5mYOC6A,Brandi Carlile - Complete,"16,588 saves"
https://open.spotify.com/playlist/0RRHCRjkjvRqzEUpybpgNH,100 BEST COVERS of all times,"9,068 saves"
https://open.spotify.com/playlist/1ylRs58bgb0vc6fsJ8nrCO,Doing my medicine,"6,854 saves"
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","10,125 saves"
https://open.spotify.com/playlist/0LPsYH4hIRjLUKXuZd2vAt,Coffeehouse,"168,575 saves"
https://open.spotify.com/playlist/3ZJ3tiNi2aKblhloHgz9R8,Acoustic Chill 2024 💿,"49,126 saves"
https://open.spotify.com/playlist/4Mjsp6aOjFREthDsGAtUHA,Bar Music 2024,"9,714 saves"
https://open.spotify.com/playlist/4COq7H3Qb5ts5OSpsgImO6,rock & cigarettes,"6,550 saves"
https://open.spotify.com/playlist/6JUng9Z6Phpx9r4Zg68MxX,Alt Country • Folk • Americana • Roots • Acoustic • Singer Songwriter,"5,167 saves"
https://open.spotify.com/playlist/7pcwl7pxlG14JJGv0KzxAp,Covers (that are better than the originals),"31,043 saves"
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"305,696 saves"
https://open.spotify.com/playlist/0JTZ9k6LOpdUkMtEAK8Oer,quiet coffee morning,"16,048 saves"
https://open.spotify.com/playlist/5Av6VbvC17372uc3UP1GPn,Whoa-hoa-hoa-hoa-hoa season,"43,212 saves"
https://open.spotify.com/playlist/3rXzNZZeRMZEFEwlQjl1tE,Wedding Songs 💍,"119,769 saves"
https://open.spotify.com/playlist/79a86h0CeTF1sW8vpONSw9,Twilight Saga - Complete Soundtrack,"464,910 saves"
https://open.spotify.com/playlist/72CtON9Gl1rS2Hvk6ktPhA,Breakfast & Coffe Music 2024,"50,123 saves"
https://open.spotify.com/playlist/0VXpTUM9F0Wi3Uvn7hhOzL,autumn vibes,"31,047 saves"
https://open.spotify.com/playlist/12vj6nTcnOnc6qdrr6R6Xj,Crepúsculo - músicas da saga,"82,228 saves"
https://open.spotify.com/playlist/71vnnbslUNfNBuSrjm9krQ,cozy rainy day vibes,"14,129 saves"
https://open.spotify.com/playlist/7dH5BChboIDJ9Zp5IUk18E,Starbucks Coffeehouse - acoustic coffeehouse,"16,707 saves"
https://open.spotify.com/playlist/7pcwl7pxlG14JJGv0KzxAp,Covers (that are better than the originals),"31,044 saves"
https://open.spotify.com/playlist/3tVWNtaJpCKHlQuElSZALa,crepúsculo soundtrack,"9,864 saves"
https://open.spotify.com/playlist/4Xv7w5RBLUz71sSzIs4C6b,Acoustic Covers of Popular Songs,"233,938 saves"
https://open.spotify.com/playlist/5fPDWsuu7rjLdrfLkJP0mm,Best Acoustic Covers,"9,503 saves"
https://open.spotify.com/playlist/5y1ZMJk71DTt4qkbpPiacw,Saturday Morning Coffee,"1,881 saves"
https://open.spotify.com/playlist/7vlFZEU9lXqmDXNxwrv7xD,Best Modern Folk Music,"9,275 saves"
https://open.spotify.com/playlist/1URfoVZ0TuxvwulPDIuSfv,Best Acoustic Guitar Songs,"67,341 saves"
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"305,698 saves"
https://open.spotify.com/playlist/1CnDCN10TJZjw6K2H3gNRv,Hits 2024 🔥 🔥 Aktuelle Charts und die besten Songs 2024 🔝 🙌,"40,289 saves"
https://open.spotify.com/playlist/0x1JwnJC2VlsXSZs87F6TZ,Sommer Hits 2024 🌞 Summer 2024 🌴,"23,334 saves"
https://open.spotify.com/playlist/54YvEWG6zDGlv6bsIBKDkk,Retail Store | Upbeat Pop Hits 2024 (CLEAN) 🛍️,"1,869 saves"
https://open.spotify.com/playlist/7ng7KAIFo8PVtQP1L8z2aU,Broken songs 💔 - English,"9,411 saves"
https://open.spotify.com/playlist/52BZIYMOjwKIRneN6CSNJX,deprie lieder💔😭🖕🏻,"6,188 saves"
https://open.spotify.com/playlist/127rFNYmrIt6aoYnhyuPQ0,Mellow Music 2024,"5,361 saves"
