url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4t4K4w,This Is Ásgeir,"20,985 saves"
https://open.spotify.com/playlist/4I62EW5TNHq8We12uVlvKA,Ásgeir Trausti,"2,034 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSM0Vq39VM1S,Réveil en douceur,"172,022 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0611i4oGheJ,Soft & Slow,"454,446 saves"
https://open.spotify.com/playlist/37i9dQZF1DX42c5TkSUfEb,Au calme,"767,980 saves"
https://open.spotify.com/playlist/37i9dQZF1DX79N7YUDFu8f,Easy On Saturday,"112,654 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4Umko6nOmN7,Lugnt & Skönt,"620,909 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbvABJXBIyiY,Rainy Day,"410,018 saves"
https://open.spotify.com/playlist/72U9wNe1fkxYW68gh0TbO3,Icelandic Playlist,"10,365 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1j96SzHv3js,Morgenkaffe,"235,980 saves"
https://open.spotify.com/playlist/3nu7T9lmz8oUTzj9gQ9KEQ,íslensk lög sem allir eiga að þekkja,"4,855 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4INov2FfpME,Café & Música,"40,691 saves"
https://open.spotify.com/playlist/3UEhUvjRiG3JUDqwjOo4A4,元スタバ店員が厳選する歴代BGM,"4,948 saves"
https://open.spotify.com/playlist/37i9dQZF1DXc0aozDLZsk7,No Stress,"476,144 saves"
https://open.spotify.com/playlist/4rI9w0uD91D2TIkmCspN0L,Ásgeir – The Complete Playlist,"3,780 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4HvY8T59VN2,Chilled Indie,"73,589 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0FJ8JYkqiJu,Just Chill,"391,977 saves"
https://open.spotify.com/playlist/37i9dQZF1DX3asLxmR3A9e,Best of Indie 2014,"79,318 saves"
https://open.spotify.com/playlist/3zUdO8wvOYhcvgec4R3BQ4,Iceland Road Trip,"14,826 saves"
https://open.spotify.com/playlist/1IXmrqJSvBQoNmCXFWq0d6,Sundown Songwriters,"21,330 saves"
https://open.spotify.com/playlist/5GK8pmvQqYYWzBRFamgvL8,PES 2016 (SOUNDTRACK) ⚽,"1,666 saves"
https://open.spotify.com/playlist/37i9dQZF1DWUDoJcM4v6Tm,The Wilds,"715,620 saves"
https://open.spotify.com/playlist/1Pa1fH4hCYwoSnWtamtIGE,abc lounge radio,"7,496 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdEsjhZLqzBi,Chill Total,"56,460 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5qwHeIGQ14o,Chilled Afternoon,"197,102 saves"
https://open.spotify.com/playlist/2mHjUnGxlZ4QEa13HqH587,CHILL SEXY VIBES,"4,914 saves"
https://open.spotify.com/playlist/37i9dQZF1DXaLaoaQqrfyO,Indie Pop 2010s,"349,526 saves"
https://open.spotify.com/playlist/6tL5dElT453HHbpHWhaEvr,Ein Sommerabend im Garten,"1,193 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdJqnaw1s7iq,voltage,"47,012 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdLiIgdzcFNk,Slappað af,"17,139 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWVsh2vXzlKFb,Summer Indie,"564,589 saves"
https://open.spotify.com/playlist/37i9dQZF1DWURugcFfOfEH,good energy,"389,983 saves"
https://open.spotify.com/playlist/37i9dQZF1DWYRdd9noPgqB,Feel Good,"291,439 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXT8uSSn6PRy,Hot Hits Canada,"897,247 saves"
https://open.spotify.com/playlist/2hmLDliFT9mW84XHxRUzwx,Summer Vibes 2024 🌞🌴 Chill Hits,"290,425 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,614 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcx1szy2g67M,Summer 2024,"617,696 saves"
https://open.spotify.com/playlist/37i9dQZF1DWUW2bvSkjcJ6,New Music Friday Deutschland,"819,284 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4,ALT NOW,"602,402 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWvoJqVv7uOD,Everyday Favorites,"442,967 saves"
https://open.spotify.com/playlist/28oY1vSsipRE5VOyLDQqed,triple j's Like A Version,"308,551 saves"
https://open.spotify.com/playlist/131wVohjHrpv3U321ZzFzD,Playlist Bonne humeur 🌞 | Hits feel good,"33,552 saves"
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,952 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4W3aJJYCDfV,New Music Friday UK,"860,639 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5WTH49Vcnqp,Front Left,"566,876 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbO6rt3GhXDY,Indie Pop Hits,"149,229 saves"
https://open.spotify.com/playlist/37i9dQZF1DX8DAKoukubXJ,Letní chill,"66,371 saves"
https://open.spotify.com/playlist/2LGmNuz7V96ah9hSNzlu1i,RUNNER GIRL JAMS👟🏃‍♀️🎧🔥,"15,033 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcecv7ESbOPu,New Music Friday Sweden,"215,451 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWAv76uXmtxB,romanticizing life,"16,045 saves"
https://open.spotify.com/playlist/5wY6zoFktPSgcikEnXIfJW,Whisky Neat🥃,"5,817 saves"
https://open.spotify.com/playlist/37i9dQZF1DX742okrrpwah,New Music Friday France,"351,635 saves"
https://open.spotify.com/playlist/6TvutItQch5ry84ppTRPWN,Matin motivé ! ☀️☀️ Réveil de bonne humeur,"22,901 saves"
https://open.spotify.com/playlist/37i9dQZF1DWV3RrjH1jDkx,New Music Friday Norway,"188,483 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSwyaV6GLT48,summer songs,"104,816 saves"
https://open.spotify.com/playlist/37i9dQZF1DX7FV7CCq9byu,Ny Pop,"173,302 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2DKrE9X6Abv,end credits,"758,284 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWGzo2lhvYlP,Homework motivation,"548,600 saves"
https://open.spotify.com/playlist/37i9dQZF1DX8hcTuUCeYxa,Indie Brandneu,"169,164 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZq91oLsHZvy,Indie Running,"696,915 saves"url,playlistName,saves
https://open.spotify.com/playlist/0VTTnJgEPcBYWKddDZ7iwo,pampaantok kapag matutulog nako,"39,417 saves"
https://open.spotify.com/playlist/2JtMCwq7aSoxf4EACEqZL9,LAGU INGGRIS SAD VIBES🤍✨,"76,031 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2Nmhna,This Is Seafret,"37,293 saves"
https://open.spotify.com/playlist/4AO6oKCkkkC5SXZoak13S5,sad galau brutal 😢,"26,550 saves"
https://open.spotify.com/playlist/3yu993u6IZwuE2kUphZoZt,para dormir más agusto que un marihuano y soñar bonito,"33,080 saves"
https://open.spotify.com/playlist/2ZnAWYy4AOs8tpRUCGF6Py,Sad playlist to cry to at 3am 🌃,"28,209 saves"
https://open.spotify.com/playlist/1zunq9gfybWXOU4Eqg5jiP,comfort songs to sleep,"19,215 saves"
