url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO30Fe5W,This Is Bobby Bazini,"1,150 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVzZlRWgqAGH,BUTTER,"813,893 saves"
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,648 saves"
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,315 saves"
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,993 saves"
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,278 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcgNXUHsZlwX,Café montréalais,"131,562 saves"
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,632 saves"
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,021 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWv6MSZULLBi,Folk & Friends,"165,677 saves"
https://open.spotify.com/playlist/37i9dQZF1DWV5vqkTng2MA,the new retro,"407,064 saves"
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,202 saves"
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,551 saves"
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,703 saves"
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,565 saves"
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,972 saves"
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,887 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2p8kf1,This Is Gizmo Varillas,"2,245 saves"
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,382 saves"
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,450 saves"
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,613 saves"
https://open.spotify.com/playlist/5bR2oXeWXCbww1T0vqaUeF,Whiskey Blues Music | Best Of Slow Blues Rock Ballads | Fantastic Electric Guitar Blues,"17,139 saves"
https://open.spotify.com/playlist/6nNC077uL9u2hy5UKBtB8N,Suits Soundtrack [All Seasons],"151,179 saves"
https://open.spotify.com/playlist/37i9dQZF1DX28npkgy2RE4,Modern Eclectic,"418,872 saves"
https://open.spotify.com/playlist/0PpqRpjC3DB1Ac2g31Bz3g,Lawyer vibes,"1,414 saves"
https://open.spotify.com/playlist/1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop,"14,286 saves"
https://open.spotify.com/playlist/6eoW6a4c8Bu2U7Grw5KSgG,@specter.br,"2,275 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3X0XLv,This Is Felix Leclerc,"1,223 saves"
https://open.spotify.com/playlist/5LWOUeU4MyUWwL6B5s2GB8,Cafe Jazz,"5,527 saves"
https://open.spotify.com/playlist/53QXe3rr5ExTY6xVAQC9kc,CBC Music Top 20,"4,313 saves"
https://open.spotify.com/playlist/3i85OZp17tSPHmvk1W8RSi,Good Morning! Wake Up Happy • Classics • Soul • Indie • Folk • Rock • Feel Good • Coffee • Sunshine,"57,280 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2V39TJJm7M3,Joyland Festival Official Playlist,"77,993 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3TfxjL,This Is Imelda May,"11,726 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3zKews,This Is Victoria Monét,"32,672 saves"
https://open.spotify.com/playlist/3SsPWyQnAh1ccWEXZPYaCY,R&B 2024 - Best R&B Songs Playlist (RNB Music 2024),"37,679 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0SPPXJeeVcg,100 Greatest R&B Songs of the Streaming Era,"277,499 saves"
https://open.spotify.com/playlist/5YSWJV8CuC6a2KK2zArskA,Bedroom Playlist 2024 🔥,"397,328 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B,"640,584 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1wNY9tfWQsS,Women of R&B,"590,707 saves"
https://open.spotify.com/playlist/0pIgFk5MsMOpAl8uGamVol,Victoria Monét: Complete Collection,"6,023 saves"
https://open.spotify.com/playlist/37i9dQZF1DWUW2bvSkjcJ6,New Music Friday Deutschland,"818,439 saves"
https://open.spotify.com/playlist/68P6Y8AJy6Ofv1fv70ANDp,Lounge Chillout (Bar & Café) Dinner Chill Music,"128,233 saves"
https://open.spotify.com/playlist/064RdfIj9hWWopvle99QcK,Hotel Lounge Music 🍸 Bar Chill Jazz Mix,"69,283 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbm6HfkbMtFZ,Feel Good Dinner,"726,955 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWp9JrEQN7W1,Getting Ready 💋,"279,543 saves"
https://open.spotify.com/playlist/37i9dQZF1DX7FY5ma9162x,R&B Favourites,"275,478 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcecv7ESbOPu,New Music Friday Sweden,"215,360 saves"
https://open.spotify.com/playlist/37i9dQZF1DWV3RrjH1jDkx,New Music Friday Norway,"188,259 saves"
