url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/6kthdfbq97PF7JpANEZgrM,HIP HOP DAS ANTIGAS // AS MAIS ESCUTADAS DOS ANOS 2000 🔥🎼,"68,716 saves",Erick musico,https://open.spotify.com/user/31p3f5eizbzbonjak76phkoaxieq
https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","382,922 saves",Esydia,https://open.spotify.com/user/savz8vts72hqdy7von3mqc29g
https://open.spotify.com/playlist/748QkAz67Glx7j9XMNMrgV,90s/2000s Bangers,"6,599 saves",Lachlan Bernard,https://open.spotify.com/user/lpramberg
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"177,403 saves",Tam Hoffman-Levy,https://open.spotify.com/user/12142901212
https://open.spotify.com/playlist/1HCSOLU1vRfhXGvvRAad3C,90er und 2000er Top Hits,"28,571 saves",kallilucahsen,https://open.spotify.com/user/kallilucahsen
https://open.spotify.com/playlist/5ZARfvVlsH1eVFjhjheL9A,Hip Hop Anos 2000,"64,154 saves",Guilherme Dilelis,https://open.spotify.com/user/12162082047
https://open.spotify.com/playlist/3LxAucWWAt9iawKAB2zF8t,fuck what i said it dont mean shit now,"2,986 saves",danabbott97,https://open.spotify.com/user/danabbott97
https://open.spotify.com/playlist/12kPjYo6GyCzamnpET3Xd9,Empowering Breakup Songs,"22,600 saves",thriftshop88,https://open.spotify.com/user/thriftshop88
https://open.spotify.com/playlist/51cdm8VHe8GtiHUNPxWGSW,Ultimate Millenials-Playlist (1995-2005),"16,337 saves",danieljelski,https://open.spotify.com/user/danieljelski
https://open.spotify.com/playlist/3JMN0MpX13RyPIPaj9DIQc,2000er ✨flashback ✨,"30,166 saves",die.kim,https://open.spotify.com/user/un83daiyr9y0fgzxl6v9qfij0
https://open.spotify.com/playlist/6mPOHxLsi156NVojQMhGhi,DINAMITE 98 SÓ AS MELHORES,"6,897 saves",Eduxline,https://open.spotify.com/user/txu30eps1tf6hefczdlcb29f7
https://open.spotify.com/playlist/2doTIbDhEOK1PjAUTpjYsU,SAMUEL (Arte) - BO originale,"7,893 saves",Antoine Liquier,https://open.spotify.com/user/myriam.liquier
https://open.spotify.com/playlist/048kreA4wf7WSSz8NuPEz6,"90s & 2000s Hip Hop, Rap, R&B","98,581 saves",Marky Gannon,https://open.spotify.com/user/thyra0307
https://open.spotify.com/playlist/5TsokYgtQL0Uuv6p8iaHHh,Festivalbar Novanta / Duemila,"21,811 saves",Darione,https://open.spotify.com/user/2hfadvieyvlxf45caqhpbkar3
