url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,907 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"161,835 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/3FgcicJUPr6gWHgXJ8pB6C,country hits everyone knows,"13,725 saves",co112288,https://open.spotify.com/user/co112288
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","10,175 saves",Craig Breckheimer,https://open.spotify.com/user/1172706708
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,473 saves",Ty Kirkland,https://open.spotify.com/user/7ztab7j11w9y9vartxq3jjwb9
https://open.spotify.com/playlist/4ZmCS4rWUw3osS59yqaMQr,country music that's actually good,"22,573 saves",morgan jarolimek,https://open.spotify.com/user/moosavage
https://open.spotify.com/playlist/1lIVSWQvAFBrPLPh1IGpxt,backyard country BBQ,"5,909 saves",Emily Pickel,https://open.spotify.com/user/1212983440
https://open.spotify.com/playlist/4T5xI8GRwiB5AqXG3ojxmJ,2013-2015 Country,"4,925 saves",Tara Steensma,https://open.spotify.com/user/21moka5twjqg3i6f3ltww5nbq
https://open.spotify.com/playlist/74IixZCn2p16t6f5ZMAbjS,Country Rock 2024,"17,692 saves",Pure Country,https://open.spotify.com/user/osicktk
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,471 saves",Emily,https://open.spotify.com/user/pqeorh1xzmmlqy4r66p30le6v
https://open.spotify.com/playlist/0M9Ac5OGUGamkik8c0aAea,country music for lake days,"4,871 saves",hannah roach,https://open.spotify.com/user/hannahr_0518
https://open.spotify.com/playlist/1BlnbozVtU5kZBxaCFEzhb,Sandbar Playlist🏖,"4,685 saves",z_warrd,https://open.spotify.com/user/z_warrd
https://open.spotify.com/playlist/0wqUVPa19eClnNClEMQQoY,2010’s Country Hits,"6,393 saves",Kyle Prenger,https://open.spotify.com/user/joe.buh
https://open.spotify.com/playlist/5nLoSgNGM0ROb80fnxpSJl,SUMMER COUNTRY ☀️🍉🏝️,"58,166 saves",Filtr US,https://open.spotify.com/user/myplay.com
https://open.spotify.com/playlist/5lPkoM2CSE5OCiqq56loqe,Country Beer Drinking Songs,"17,927 saves",Eric Lacey,https://open.spotify.com/user/1253722244
https://open.spotify.com/playlist/4svKhN4D1Pg8DNj0J9Di4l,Country Music For Running,"1,690 saves",Mark Ludmon,https://open.spotify.com/user/1134671315
