url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"306,287 saves",Unplugged,https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy
https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,Restaurant Music 2024,"66,616 saves",Cooking Music,https://open.spotify.com/user/jc415
https://open.spotify.com/playlist/5Av6VbvC17372uc3UP1GPn,Whoa-hoa-hoa-hoa-hoa season,"44,217 saves",veronikaku,https://open.spotify.com/user/veronikakuradchik
https://open.spotify.com/playlist/3JDIjUpjyySLL8Ne0bqfkj,Détente du soir !,"8,371 saves",Benjamin Roy,https://open.spotify.com/user/benji78320
https://open.spotify.com/playlist/51qOPnQyKC8uaNbCOXuaSR,Jazz - As Melhores,"13,440 saves",Marcio Carvalho Moura,https://open.spotify.com/user/mmouracarvalho
https://open.spotify.com/playlist/79a86h0CeTF1sW8vpONSw9,Twilight Saga - Complete Soundtrack,"465,118 saves",KULTPOP!,https://open.spotify.com/user/ikd5w5sgnw6dbvzb3vfaycex8
https://open.spotify.com/playlist/5fPDWsuu7rjLdrfLkJP0mm,Best Acoustic Covers,"9,560 saves",Alessio Ansini,https://open.spotify.com/user/anzinen
https://open.spotify.com/playlist/0QtBQxLZzKKuSunmAAIBwy,All Twilight Songs,"14,178 saves",Rosetail05,https://open.spotify.com/user/ws7zkspfuvmmxfa9aeh1vmvef
https://open.spotify.com/playlist/2O18dCV9uoGTyxN5HLJkTo,twilight songs - in order of appearance,"228,659 saves",isabelle 🍂,https://open.spotify.com/user/livthfa49q7opximeum9dwwox
https://open.spotify.com/playlist/12vj6nTcnOnc6qdrr6R6Xj,Crepúsculo - músicas da saga,"82,314 saves",Mariana Henrique,https://open.spotify.com/user/22txppdfmiqzdntxjcvlcfywa
https://open.spotify.com/playlist/32uUQ3IV4pppRtsQKcJhPs,MUSICA SOTTOFONDO,"8,478 saves",Federicamasella,https://open.spotify.com/user/k8fqvx3sbhjrwfzfzu10ojug7
https://open.spotify.com/playlist/5sMfgeII8qGOwcgxfqqDaM,Relax In the Bath,"84,713 saves",Matt Johnson,https://open.spotify.com/user/117687144
https://open.spotify.com/playlist/3tVWNtaJpCKHlQuElSZALa,crepúsculo soundtrack,"9,878 saves",helena almeida,https://open.spotify.com/user/is9bei7psmv6do9b9ht1nmfa1
https://open.spotify.com/playlist/6bZZjVMaDsWcNJJt9onSeR,Calm Mornings,"49,956 saves",7 Layers,https://open.spotify.com/user/7-layers
https://open.spotify.com/playlist/1LGyyzhFXmPyrcBpokBW2L,soft summer evening,"2,512 saves",ghoufrant,https://open.spotify.com/user/ghoufrant
https://open.spotify.com/playlist/7dcHBL35mCFviYiArEJlQg,Lucifer,"14,327 saves",Luca,https://open.spotify.com/user/dcs1d0sy22jlj1883vlfotsc9
https://open.spotify.com/playlist/5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,"177,301 saves",vicky's world <3,https://open.spotify.com/user/vvk188m7ueif0ygf6p9nv7bh0
https://open.spotify.com/playlist/1gpieiLrFEDBqKZ9kHVc90,James Arthur melhores ❣️🎶,"14,186 saves",James Arthur,https://open.spotify.com/user/22liutrpltyg7x5f2c7ef3iji
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"306,289 saves",Unplugged,https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy
https://open.spotify.com/playlist/1Ayv3KBdJwWTnG28iGsAYj,James Arthur Playlist,"4,275 saves",wthfbublle,https://open.spotify.com/user/31pdfjcw4rabcaxnhk4exlri77wu
https://open.spotify.com/playlist/6EjwG58sVXTjqTVgPBzwoW,James Arthur 🤗,"8,924 saves",niy@,https://open.spotify.com/user/t8alcutepoo0t075r5ugvmkq4
https://open.spotify.com/playlist/4AO6oKCkkkC5SXZoak13S5,sad galau brutal 😢,"30,124 saves",Calm Radio,https://open.spotify.com/user/p8i783maagp01g0lca7jqk8wo
https://open.spotify.com/playlist/2JtMCwq7aSoxf4EACEqZL9,LAGU INGGRIS SAD VIBES🤍✨,"77,240 saves",Playlst Recordings,https://open.spotify.com/user/31ytfhkn5yyfcm2n7ashbzapfh64
https://open.spotify.com/playlist/4kZ5vf6eD8GfF4aRfvjF5j,LAGU TIKTOK VIRAL 2024 - Lagu inggris TikTok - Hot Hits Indonesia TikTok Hits Lagu Viral TikTok FYP,"67,490 saves",Sounds of Someday | SOS,https://open.spotify.com/user/5wi87sgd8qz0wa2nhozzbwq74
https://open.spotify.com/playlist/3mt7YKTwDZI4xoehun3uFQ,pov: breakdown malala pota,"148,927 saves",riri,https://open.spotify.com/user/22epnxi7s67nyxmdsrnivcpqy
