url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/42UkpxHZzexqaG1T2Wf2yu,disney songs that slap harder than your mom last night,"178,883 saves",phwebee <3,https://open.spotify.com/user/pscny
https://open.spotify.com/playlist/6vfJDywgbubwqV6UcpEEHV,Scottish Folk & Gaelic Singing,"54,557 saves",erinhomie,https://open.spotify.com/user/erinhomie
https://open.spotify.com/playlist/6uYWvulQdSIw1L5KHmlYqn,Clásicos Disney (Castellano),"22,247 saves",JosephJey23,https://open.spotify.com/user/waaqn6xwogqgt0n4a18at4pdw
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,835 saves",Anna Marie,https://open.spotify.com/user/d7c2keocvws1ok9xgg6brob3y
https://open.spotify.com/playlist/042nNrkuQYJZ7QkZe0FzPA,i am my mother’s savage daughter,"11,130 saves",kenny,https://open.spotify.com/user/31qcmh65xhofv4hkkedbnrta7i7u
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,530 saves",Trending Music,https://open.spotify.com/user/316ngwsiqjj3lwyj7lrwstgu4z7y
https://open.spotify.com/playlist/7iwn94y55JHOD1Wk87hfuY,Best Disney Songs for Kids,"41,155 saves",POPSUGAR Entertainment,https://open.spotify.com/user/buzzsugar
https://open.spotify.com/playlist/7wZns4h0U3ndWIcDUNbypp,Traditional Celtic/Gaelic music,"8,327 saves",Dylanmuziks,https://open.spotify.com/user/37hiz9x5x4st5dzn68okgcrkb
https://open.spotify.com/playlist/6NzzbdiF7nJL4XYW3XhwKi,lagunya disney yg ak SUKAAAA,"15,609 saves",has,https://open.spotify.com/user/31i6cfooinhpl3xmgh26coqnkf4e
https://open.spotify.com/playlist/7bWE9GtRx2b1jwSckjLqW1,Fairytale Vibes,"19,772 saves",EchiStasoo,https://open.spotify.com/user/4h0koj9nestlym420e92nv6ti
https://open.spotify.com/playlist/4UPGk63iaIrszvzM4tORAx,Kids Chill Out,"2,190 saves",Amber Rose Forbes,https://open.spotify.com/user/22vajbdt6pjb45p67ysvez3qq
https://open.spotify.com/playlist/4rhOH4Cpwge4sk5TsKHyAq,Disney España (Actualizada 2024),"6,958 saves",costman,https://open.spotify.com/user/costman
https://open.spotify.com/playlist/0TQXrOHctIJ6VDD2FQHTzd,英語聞き流しディズニー,"10,410 saves",Caramel,https://open.spotify.com/user/xtmxtrxqowreiba3z3lv3jnbn
https://open.spotify.com/playlist/1qT5Vq0JVRh7lSSEjV2zFR,MUSICA DISNEY EN ESPAÑOL,"6,371 saves",Alvaro Rigaud,https://open.spotify.com/user/312byj3cra2wbl7tz2qzecqt6oji
https://open.spotify.com/playlist/5mJAvY13SFnjrxJmk1SlFm,Disney Classics Playlist,"12,044 saves",LuLu Vee,https://open.spotify.com/user/920ffym0xuv3fqqridjcz4pw4
https://open.spotify.com/playlist/40HIMO3g3s6v1eplHF5nXc,Gaelic Language Music,"8,184 saves",Meg,https://open.spotify.com/user/meaghan-alex
https://open.spotify.com/playlist/4Q4v7sWHQLcFdGxAUxmsms,Ren Faire BANGERS,"5,153 saves",Tristan 🌠,https://open.spotify.com/user/itrtgy0egzq452izr91erstuq
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,894 saves",Jess,https://open.spotify.com/user/222asyxoge67j6iqfp6aujmti
https://open.spotify.com/playlist/0rxdEId3quKPPpxQ1pjyyG,kingdom dance vibes,"19,716 saves",charlotte,https://open.spotify.com/user/beemniszjmw6xfwbzyz70y4yn
https://open.spotify.com/playlist/47jPf61a5pOxmGEfisc0Xe,Kids Movie Soundtracks,"7,875 saves",jummybarlass33,https://open.spotify.com/user/jummybarlass33
https://open.spotify.com/playlist/3pWDFmDAjSuRbR7Q7wpOFw,outlander vibes,"4,301 saves",stellag,https://open.spotify.com/user/stella_cool
https://open.spotify.com/playlist/4E6VYLNDlVHoU09gLmos1n,Scottish Gaelic songs,"1,476 saves",Mary,https://open.spotify.com/user/2rg5uez7kuv00io47gb11wtso
https://open.spotify.com/playlist/6Csz85e5CaohPBc2hggxGY,Happy Travel songs ✈️🌍,"10,681 saves",︎♡ Gillian ︎♡,https://open.spotify.com/user/nlvvpl2vypgnii8nj5nmqfljj
https://open.spotify.com/playlist/5YhCc85ujX3vddXiKPyAxa,🌾 Cole's Playlist,"8,437 saves",Keath,https://open.spotify.com/user/31bfm75qthg4xmbth7orzf6lup4i
https://open.spotify.com/playlist/6ub4DjX7dLfa6J96RphZyz,tavern wench (fantasycore) 🌾🧚🍺,"16,979 saves",zetterbryn,https://open.spotify.com/user/zetterbryn40
https://open.spotify.com/playlist/4S3zzBss5GIhvXSd5t8nKJ,Princess Songs,"6,439 saves",Casey Duevel,https://open.spotify.com/user/21ppspt56lsxfvuzuisjkfari
https://open.spotify.com/playlist/3kUQ1pgC5AC5i2obFJFReY,"“Hello, Feyre Darling”","10,462 saves",arianatirza,https://open.spotify.com/user/arianatirza
https://open.spotify.com/playlist/6OJBQs9vWu8K8QFQlGm877,100 Best Disney Songs of All Time,"127,641 saves",1rene78,https://open.spotify.com/user/1rene78
https://open.spotify.com/playlist/42UkpxHZzexqaG1T2Wf2yu,disney songs that slap harder than your mom last night,"178,884 saves",phwebee <3,https://open.spotify.com/user/pscny
https://open.spotify.com/playlist/1WhWQOnak4GLQ6cPkKVbvm,Joseph And The Amazing Technicolor Dreamcoat,"2,427 saves",Wilhelm Rahm,https://open.spotify.com/user/111355771
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,835 saves",Anna Marie,https://open.spotify.com/user/d7c2keocvws1ok9xgg6brob3y
https://open.spotify.com/playlist/7vDbm6OQ1Bw4l5Y4b3JH1x,disney songs to belt in the shower 🛁,"78,544 saves",Sydney Thomas,https://open.spotify.com/user/sydneymeetsworld
https://open.spotify.com/playlist/3UE3tNJ2ktVmVEFPVjH6aS,Disney songs everyone knows,"12,429 saves",sarah2489-gb,https://open.spotify.com/user/sarah2489-gb
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,530 saves",Trending Music,https://open.spotify.com/user/316ngwsiqjj3lwyj7lrwstgu4z7y
https://open.spotify.com/playlist/0v6XmKLVfK0DwX6JPrFHKE,Mulan - Original Soundtrack,"6,240 saves",tcliff30,https://open.spotify.com/user/tcliff30
https://open.spotify.com/playlist/14LVJZRt9L9m1BlJELmYXa,MOANA SONGS,"40,124 saves",Missperfection,https://open.spotify.com/user/31pp3qkok3oqmsc54qdy3wkceaba
https://open.spotify.com/playlist/1P27ra5VqAizmkcUzVAvp2,Kids Party Songs 2024 🎉,"129,416 saves",Den Haku Records,https://open.spotify.com/user/ywuydivm5d8upiut8z0ylm4sh
https://open.spotify.com/playlist/0Z8jxg263sHj7chYAVgUf7,Greatest hits donny osmond,"1,143 saves",martinjlow,https://open.spotify.com/user/martinjlow
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,894 saves",Jess,https://open.spotify.com/user/222asyxoge67j6iqfp6aujmti
https://open.spotify.com/playlist/4x9T7QmVs0PKt80zqZPo1S,DISNEY THAT SLAPS HARD.,"10,708 saves",Josie,https://open.spotify.com/user/eggjcm2pjmmrq5ws8hq5jexv3
https://open.spotify.com/playlist/44KDUErtWvsk0spSmzujAr,迪士尼電影經典歌曲,"9,834 saves",Zhong YangYeh,https://open.spotify.com/user/21bno6ky2e7u6fk7bngj2og7y
https://open.spotify.com/playlist/6bptsCZ4gVcx70sTvmPclF,Complete Donny Osmond,"2,382 saves",Donny Osmond,https://open.spotify.com/user/donnyosmondofficial
https://open.spotify.com/playlist/5mJAvY13SFnjrxJmk1SlFm,Disney Classics Playlist,"12,044 saves",LuLu Vee,https://open.spotify.com/user/920ffym0xuv3fqqridjcz4pw4
https://open.spotify.com/playlist/3MdltF83sYug7ujPPzrS1U,Antena 1 - OFICIAL,"3,773 saves",Rafael de Paula,https://open.spotify.com/user/12173677974
https://open.spotify.com/playlist/5odFxaEoTK8plMJGsB4795,Best Disney Songs of ALL Time,"3,525 saves",melaniearleen,https://open.spotify.com/user/melaniearleen
https://open.spotify.com/playlist/6jNM3ktSXdT4DfymH4plgg,Kids Disney Dance Party,"6,539 saves",Rachel Perera,https://open.spotify.com/user/12170020567
