url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/6nU0t33tQA2i0qTI5HiyRV,Country Hits 2024,"909,416 saves",Digster Global,https://open.spotify.com/user/digster.fm
https://open.spotify.com/playlist/1lnP7Ca3HUs6sKMv6H9aSJ,Stagecoach 2025 Official Playlist,"19,716 saves",Stagecoach Festival,https://open.spotify.com/user/stagecoachfestival
https://open.spotify.com/playlist/6JUng9Z6Phpx9r4Zg68MxX,Alt Country • Folk • Americana • Roots • Acoustic • Singer Songwriter,"5,169 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/77dAC2w2EvseEwvHWKz5II,Outlaw Bluegrass,"4,222 saves",r.hogan_1,https://open.spotify.com/user/r.hogan_1
https://open.spotify.com/playlist/4izVJx4c1x3YpKq8lpj43i,Red Dirt Country,"7,518 saves",kylefordet,https://open.spotify.com/user/31k6oywwe7ocfxgmv5m7iqn2lgde
https://open.spotify.com/playlist/0N2psSxKwz0licgMefLKx2,New Country Hits (Country Life),"10,590 saves",Digster Canada,https://open.spotify.com/user/digsterca
https://open.spotify.com/playlist/6Nk3pPQonxPt6B65oB7cFm,Dreamy cowboy,"5,716 saves",Kerry Webster,https://open.spotify.com/user/31m5bqs5x4mtaj7fdpwqlhxvaiom
https://open.spotify.com/playlist/5SBRhqxctG4awl4apGxaZm,Grady Smith - Favorite Country Music,"16,187 saves",Grady Smith,https://open.spotify.com/user/12180978759
https://open.spotify.com/playlist/07cij1x4IyOZh7n76wsMpn,Cowboy Killer Songs,"9,104 saves",CowboyKillerSongs,https://open.spotify.com/user/31j36urvb53rmujzmi2i7geccqwu
https://open.spotify.com/playlist/67tgwUnW2nWEwVZ3i7p8wP,Soul & Country • Country with Soul • Roots • Blues • Americana,"12,340 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/76E17w9BjyF47IQXxYu9GF,Home Grown(new country added weekly!),"22,688 saves",bangeroftheday,https://open.spotify.com/user/bangeroftheday
https://open.spotify.com/playlist/2yqPqGhIaGajqQH7Ue8iFK,CMC Rocks QLD 2025,"1,452 saves",CMC Rocks,https://open.spotify.com/user/cmcrocksqld
https://open.spotify.com/playlist/6rduohKmPxV1qriRMhlUpr,Red Dirt Country,"5,190 saves",elisabethglasscott,https://open.spotify.com/user/elisabethglasscott
https://open.spotify.com/playlist/499HyIcU80xHDZv18nxRRG,This is Whiskey Jam Revolver,"2,031 saves",Whiskey Jam,https://open.spotify.com/user/whiskeyjam
https://open.spotify.com/playlist/1jlgagZD8ZXkUFdIgYuz8m,Post Malone: Best Of The Best,"143,973 saves",Best Of The Best,https://open.spotify.com/user/best-of-the-best
https://open.spotify.com/playlist/2NAjn8veT5enl78TMZQOh7,post malone goes country,"23,664 saves",Tom,https://open.spotify.com/user/tom_hauwert
https://open.spotify.com/playlist/4ieUi8FO0gvuA6riIbAa87,Post Malone Setlist 2024: F-1 Trillion Tour,"5,028 saves",The Sound Of: Artists,https://open.spotify.com/user/31dniyid5qio7qkpuhjimmeadv2q
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"364,400 saves",Spot,https://open.spotify.com/user/31heeg5wrzm67nrgtehxz23z2mmq
https://open.spotify.com/playlist/6SX9mvpZKyZqxy6KQ6mA5a,Post Malone New Releases 🔥,"5,666 saves",Country Hits Group,https://open.spotify.com/user/31wn4u442v2kjfucxk53usgx7vgy
https://open.spotify.com/playlist/5o46jBydbJfVNS8nSwmbKo,post malone complete,"381,467 saves",Post Malone,https://open.spotify.com/user/postmaloneofficial
https://open.spotify.com/playlist/6kh8X00EqGovzCJeYyWVTJ,Taylor Swift: Best Of The Best,"507,045 saves",Best Of The Best,https://open.spotify.com/user/best-of-the-best
https://open.spotify.com/playlist/5KJDMJe9EJ7QRz8FG2MIpI,BEST HITS 2024 🔥 Popular Songs 🎵 Top Music Hits 🎵,"274,246 saves",hotamazingnetwork,https://open.spotify.com/user/hotamazingnetwork
https://open.spotify.com/playlist/11nSleISOWGLboWVWPDuwB,Café Music 2024 ☕ Chill Vibes - Coffee Lounge,"529,810 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/2SM6rniZl84fEyMCB5KMQB,WORKOUT PLAYLIST 2024,"144,701 saves",Systemic,https://open.spotify.com/user/oovgpqfyd2zjgkcm5ran58rog
https://open.spotify.com/playlist/4QTQ6OAOnJuVjRHG1NJJbg,Post Malone Top Hits,"7,711 saves",Digster Taiwan,https://open.spotify.com/user/universalmusictaiwan
https://open.spotify.com/playlist/5lH9NjOeJvctAO92ZrKQNB,Top 40,"335,588 saves",Nederlandse Top 40,https://open.spotify.com/user/nederlandse_top_40
https://open.spotify.com/playlist/7GhawGpb43Ctkq3PRP1fOL,Happy Vibes 2024 ☀️,"166,605 saves",Electro Posé,https://open.spotify.com/user/electropos%C3%A9
https://open.spotify.com/playlist/2lBo9YHdDp2vAUGkQOIhmB,POST MALONE AS MELHORES,"12,873 saves",Faciulli,https://open.spotify.com/user/km5lw124qvw3kofaf8ll6ihge
https://open.spotify.com/playlist/752nVo8JWGkrttCMOpr93u,Kip Moore (All Songs),"9,466 saves",Wyatt Halliday,https://open.spotify.com/user/bulletman1997
https://open.spotify.com/playlist/6S4BKbFOFSas8ks8UEl1Do,Kip Moore Greatest Hits + Complete Collection,"8,713 saves",Kip Moore,https://open.spotify.com/user/kipmoore
https://open.spotify.com/playlist/6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2024,"96,656 saves",trosser6258,https://open.spotify.com/user/trosser6258
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"32,596 saves",LunaTheTuna331,https://open.spotify.com/user/destinyb266
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","10,149 saves",Craig Breckheimer,https://open.spotify.com/user/1172706708
https://open.spotify.com/playlist/1qjq6n7S0Ya1nRuEyKqxex,Kip Moore - Damn Love,"23,161 saves",Kip Moore,https://open.spotify.com/user/kipmoore
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,887 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/7tOCAbWc1666xCCNT6jybY,Pumped Up Country 🥵🇺🇸🔥,"9,439 saves",Off Brand Spag,https://open.spotify.com/user/lilspag
https://open.spotify.com/playlist/0jnKpJMK9W3GcFJC6eYdls,Country Remixed & Mashed-Up 2023,"41,691 saves",Tonya,https://open.spotify.com/user/31oa5zwubzqlep5o25ll6lbkailq
https://open.spotify.com/playlist/0KX3mlXkQ2gfmMSPxPkNkE,Best Fishing playlist,"3,372 saves",red-man44,https://open.spotify.com/user/red-man44
https://open.spotify.com/playlist/74IixZCn2p16t6f5ZMAbjS,Country Rock 2024,"17,680 saves",Pure Country,https://open.spotify.com/user/osicktk
https://open.spotify.com/playlist/5H9wHAgGLlSJSiK3XtjNMb,Upbeat Country hits clean,"1,820 saves",Kyle Edward,https://open.spotify.com/user/k91braddock
https://open.spotify.com/playlist/3ZMLlhKrftx9ReZZhgnG6w,Nashville Hits,"10,582 saves",Willscarborough,https://open.spotify.com/user/cg9868s9thm79xvyiayp23vlu
https://open.spotify.com/playlist/05jzobshraN4wg2ZX3cJSX,Upbeat Office Clean Mix,"12,860 saves",mepitch12,https://open.spotify.com/user/mepitch12
https://open.spotify.com/playlist/12WO6tPEBZjeu71HGGd4iX,Kip Moore - Acoustics,"3,506 saves",Kip Moore,https://open.spotify.com/user/kipmoore
https://open.spotify.com/playlist/1qSvZo8CxjQY0QRdNpchsR,American Country 🇺🇸,"65,009 saves",bradwelling1999,https://open.spotify.com/user/backsideburbank
