url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/768SflksbwuG1jZBTK7RMl,lagu pengantar tidur,"14,153 saves",Soundd Asia,https://open.spotify.com/user/31573frplchxodsp4hl5jiofyxyu
https://open.spotify.com/playlist/1V4QL33vsALvljElabTpxq,Early Morning Playlist ✨️🌷,"11,413 saves",Kristyy~,https://open.spotify.com/user/31adkhghoykrtlmcme2jjdrlq4wy
https://open.spotify.com/playlist/63aOMpGXakIizfhsXu6p9E,Chill songs,"10,357 saves",Lee Andrew Dumaguing,https://open.spotify.com/user/21x7vq5drwcenyjdxtuqk7teq
https://open.spotify.com/playlist/74yXeQARdWYvO64RL5cSFQ,Honey [chill morning vibes],"100,639 saves",Sundae Sauuce,https://open.spotify.com/user/j6kg7whj3jjo1nt5xd9gapirk
https://open.spotify.com/playlist/3AUAs41Vr5wcwbGHq9ksHH,Cold Weather Playlist Q,"7,184 saves",Jaboy,https://open.spotify.com/user/314boyjy64qbsknbw6msq5sawpla
https://open.spotify.com/playlist/11oLOJ8pmH3Q8esPFWmOIr,Strawberry [late night chill vibes],"116,817 saves",Sundae Sauuce,https://open.spotify.com/user/j6kg7whj3jjo1nt5xd9gapirk
https://open.spotify.com/playlist/2ZipitvVHb1CWaMwv49iNc,Mode Jungler🔥,"3,306 saves",diitt,https://open.spotify.com/user/314ry6k2ipadaox4cwx2ijdhkysm
https://open.spotify.com/playlist/2VuaEBCUoglyC022I7EwOd,laufey vibes 🦢,"27,795 saves",Sngolden,https://open.spotify.com/user/oy085sbsb8iu42fcwh2j3gzqg
https://open.spotify.com/playlist/3ch1SltYN1sH9Vr4UOjhM7,parang gago kinikilig ako,"65,275 saves",crlsmmrr,https://open.spotify.com/user/31mtr46lnyzprfssfnfqo7p2waji
https://open.spotify.com/playlist/0WpJHWRoElRIy8QlcTAMjv,seasons's vibes,"22,511 saves",sammy ✩₊˚.⋆☾⋆⁺₊✧,https://open.spotify.com/user/dirtyele
https://open.spotify.com/playlist/2MdcKug0XocIMuom5r7U5b,jeff bernat + bruno major + luke chiang + rini + jeremy passion + jesse barrera + mac ayres +++,"2,076 saves",kaezzzy,https://open.spotify.com/user/31okikdr2lfj43bxqthfkmsgb3gy
https://open.spotify.com/playlist/7DPSUXq6oVgBFdwiHYeL4y,jazzy & groovy vibes,"25,382 saves",Michiko Winata,https://open.spotify.com/user/michikowinata
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,664 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1azC4nGfhxwLHDtZW9HzZH,buat pacarkuuu💗💐,"6,669 saves",gleditaa,https://open.spotify.com/user/31geqsmcdhvcjqux4urof54ldbmy
https://open.spotify.com/playlist/7kixgIoayW5DL3FyR6dyKQ,lily of the valley vibes,"18,736 saves",Larissa Lacey,https://open.spotify.com/user/tvnpm74r9b930ag7tm72q3g1z
https://open.spotify.com/playlist/6qOYZu0BVD7NB7YEjeeuiA,Cooking and dancing in the kitchen,"36,602 saves",Raquel Fumagalli,https://open.spotify.com/user/ppk6diakxczlo1txb24k5sz0s
https://open.spotify.com/playlist/70XwOfkGae10QrIWab1fDk,HYBS Vibes,"4,815 saves",Namkwan S.,https://open.spotify.com/user/31uag3kseyv2atg2kiyym6uus3se
https://open.spotify.com/playlist/2UZDLI8xVhDoGjrcN2hPfW,songs about her <3,"20,116 saves",adrian.atesiano,https://open.spotify.com/user/victoria.kkkk
https://open.spotify.com/playlist/2uPsUbYXEhoouFZA78xcc1,休日の朝カフェに聴く気持ちいい洋楽【Hibinoki Roku Original Mix】,"1,275 saves",Hibinoki_Roku | YouTube,https://open.spotify.com/user/s6npexdp5x3rifgdz6mkpx89k
https://open.spotify.com/playlist/6QSIZ85Zamu23M9yLF62pE,nothing | bruno major,"2,299 saves",sula,https://open.spotify.com/user/sulalagordon
https://open.spotify.com/playlist/0MioFj3ipfWyxQvijE6GV1,The Queen's Gambit - Netflix Soundtrack,"25,922 saves",viola108,https://open.spotify.com/user/viola108
https://open.spotify.com/playlist/79uwjet39OoutEPSd1NLQY,Underrated RnB Songs,"11,501 saves",Elle,https://open.spotify.com/user/zibl89fk4l1pmgigo08d0ylde
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,258 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6vlrLanMcj818Tmlit187Y,"walang papantay sayo, maging sino man sila","5,341 saves",shi,https://open.spotify.com/user/31uuztck4n2beezrtm2dkewnmdye
https://open.spotify.com/playlist/30wqejN29SzyMtd3aHUqvl,카페 사장 최준도 이거 틀고 커피내리는 중,"2,962 saves",리플레이LEEPLAY.official,https://open.spotify.com/user/dow5fet4t9292l8vmfadtx0rf
https://open.spotify.com/playlist/3EtGcag1KU7hDtu4UJ2nVY,초여름의 피크닉 early summer picnic songs,"2,189 saves",Comfort Yourself.,https://open.spotify.com/user/31s3ngd3u5jgfgzjmbw2tnik4sbi
https://open.spotify.com/playlist/2emF93QaDgT9zx6AryhfPr,buat gua tidur,"2,159 saves",rousee,https://open.spotify.com/user/0b3nlpti3fapdhbl2t25et8yp
https://open.spotify.com/playlist/1NyQLgq9SeOVR8IxtVjDfy,Double take vibe,"7,905 saves",Yawaun,https://open.spotify.com/user/12183528787
https://open.spotify.com/playlist/27Hk7tSk4C5NlA7AvAPO5O,kasing ganda mo ang music taste ko,"5,070 saves",xxr,https://open.spotify.com/user/31w66pjrgybdxv3tih6n7kcch4fm
https://open.spotify.com/playlist/4WK6lAwpn67SNpqGnD1gBS,Feminine Energy ✨ (Soul / Rnb / Alternative),"92,292 saves",Dazed,https://open.spotify.com/user/317c4ehrovfzbvirpuizjzkdaelq
https://open.spotify.com/playlist/1eoTDOBmsStseemVuicu9V,Songs to play while reviewing hihi,"7,958 saves",JD,https://open.spotify.com/user/313ka26jbsc3ovmsg4abpea2e7bm
https://open.spotify.com/playlist/1DVmLEXZu59CK6qJPjQbYF,LANY Best Songs,"113,514 saves",Jacob Wasson,https://open.spotify.com/user/o3i9jg47lshst6wnafqe64e7u
https://open.spotify.com/playlist/0N2BgCcj3uSEQ18VX7sSmT,LANY Asia Setlist 2024,"3,812 saves",Christopher Koestartyo,https://open.spotify.com/user/christopherto2
https://open.spotify.com/playlist/7kvJ6lOTGoppTsYnskMnrw,LANY SETLIST 2024,"19,459 saves",elj,https://open.spotify.com/user/troyestory
https://open.spotify.com/playlist/0ejqj7sEYEmlRhgCOFNAOi,LANY - BEST SONGS PLAYLIST,"13,591 saves",Marjo,https://open.spotify.com/user/22ihlvd3p4nm2uvri6qhyiuki
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"364,628 saves",Spot,https://open.spotify.com/user/31heeg5wrzm67nrgtehxz23z2mmq
https://open.spotify.com/playlist/0VTTnJgEPcBYWKddDZ7iwo,pampaantok kapag matutulog nako,"40,554 saves",irxee.,https://open.spotify.com/user/nj1ia2gv4ccv5f6n3lqu6d71f
https://open.spotify.com/playlist/6eVHnfswviMboORGHn3Dss,but you don’t mean it,"18,267 saves",andi,https://open.spotify.com/user/31gnqt2u73ibayylczvndzpm23xy
https://open.spotify.com/playlist/1JZxQ6R0lfg4GxAwpWO9wk,LANY & LAUV,"37,439 saves",Farrahdism,https://open.spotify.com/user/12146294808
https://open.spotify.com/playlist/3t23QFjmkgikUfv5WUC9wI,LANY: the complete collection,"38,004 saves",LANY,https://open.spotify.com/user/thisislany
https://open.spotify.com/playlist/15eyPhN8Kw3CrYchGR36fy,"LANY, Russ, Khalid, Lauv and Post Malone","27,104 saves",Pauline Mae Barcelon,https://open.spotify.com/user/pmpbarcelon
https://open.spotify.com/playlist/2q9hpRwdq4Jel4rs9VHgDp,LANY ( all songs ),"39,613 saves",sarah guerrero :),https://open.spotify.com/user/httpblue_
https://open.spotify.com/playlist/4fiuC0d18EQBDWU2Wc18QB,a beautiful blur: the world tour 2024 north america (the original setlist),"4,002 saves",louise,https://open.spotify.com/user/12172608467
https://open.spotify.com/playlist/3eOp2hBS2YonP2MdoJztuI,lany a beautiful blur: the world tour setlist ¡!,"4,306 saves",chxn,https://open.spotify.com/user/noag.r30
https://open.spotify.com/playlist/3mt7YKTwDZI4xoehun3uFQ,pov: breakdown malala pota,"148,653 saves",riri,https://open.spotify.com/user/22epnxi7s67nyxmdsrnivcpqy
https://open.spotify.com/playlist/1dFP4R6JW514MJaWHnoQ66,Chainsmokers x Lany x Coldplay x LAUV x Honne,"18,533 saves",Ezekiel King Sosito,https://open.spotify.com/user/12141262297
https://open.spotify.com/playlist/2nzVCXza1cHdl0jk7vmdNQ,tiktok music - tiktok hits 2024,"110,046 saves",silva,https://open.spotify.com/user/62wzf85cq4gbj86et0m44dn0l
https://open.spotify.com/playlist/6AASo3cqFGjuftWb4ibHjV,Lauv + LANY + HONNE + Jeremy Zucker + Chelsea Cutler + Surfaces + H.E.R. + Daniel Caesar + NIKI,"22,369 saves",Amabel Soewondo,https://open.spotify.com/user/amabel.soewondo
https://open.spotify.com/playlist/1UbVSMJFbBMW8G3J5wUOvu,Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴,"72,332 saves",ispytunes,https://open.spotify.com/user/cb8pyebbxihiv6jtq58t1du3b
https://open.spotify.com/playlist/1V4QL33vsALvljElabTpxq,Early Morning Playlist ✨️🌷,"11,414 saves",Kristyy~,https://open.spotify.com/user/31adkhghoykrtlmcme2jjdrlq4wy
https://open.spotify.com/playlist/768SflksbwuG1jZBTK7RMl,lagu pengantar tidur,"14,153 saves",Soundd Asia,https://open.spotify.com/user/31573frplchxodsp4hl5jiofyxyu
https://open.spotify.com/playlist/5GHcVDbZvKYTI7iGBudaJQ,"daniel caesar, frank ocean, sza, brent faiyaz, drake ..","91,878 saves",Hershey,https://open.spotify.com/user/31gv7sqz45as7ppcp2rqvebu65vy
https://open.spotify.com/playlist/7La2ThDE93c0kCWUr8E0KL,lowkey lany enjoyer,"1,940 saves",ali,https://open.spotify.com/user/31khsve6f4cj3bjm3oxi52iqwewi
https://open.spotify.com/playlist/3zW7O3cZsPzDt9ts0c71FD,Pang broken na playlist kahit hindi broken.,"64,163 saves",rei,https://open.spotify.com/user/317flyqyzxb35bwlvlopx4kchdgu
https://open.spotify.com/playlist/0ZO0EAFkdwXC8qrz23Ek3N,music taste ng pogi,"15,908 saves",Jipe,https://open.spotify.com/user/qsbzkylux8a3frpjpskueb17e
https://open.spotify.com/playlist/6QaNG37n2xODWKtzgn7iJy,Tag-ulan Playlist,"19,226 saves",Janis Dimarucut,https://open.spotify.com/user/22tijdhgysxjxpermpkx2hm2y
https://open.spotify.com/playlist/5tF7ZMncK9GMN7WuwO0kiz,late night playlist~🌌🍃,"3,971 saves",celineyyuhhhh,https://open.spotify.com/user/qzb7xa4watimxlsktc7tz4y36
https://open.spotify.com/playlist/5TfBoMIk7NWreJCUS8jXKN,Lany 2024 setlist,"4,023 saves",robertmartinsaw,https://open.spotify.com/user/robertmartinsaw
https://open.spotify.com/playlist/2bqBwGXjW5PzHCTpxzObh7,I Quit Drinking-LANY,"1,116 saves",Lia San Diego-Catacutan,https://open.spotify.com/user/imnotlia
https://open.spotify.com/playlist/7utmHIx6p7NCQEuQ1bTzIR,朝に聞きたいお洒落な洋楽,"10,653 saves",Kazy,https://open.spotify.com/user/s86q8fbn7zza2qnac6fwa8o4w
https://open.spotify.com/playlist/1l2jtgrjBkKk4IeKr0TvN3,asik bgt smbil nyetir,"13,883 saves",ila,https://open.spotify.com/user/l3ysf6jrsu3mfl40znvh5blc3
https://open.spotify.com/playlist/2DBmGfFB0kkycijKiikbRM,batak mag relapse (10 pm to 3 am),"28,960 saves",ixias,https://open.spotify.com/user/31thoayovahnv2om2yypir2wo6w4
