url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/1nNMBeTNkToeeuUaRFmNeA,peter parker’s ipod,"19,395 saves",derek_mtz,https://open.spotify.com/user/derek_mtz
https://open.spotify.com/playlist/7hitFeOemCaERBEDFMwUH2,Fourth wing; a reading playlist 🐉⚔️🏔️,"9,269 saves",Jamila,https://open.spotify.com/user/68sz80phmbncfpg7502k2c3xj
https://open.spotify.com/playlist/1NxNXmyvYCT71OYLobE4xI,FOURTH WING / IRON FLAME- reading playlist🔥,"27,750 saves",Urte⚡️,https://open.spotify.com/user/31pdpkbfd4of2w4twojw6mzbz3fm
https://open.spotify.com/playlist/6MQovlqpNdTQssuG5txKJA,EOTR 2024,"9,192 saves",End Of The Road Festival,https://open.spotify.com/user/end-of-the-road-festival
https://open.spotify.com/playlist/160nFABJxMlKYWaUlUwKPA,Phosphorescent - Revelator,"2,913 saves",Phosphorescent Music,https://open.spotify.com/user/31ex7xbyq56prehh7bsluqdpqvai
https://open.spotify.com/playlist/5vEr8prG4Q5IaRRe9uAQWx,Es confuso ¿Verdad?,"75,541 saves",Soñador,https://open.spotify.com/user/22nyusbghyrrqmcmhrngselkq
https://open.spotify.com/playlist/1C3rLT7O5hVDFtFmhAgFDI,MARVEL SONGS.,"55,017 saves",fxrnandx_,https://open.spotify.com/user/fxrnandx_
https://open.spotify.com/playlist/6mR7jdOqr09lRnGTGTWwy4,Músicas Românticas de filmes! Só as melhores!,"2,235 saves",Juliano Vasconcellos,https://open.spotify.com/user/djjuliano
https://open.spotify.com/playlist/5C4000JaC0AfF0Njyy10th,Time Moves Slow,"3,938 saves",Deanjraines,https://open.spotify.com/user/mkqumexra8v7nho5trtuy9ogx
https://open.spotify.com/playlist/7sji9Bkx5dYZb1YFobMlOK,The Amazing Spider-Man 1 & 2,"5,600 saves",Revan_Zz,https://open.spotify.com/user/theleaderkyloren
https://open.spotify.com/playlist/5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,"95,459 saves",CaffeinatedFox,https://open.spotify.com/user/rj9wvs6jynpiwpzb5s99rwu6f
https://open.spotify.com/playlist/08xbLKPX6hILf7tDiWWSkt,Coldplay Hits,"62,171 saves",Nicholas Lee,https://open.spotify.com/user/213jzawd2rf2l2x4nz47fi36i
https://open.spotify.com/playlist/5zRQ7JxTWtkSP1GSJ6UWi1,ColdPlay As Melhores,"207,796 saves",Michel,https://open.spotify.com/user/michelfjb
https://open.spotify.com/playlist/4lXLUGtdiDFUbmDSHpt699,Coldplay Singles (inc WE PRAY),"530,761 saves",Coldplay,https://open.spotify.com/user/coldplay__
https://open.spotify.com/playlist/5TCuR2nrpUtkRboS3XoY2N,COLDPLAY - Grandes Exitos,"12,788 saves",arielhernanmarley,https://open.spotify.com/user/arielhernanmarley
https://open.spotify.com/playlist/0dOFnOecK3F21mDa9y1A1d,best of coId pIay,"63,667 saves",Elias Koroneos,https://open.spotify.com/user/k0e79ilpyxne0yf49a87kgpg8
https://open.spotify.com/playlist/3bJ0iaBAAMkRLTv6BWumtc,Coldplay - Dublin 2024 Setlist,"3,813 saves",Calum McNiffe,https://open.spotify.com/user/p3rt6p0luxt473j9xci6nxxga
https://open.spotify.com/playlist/6KNiVMLDZTYRCGg41JBU3k,Coldplay Music Of The Spheres World Tour playlist,"279,854 saves",Coldplay,https://open.spotify.com/user/coldplay__
https://open.spotify.com/playlist/0E5B9s61AO0QyqO6Dxd30R,BEST OF COLDPLAY,"96,400 saves",Guille,https://open.spotify.com/user/caajigas
https://open.spotify.com/playlist/3lhLBIZ4jrmkiLjQfTbv2o,Top 20 Coldplay Greatest Hits Playlist ❤️ Best Songs of Coldplay,"10,808 saves",Pol Bernardo Jose,https://open.spotify.com/user/12165569239
https://open.spotify.com/playlist/3tKNb6L5u9Rry7FyZroyzn,COLDPLAY - WE PRAY (Deluxe),"13,439 saves",TOTAL Music - Editor,https://open.spotify.com/user/luiscarlos86
https://open.spotify.com/playlist/5H5rH9HxkGOuowTOBNhLmu,WE PRAY • COLDPLAY & BURNA BOY ELYANNA إليانا LITTLE SIMZ & TINI MOON MUSIC COLDPLAY ALL SONGS THIS,"8,770 saves",PRE-SAVE MUSIC,https://open.spotify.com/user/31runcxxpjwsb72yvcucmt55et7e
https://open.spotify.com/playlist/2OyC8EYQrqLju4iQdcQjha,WE PRAY - TINI Version | TINI: Complete Collection (Discografía),"7,688 saves",✦,https://open.spotify.com/user/alhhn6owwyj1vfnaafadtaeox
https://open.spotify.com/playlist/3CR7qg2k7mcpHwsY3QX8jx,Coldplay Setlist München 2024,"8,225 saves",cristina,https://open.spotify.com/user/crismayaf
https://open.spotify.com/playlist/6If0RXLLcsfyfGO2Io3YAH,COLDPLAY SÓ AS MELHORES,"10,648 saves",Ana Clara,https://open.spotify.com/user/r0wmhdbrcgncspuqxrtgxy5ee
https://open.spotify.com/playlist/6wOzlyU19Dh17sEFgODzjD,BEST OF COLDPLAY 💚HITS COLD PLAY,"11,633 saves",💚 Best of POP 💚,https://open.spotify.com/user/312bvfrl6nuk6ay23bjfcldwzksa
https://open.spotify.com/playlist/5lH9NjOeJvctAO92ZrKQNB,Top 40,"335,686 saves",Nederlandse Top 40,https://open.spotify.com/user/nederlandse_top_40
https://open.spotify.com/playlist/6T7Wzjny0S6EehTxZoR4Kd,Coldplay LIVE 2024: Music of the Spheres - Full Set List ✅️,"6,539 saves",ST,https://open.spotify.com/user/samwys
https://open.spotify.com/playlist/6j4w1woXd7xzGCNQoKrpY9,2000s Pop Hit Throwback,"148,172 saves",Jackhlee,https://open.spotify.com/user/jackhlee
https://open.spotify.com/playlist/2M9D503Mqoh2645ukK4EMJ,MUSICA PARA OFICINA TRABAJO,"18,207 saves",emilia,https://open.spotify.com/user/sqwje7umesd1o3i5hm5chdfve
https://open.spotify.com/playlist/5Xen3U51JW3JkumI9fBGmo,"THE SCRIPT, COLDPLAY, MAROON 5, IMAGINE DRAGONS & ONE REPUBLIC","30,314 saves",joannecoloma2000,https://open.spotify.com/user/joannecoloma2000
https://open.spotify.com/playlist/004dqYVVhtQE3YcHUAH2DS,*ೃ༄ autumn🍂☕️🕯️,"90,864 saves",Eve ★,https://open.spotify.com/user/iwhiycrk5dsbqg2ikb32qaegr
https://open.spotify.com/playlist/6j4w1woXd7xzGCNQoKrpY9,2000s Pop Hit Throwback,"148,172 saves",Jackhlee,https://open.spotify.com/user/jackhlee
https://open.spotify.com/playlist/6MjDPkNdY3HFMQZoUb6nHy,Chill Office Vibe,"7,921 saves",Kate M,https://open.spotify.com/user/kmelder1997
https://open.spotify.com/playlist/0JSOXHtJHmDoFbBeIPWT5b,Work 40 Hour Office Playlist 2024 Changed Weekly. New & High School / Classic Hits,"13,600 saves",DJ Garnet,https://open.spotify.com/user/djgarnet
https://open.spotify.com/playlist/1Wgp90NlYSPzEFMPfYK62g,Friday Funday (Clean Office Playlist),"2,034 saves",Parkerortho,https://open.spotify.com/user/31yqd5i53bxk2kvmauaktg5pi5hy
https://open.spotify.com/playlist/4MXOZqpVUxktXaeoUOx0t4,TEMAZOS EN INGLÉS 💗,"39,466 saves",crys,https://open.spotify.com/user/315czr7v6e6bfusy6aryc3l7ezri
https://open.spotify.com/playlist/0gFS9YxMj6gsP9ESwN1OCm,"Cozy, cuddly fall music","18,438 saves",plv2003,https://open.spotify.com/user/plv2003
https://open.spotify.com/playlist/1nNMBeTNkToeeuUaRFmNeA,peter parker’s ipod,"19,396 saves",derek_mtz,https://open.spotify.com/user/derek_mtz
https://open.spotify.com/playlist/2b4q7TiHPONW8nX2BQXBz7,Acordando Feliz,"13,923 saves",Marcela Gelhoren,https://open.spotify.com/user/magelhoren
https://open.spotify.com/playlist/51lDLEyXP4SU1HQAEH2YCz,Top 2000s- 2010s hits clean,"8,863 saves",MasontheMyth,https://open.spotify.com/user/jebapt4vpw4mn8oe7ecz8on4n
https://open.spotify.com/playlist/5XALIurWS8TuF6kk8bj438,Top Hits of the 2010s,"67,706 saves",Ryan Milowicki,https://open.spotify.com/user/122367408
https://open.spotify.com/playlist/3FeewjLi5LMzIpV4h35QEz,2010s Pop Hits,"97,602 saves",Sean Martin,https://open.spotify.com/user/ex7n4wnlsrmoy9xj58upkif98
https://open.spotify.com/playlist/5Xen3U51JW3JkumI9fBGmo,"THE SCRIPT, COLDPLAY, MAROON 5, IMAGINE DRAGONS & ONE REPUBLIC","30,314 saves",joannecoloma2000,https://open.spotify.com/user/joannecoloma2000
https://open.spotify.com/playlist/357fWKFTiDhpt9C69CMG4q,2010 Bangers 🔥,"225,368 saves",2010 Bangers,https://open.spotify.com/user/02cnytfz8gm9i8dx0jkh1bfbx
https://open.spotify.com/playlist/1pmsMvJXvQ6s55bz4FsqCy,Love Songs 2024 💕,"72,088 saves",idk,https://open.spotify.com/user/31zcrmh4ihdrkmwb7uys7bvmhobm
https://open.spotify.com/playlist/4RRqG3hqSpBuhmFBE17rP7,CLEAN SUMMER PLAYLIST 2024🍉🐠☀️🇺🇸🏝️🐚😎👙🛟,"29,909 saves",Katie,https://open.spotify.com/user/drummondkatie-us
https://open.spotify.com/playlist/4ofywy1Z3LbiSTlmSLPR0s,Hopecore Songs 2024,"83,008 saves",Bluebanda,https://open.spotify.com/user/utuwmlqmahjuvq5xd4dkmgbzy
https://open.spotify.com/playlist/1YSRdMQdV0JiJLp9jCUG2a,gone gone gone vibes,"1,917 saves",Zahriargent,https://open.spotify.com/user/31534xhdu5vmqnv6xwqzom755j4u
https://open.spotify.com/playlist/0rAdSPycrFdaBXh9xSW3ap,Best English Songs,"286,172 saves",Vishwajeet Pavan,https://open.spotify.com/user/msange
https://open.spotify.com/playlist/7sji9Bkx5dYZb1YFobMlOK,The Amazing Spider-Man 1 & 2,"5,600 saves",Revan_Zz,https://open.spotify.com/user/theleaderkyloren
https://open.spotify.com/playlist/05jzobshraN4wg2ZX3cJSX,Upbeat Office Clean Mix,"12,864 saves",mepitch12,https://open.spotify.com/user/mepitch12
https://open.spotify.com/playlist/1do5SElcmY6ye5x3M71JaJ,classroom friendly/class playlist,"7,904 saves",Dominique Shirey,https://open.spotify.com/user/12129530506
https://open.spotify.com/playlist/2ClHLb06JWQp2yvMR7qiKk,driving through the mountains 🏔,"7,774 saves",madie.sorensen,https://open.spotify.com/user/madie.sorensen
