url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","385,375 saves",Esydia,https://open.spotify.com/user/savz8vts72hqdy7von3mqc29g
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"177,644 saves",Tam Hoffman-Levy,https://open.spotify.com/user/12142901212
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"286,684 saves",Miranda Sullivan,https://open.spotify.com/user/ricoo97
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"159,406 saves",Hudson Helms,https://open.spotify.com/user/12145397198
https://open.spotify.com/playlist/1Ovmq0mAjbzAtfN0EFf249,"Neyo, Usher, Chris Brown, Sisqo, Craig David, Mario, Nelly, Akon PL","98,412 saves",💅🏿 MoNique 💅🏿,https://open.spotify.com/user/1110350782
https://open.spotify.com/playlist/3XHC4e4kCnzdS3YpJX2Gbk,OLD MYSPACE JAMS ✨🦋🎶,"38,275 saves",Apmulder,https://open.spotify.com/user/123161188
https://open.spotify.com/playlist/1vAYWdLz62LTcCcJudy89X,Freak Nasty Songs 👅,"15,940 saves",kenbrice22,https://open.spotify.com/user/kenbrice22
https://open.spotify.com/playlist/5IBCdi2T9KR3JDcyZ2Ugo6,❤️MYSPACE THROWBACKS❤️,"11,837 saves",heyglenny,https://open.spotify.com/user/itsxglenny
https://open.spotify.com/playlist/7d9EUccMmzu4cn7VPgX3nb,Purely Aesthetic,"28,568 saves",Virtue Playlists,https://open.spotify.com/user/3177hmrdfae4aozkha7p3quyyh34
https://open.spotify.com/playlist/42MWEssl8lsw2qeuf8ls7Z,Plies 🍆 & Pleasure P 💦,"3,622 saves",Kayla McQuade,https://open.spotify.com/user/1263241191
https://open.spotify.com/playlist/5BHXdYTiikPRJ9EAjW94lI,R&B Break UP Songs💔,"1,696 saves",essiepoo,https://open.spotify.com/user/essencewilliams207
https://open.spotify.com/playlist/0sp3fv2OgXKg6iDcxxR83R,Plies Greatest Hits,"2,853 saves",davmad1,https://open.spotify.com/user/davmad1
https://open.spotify.com/playlist/65uZbGvCbIwdIptaBUyrmc,underrated RnB gems,"2,685 saves",Judyleahh,https://open.spotify.com/user/31bci4zv6ytwek7bdqedjlmsjjc4
https://open.spotify.com/playlist/5it3zOLarZU6Ov8u3Iw29V,🔞 ฟังตอนอ่านnc,"11,251 saves",─── ⋆⋅𖤐⋅⋆ ──,https://open.spotify.com/user/31sfmfuohwlwlubm3emq2sln5zjq
https://open.spotify.com/playlist/534qgEmSVxcBBgKYfCeoj6,in my R&B era,"6,583 saves",celeste.guevara ⭐,https://open.spotify.com/user/31ups5luttn6wafck2vilmvdc3lu
https://open.spotify.com/playlist/5Kpx1USlqVz3yc3ySFALph,RnB for hot people,"5,502 saves",mayaa ✨,https://open.spotify.com/user/313kxnvzo2tmm4zb4toxh7l6ja64
https://open.spotify.com/playlist/2lR6DVk8az4v71SfulYpiV,2000s RnB Hits,"60,343 saves",tealcdorgin88,https://open.spotify.com/user/ariellecherry
https://open.spotify.com/playlist/5RZeYzyjFyJTp08r24FYMF,"The Best of R&B: 80's, 90's, & 00's","9,614 saves",Mike Salinas,https://open.spotify.com/user/msalinas408
https://open.spotify.com/playlist/7nehcMsHtmVGRwGRqGUtiH,Throwback Hip Hop/Pop 2000’s - 2010’s :),"45,918 saves",adammagallon27,https://open.spotify.com/user/adammagallon27
https://open.spotify.com/playlist/4vzbXqoYUPoHKuiYOgIfwP,R&B Mood,"7,051 saves",Emilie Perez,https://open.spotify.com/user/31pj43uksn24iyrvwesst2blrad4
https://open.spotify.com/playlist/6nVITPvjCXctiA9up3KkRe,Slow Jams/R&B ❤️,"52,373 saves",_elissseee,https://open.spotify.com/user/_elissseee
https://open.spotify.com/playlist/7Ll3CWx8VwRan0FFamai5X,Throwback R&B Vibes,"172,547 saves",Karsten Panopio,https://open.spotify.com/user/karstensince96
https://open.spotify.com/playlist/5w4r09iWaUJuSiLBvMISrC,R&B TOP HITS,"6,631 saves",mayaa ✨,https://open.spotify.com/user/313kxnvzo2tmm4zb4toxh7l6ja64
