url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"365,171 saves",Spot,https://open.spotify.com/user/31heeg5wrzm67nrgtehxz23z2mmq
https://open.spotify.com/playlist/3FSvK3GkiECDMHeeIbbJIn,COUNTRY MUSIC 2024 🔥 Top Country Hits + New Country Songs,"72,198 saves",Desi Gnio,https://open.spotify.com/user/31dpl3egrlppl77n7dgaya5a4u64
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,907 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/0VXj17xrCHWBd984tRq8MY,Bass Boosted Country,"7,830 saves",Karter,https://open.spotify.com/user/e2wbszldltckxam5djjvq2quv
https://open.spotify.com/playlist/0ebPt1lsz1fKa5dZIXC2K9,Country Roadtrip 2024,"11,309 saves",Cerberus,https://open.spotify.com/user/31mzes6vagvuahimhsnolfy3p5xy
https://open.spotify.com/playlist/13u7doHlDL9oV44R2IjBY6,"Country Old & New, & Blues","1,144 saves",Shar,https://open.spotify.com/user/31c2ix3iicsvunqsweuqvgbkstby
https://open.spotify.com/playlist/3h85iMwBiTSMNgOyy2El4D,Country music 2024,"4,723 saves",kikicaramel,https://open.spotify.com/user/31smk3ic7timp3r4nfjh7lymd3wq
https://open.spotify.com/playlist/7MthDcrXbpOw86imG9omyw,Top Hits (Clean Version),"25,448 saves",Robert Johnson,https://open.spotify.com/user/1259663388
https://open.spotify.com/playlist/0PTE5c1a639omCGuC20FbS,Country 2024 ⭐ Top Country,"7,351 saves",CountryHue,https://open.spotify.com/user/317faqwawyr7bqrremskk5wg5yhq
https://open.spotify.com/playlist/1fibupfLjDTwOCIFUy4aO6,New Country Hits 2024,"7,341 saves",Soundgoat,https://open.spotify.com/user/31oknmogrxluhk5ktwkmwr3tlw64
https://open.spotify.com/playlist/0PD9hH8immdZG9IrPfj69W,Country & Americana,"9,229 saves",Sense Records,https://open.spotify.com/user/316g55tt7qipdy4xvujydy7he7a4
https://open.spotify.com/playlist/6kLxvrlSeWBSyjpMxXNgAG,Country vibes,"1,822 saves",TarzannovaMusic,https://open.spotify.com/user/21vwybgjylgbr274djj4q257q
https://open.spotify.com/playlist/3oQC7tThf9qmuzdutVfjJQ,Country Radio 📻 Handpicked Hits,"7,002 saves",GessaFM,https://open.spotify.com/user/31enhix4g7rsuvfx7ijhiftlnvfq
https://open.spotify.com/playlist/3Z4Y62VAfQHhr12LlUW0XX,Country Gold,"10,865 saves",Top Radio Hits,https://open.spotify.com/user/xmfbo62tlvv3c1av66764msdv
https://open.spotify.com/playlist/5zT6dOYzE8i369PWmTll4A,"Greesha Indie, Country, Folk and Americana Mood 2024","1,627 saves",Greeshamusic,https://open.spotify.com/user/1rqbhtoz7g9wfx0zdti1osiq8
https://open.spotify.com/playlist/2sbp134owpVtrxyEgT1qvo,Country Hue,"11,204 saves",Moodplaylisting,https://open.spotify.com/user/31vtsxu5n2llsja436jvhkbvbapu
