url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/3Z72yCEE7ejhoTr7C8liQy,Chill Out Blues & Soul,"84,505 saves",lienneay,https://open.spotify.com/user/siraheimgartner
https://open.spotify.com/playlist/4TvFtTlSUlfGqqBvi9TIim,sautéing and slow dancing,"236,431 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/5y1ZMJk71DTt4qkbpPiacw,Saturday Morning Coffee,"1,886 saves",Abigail Hudson,https://open.spotify.com/user/abigail_hudson
https://open.spotify.com/playlist/2kT2iWb9cO24p1zmrn89cI,Open House - Real Estate,"4,985 saves",frazerempire,https://open.spotify.com/user/frazerempire
https://open.spotify.com/playlist/6xG5xmRxOdocBwmx66JN2S,Reacher: Official Playlist,"19,781 saves",Prime Video,https://open.spotify.com/user/nzx4j6a3tijy0hfovfy4ha7s4
https://open.spotify.com/playlist/4M2sZmfi2N99wL23NsI7Bk,puzzle making music,"3,054 saves",sophia gillespie,https://open.spotify.com/user/zxfmefpeqd0120z4f71ihpxtq
https://open.spotify.com/playlist/1kFqEZlnLhoWbtvA7qKAOb,REACHER SOUNDTRACK: Seasons 1 & 2,"12,360 saves",Ignatious Pop,https://open.spotify.com/user/tvmoviesoundtrack
https://open.spotify.com/playlist/5g1NDNoSwyitf5ygIFB2mF,Fabio Wibmer,"10,993 saves",joshuahumann,https://open.spotify.com/user/joshuahumann
https://open.spotify.com/playlist/0QApHAvep4ecWfMXnVRKg3,"Virgin River 1, 2, 3, 4 Soundtrack","37,395 saves",Pumpkins,https://open.spotify.com/user/mvm9esc3759ylixvcucg2kezv
https://open.spotify.com/playlist/5OGd76vpSUJ1P1gvSBYKHT,Fabio Wibmer Songs,"2,394 saves",benni_088,https://open.spotify.com/user/tsroc3vbs98x0wn3hj5srslwq
https://open.spotify.com/playlist/4KpDbYk3eYgAY1B6pQ1SBd,summer in nantucket,"3,229 saves",tiera,https://open.spotify.com/user/tieraschagen
https://open.spotify.com/playlist/5pjWtlEhfgszwkVCFCLSjM,Cold Fronts and Campfires,"3,215 saves",Magnolia,https://open.spotify.com/user/90g0npt5dy275sewo2u1mu6wa
https://open.spotify.com/playlist/5Dqcow3Cm6onjPFTNc3GxE,slow dancing in the kitchen 🥂,"2,694 saves",Bella,https://open.spotify.com/user/2whjev16mssllns6scqist07w
https://open.spotify.com/playlist/5Bfu2XdbJ8sMTa3Sz3qYV6,Virgin River Season 1,"3,166 saves",Floren,https://open.spotify.com/user/florentina.gauthier
https://open.spotify.com/playlist/2wKGYfA1eJ0VAGqWcB4Ryp,Sunday afternoon mix,"3,166 saves",Orla Hayes,https://open.spotify.com/user/orlahayes3000
https://open.spotify.com/playlist/10gtVjaNcr6XhGypDLHEii,Happy day at work,"1,404 saves",Deborah Oyindamola Adebayo,https://open.spotify.com/user/22qwkcy2kxval7eztvtxnuoiy
https://open.spotify.com/playlist/4lWe673T3CWVypY3mMUrNZ,Mahalo My Dude,"6,142 saves",Matt Dennison,https://open.spotify.com/user/mahalomydude
https://open.spotify.com/playlist/5XyYuuQzp3DI0huQpKfoNp,Sunday Morning Brunch,"4,043 saves",ashleystodd,https://open.spotify.com/user/ashleystodd
https://open.spotify.com/playlist/3w3Kjmp4PdQ1UwHQyVHK6U,Songs like Ladyfingers,"4,871 saves",Riley Milam,https://open.spotify.com/user/rileysmilam
https://open.spotify.com/playlist/36te5Tx7Ul9yoxnXrxCfVB,Good Restaurant Music,"1,286 saves",Pete Harrison,https://open.spotify.com/user/117952701
https://open.spotify.com/playlist/7gOLFw72VPBGhsJGteQo89,Best Of: The Teskey Brothers,"61,299 saves",The Teskey Brothers,https://open.spotify.com/user/theteskeybrothers
https://open.spotify.com/playlist/3Z72yCEE7ejhoTr7C8liQy,Chill Out Blues & Soul,"84,505 saves",lienneay,https://open.spotify.com/user/siraheimgartner
https://open.spotify.com/playlist/2x7mICiuJ4U7z2EfnVTCAN,The Teskey Brothers - Setlist 2024,"1,262 saves",demivanberkel-nl,https://open.spotify.com/user/demivanberkel-nl
https://open.spotify.com/playlist/1ExbVi8frsRDehJ39ks58n,The Teskey Brothers - A Complete Playlist,"30,681 saves",The Teskey Brothers,https://open.spotify.com/user/theteskeybrothers
https://open.spotify.com/playlist/5y1ZMJk71DTt4qkbpPiacw,Saturday Morning Coffee,"1,886 saves",Abigail Hudson,https://open.spotify.com/user/abigail_hudson
https://open.spotify.com/playlist/4TvFtTlSUlfGqqBvi9TIim,sautéing and slow dancing,"236,431 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/4sL1o4u8sICKGl9KTquewn,Norah Jones & Coffee morning.,"23,155 saves",Kathleen Kennedy,https://open.spotify.com/user/1295047806
https://open.spotify.com/playlist/6ZE6tPOId5BFKMv1uZ6t2F,Cozy Nights At Home,"3,847 saves",Tabatha 🌻,https://open.spotify.com/user/tabathachaput10
