url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","382,979 saves",Esydia,https://open.spotify.com/user/savz8vts72hqdy7von3mqc29g
https://open.spotify.com/playlist/7b8VqJeXeH102Upx1Hw3Ek,Best of Trey Songz,"8,811 saves",Tam,https://open.spotify.com/user/1230962218
https://open.spotify.com/playlist/3NJt9AdW0HpyPTe8WP5XRi,Bedroom jams 🥵😈💦,"124,579 saves",Iamyach,https://open.spotify.com/user/22djoercxe2fkt2elxgbao57i
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"159,296 saves",Hudson Helms,https://open.spotify.com/user/12145397198
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"177,408 saves",Tam Hoffman-Levy,https://open.spotify.com/user/12142901212
https://open.spotify.com/playlist/3qysEdvWzFxk1aK1kudfqV,2000s stripper music,"39,387 saves",Autumn,https://open.spotify.com/user/31kxwurwkjkh66t66lu4gnsg4l74
https://open.spotify.com/playlist/4TvVpoyxF9kmnu1GLikiQp,clubbing like it's the 2000's,"94,470 saves",kass !!,https://open.spotify.com/user/0v18m5rzsdub5pujpnmuh56ij
https://open.spotify.com/playlist/6hh4qPprTNLbDkCLzwE0P7,Freaky Playlist • Sex Music 😏👅💦,"47,311 saves",Noémi Reyes,https://open.spotify.com/user/gdmg59uun5noyjwh28hpotmvj
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"286,495 saves",Miranda Sullivan,https://open.spotify.com/user/ricoo97
https://open.spotify.com/playlist/2m6pIU4Wkuxj5agvTWPgBJ,Freakiest songs 😩🥵,"3,997 saves",Delilah 🤭🫶🏽😈,https://open.spotify.com/user/j9i9ky37jdislrap5k7nyw7oh
https://open.spotify.com/playlist/4rDS8kwpVf0S3BK1HRI54x,Throwback 2000s-2010s Hip Hop,"22,657 saves",Carlos,https://open.spotify.com/user/woodyinho2581
https://open.spotify.com/playlist/2xPQEoRPiqdH9pJtW3wL7i,Hype/club songs,"5,965 saves",Tyra Pacatang,https://open.spotify.com/user/31jqeo65iz6ys3p63siy75kke4d4
