url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"305,711 saves",Unplugged,https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy
https://open.spotify.com/playlist/1cpHXPYtZIvUbQ6Nen8gSm,Winning Isn’t For Everyone,"1,338 saves",Nike Run Club,https://open.spotify.com/user/nikerunclub
https://open.spotify.com/playlist/4TvFtTlSUlfGqqBvi9TIim,sautéing and slow dancing,"236,431 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/5TUWnksiKh33zXe3toaZM4,Wednesday Morning ☕️,"1,391 saves",Sam Beafore,https://open.spotify.com/user/sammymt
https://open.spotify.com/playlist/1iMEXT9H1t0xNDAh8Trynt,Jack Savoretti Best Of,"45,774 saves",jacksavoretti,https://open.spotify.com/user/jacksavoretti
https://open.spotify.com/playlist/5slWRbFcrkQoT7k5mYOC6A,Brandi Carlile - Complete,"16,588 saves",Brandi Carlile,https://open.spotify.com/user/brandi_carlile
https://open.spotify.com/playlist/0RRHCRjkjvRqzEUpybpgNH,100 BEST COVERS of all times,"9,068 saves",whokilledthecat,https://open.spotify.com/user/whokilledthecat
https://open.spotify.com/playlist/1ylRs58bgb0vc6fsJ8nrCO,Doing my medicine,"6,854 saves",Steffen Reichl,https://open.spotify.com/user/31ba7tivzahgawnbzzdhskh75gwu
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","10,128 saves",Craig Breckheimer,https://open.spotify.com/user/1172706708
https://open.spotify.com/playlist/0LPsYH4hIRjLUKXuZd2vAt,Coffeehouse,"168,577 saves",Starbucks,https://open.spotify.com/user/starbucks
https://open.spotify.com/playlist/3ZJ3tiNi2aKblhloHgz9R8,Acoustic Chill 2024 💿,"49,126 saves",Double J Music,https://open.spotify.com/user/doublejmusicltd
