url,playlistName,saves
https://open.spotify.com/playlist/4h9dvquufDVDyGuYRHeu73,2000 R&B Hits - Top R&B 2000s Songs (R&B 00s Popular Songs),"226,600 saves"
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"158,554 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,"313,676 saves"
https://open.spotify.com/playlist/1Ovmq0mAjbzAtfN0EFf249,"Neyo, Usher, Chris Brown, Sisqo, Craig David, Mario, Nelly, Akon PL","96,968 saves"
https://open.spotify.com/playlist/5RZeYzyjFyJTp08r24FYMF,"The Best of R&B: 80's, 90's, & 00's","8,782 saves"
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,225 saves"
https://open.spotify.com/playlist/3a9yodm1vqcU6JULLBeZeA,RnB 2000s (greatest hits),"42,901 saves"
https://open.spotify.com/playlist/37i9dQZF1DWX9mGYsaqc7V,Slow Jamz,"431,002 saves"
https://open.spotify.com/playlist/3XHC4e4kCnzdS3YpJX2Gbk,OLD MYSPACE JAMS ✨🦋🎶,"37,359 saves"
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"176,040 saves"
https://open.spotify.com/playlist/7rIUjHHI7hlbpXG7VSqfg5,"Old School RnB, 90s, 2000s R&B","278,106 saves"
https://open.spotify.com/playlist/2m6pIU4Wkuxj5agvTWPgBJ,Freakiest songs 😩🥵,"3,410 saves"
https://open.spotify.com/playlist/0hKn6SLPULMzOGBiIrFP4W,❤️ Best of 90's Rnb Slow Jams ❤️,"15,247 saves"
https://open.spotify.com/playlist/6nVITPvjCXctiA9up3KkRe,Slow Jams/R&B ❤️,"51,834 saves"
https://open.spotify.com/playlist/28AOnXdRpkeBGMH3zMehz1,RnB Hits 90s & 2000s,"186,752 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4xZYmk,This Is J. Holiday,"1,937 saves"
https://open.spotify.com/playlist/0vx9Ko3GUk0hgfDkQsIQoY,Soul music 90s-2000,"3,644 saves"
https://open.spotify.com/playlist/2lR6DVk8az4v71SfulYpiV,2000s RnB Hits,"60,216 saves"
https://open.spotify.com/playlist/0UqA3MJ7l2dbo9SAwddYV8,Top Hits of 2007,"6,890 saves"
https://open.spotify.com/playlist/6bJlNf8ZRVXGozh31dC2vN,2000s Rnb Old School Hits,"5,453 saves"
https://open.spotify.com/playlist/3ButSypTSsKB3oZnIQ9qJV,RNB Chill Hits,"1,878 saves"
