url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"854,233 saves"
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,461 saves"
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,786 saves"
https://open.spotify.com/playlist/34yzOP8kUAMb1WRwzL3Zfq,Early 2000's Country Best Hits,"6,241 saves"
https://open.spotify.com/playlist/4Rj125SGTzwPOK3ILJH6sL,spicy country 🫢👀,"4,295 saves"
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,488 saves"
https://open.spotify.com/playlist/0UWuAxDMysiVkmqLtvNyLp,SUMMERTIME COUNTRY,"6,306 saves"
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,286 saves"
https://open.spotify.com/playlist/0v5AneHQFa5FYp94PCiz3e,Country Music 2024,"114,056 saves"
https://open.spotify.com/playlist/0wqUVPa19eClnNClEMQQoY,2010’s Country Hits,"6,318 saves"
https://open.spotify.com/playlist/49S6WHKuBWhmNcDiYjD9vF,Nostalgic 2000s country,"2,361 saves"
https://open.spotify.com/playlist/7pgY4yvjJK298rUdjt1lev,Two-Stepping the Night Away,"8,666 saves"
https://open.spotify.com/playlist/3t9g0zGUYvn91KlEYeg8CN,Top Hits of 2008,"6,077 saves"
https://open.spotify.com/playlist/4bdFkQKM6jAzAUIDlcPJjp,Country 1990s-Early 2000s,"4,246 saves"
https://open.spotify.com/playlist/0cEEjmhrho6vCsu7fceFYG,Country Patriotic Songs,"3,652 saves"
https://open.spotify.com/playlist/781JLVshOHfAeHAx7WuhiH,Country Bedroom Mix,"4,446 saves"
https://open.spotify.com/playlist/394HMXgyuum51RbfnmLYl9,Save a horse,"6,813 saves"
https://open.spotify.com/playlist/2anfitqFNFgWcaENqz5ZpA,COUNTRY THROWBACKS,"1,727 saves"
https://open.spotify.com/playlist/71GffX5acHb3NonTIoN1Ch,Country Covers of Popular Songs,"14,229 saves"
https://open.spotify.com/playlist/2ZSrzRMIJmHHyAirPujk2s,oldies country,"2,442 saves"
https://open.spotify.com/playlist/5VFiXkQVM0yPQ1v1EkneDw,Country festival gals,"6,815 saves"
https://open.spotify.com/playlist/2l3Ipf54bXStgnKyeiWORu,Country Road Trip 🤘,"24,004 saves"
https://open.spotify.com/playlist/5qeq4MaJ8gIkDVKWK59JCj,Rocky Top,"3,789 saves"
https://open.spotify.com/playlist/29rtLnYh8jaD5dUyNtiG7k,Y2K Country,"12,576 saves"
https://open.spotify.com/playlist/32k0tte3AB19E6uf2boA32,country songs to scream in the car!,"24,953 saves"
https://open.spotify.com/playlist/42Didpel8ArfxKYMdeJCsm,Country Songs You Forgot About,"1,893 saves"
https://open.spotify.com/playlist/1FvfKS3SvoK3yasPzIJIjh,Best of Old and New Country,"1,361 saves"
https://open.spotify.com/playlist/0AgZu5wvNVO6S7k63PnmfF,Up beat country music!!✅,"2,183 saves"
https://open.spotify.com/playlist/27SxbJ6MUxG8ayLc6jgUAI,old happy country i forgot about🤠,"2,127 saves"
https://open.spotify.com/playlist/2lGOGNW2zbTaGkmS3SH57X,,"4,959 saves"
https://open.spotify.com/playlist/6gXgPeZLfob30T6RSoy9nb,2000 Country Music,"47,779 saves"url,playlistName,saves
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"176,204 saves"
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,786 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0TqdSo,This Is Billy Currington,"30,026 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,2010s Country,"607,055 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,770 saves"
https://open.spotify.com/playlist/4Nzgw5Dv15mgILcGldwzGJ,Best of Billy Currington,"1,058 saves"
