

url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0HwaBO,This Is boygenius,"30,755 saves"
https://open.spotify.com/playlist/53yMQt8cRfObvZeAdjmT90,thought daughter,"48,512 saves"
https://open.spotify.com/playlist/5Fb4tPy3wpQqNSnvEUPNFP,thought daughter car ride,"19,966 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVsh2vXzlKFb,Summer Indie,"564,584 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0611i4oGheJ,Soft & Slow,"454,391 saves"
https://open.spotify.com/playlist/5hOH3HcnQon0lWreL9Tfwx,NANGIS AMPE MATA BENGKAK 😭,"225,541 saves"
https://open.spotify.com/playlist/78lw1fbjkHGukSGYUbBZ7u,Thought daughter 📝,"19,975 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO007c08,This Is Lucy Dacus,"13,359 saves"
https://open.spotify.com/playlist/2GgTpiqee3MDjy2h4nTkWb,all phoebe bridgers songs,"7,682 saves"
https://open.spotify.com/playlist/6D3FARsYIOlrVxfgoMdb0P,slow and sleepy love songs 🫂💞,"26,981 saves"
https://open.spotify.com/playlist/004dqYVVhtQE3YcHUAH2DS,*ೃ༄ autumn🍂☕️🕯️,"71,608 saves"
https://open.spotify.com/playlist/37i9dQZF1DX26DKvjp0s9M,Essential Indie,"983,530 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXJyjYpHunCf,Folk Pop,"931,465 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0yn9SJ,This Is Julien Baker,"16,013 saves"
https://open.spotify.com/playlist/37i9dQZF1DXd0ZFXhY0CRF,Women of Rock,"754,312 saves"
https://open.spotify.com/playlist/1beCxa0eDiJkx711OvJzbM,"always an angel, never a god","7,599 saves"
https://open.spotify.com/playlist/09PWdnEeaF4shW7m6mi8D0,Who is Phoebe Fucking Bridgers?,"87,313 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTMR78LDoAZC,Alternative Pride,"172,533 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSM0Vq39VM1S,Réveil en douceur,"172,014 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZkMGGysxknj,"Café, Libros.","811,701 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbsWQD03AVcA,Travailler en musique,"343,248 saves"
https://open.spotify.com/playlist/4Eaqv2ZjzoQmG0myohWtYi,songs that feel like fall 🍂,"20,449 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVw7c2MHvocy,Easy Listening,"450,251 saves"
https://open.spotify.com/playlist/6xfTlZFlE4q0xrkKUeigmn,phoebe bridgers complete(s my heart),"29,711 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVOwpsn6QxFY,Garden Indie,"148,256 saves"
https://open.spotify.com/playlist/5FLQwY1dXZlmgzGrxhlgsI,is it casual NOW?,"24,942 saves"
https://open.spotify.com/playlist/6A9uUnZiNsWnjgp2cFcsbJ,Sleeping and fake scenarios,"9,732 saves"
https://open.spotify.com/playlist/37i9dQZF1DX91UQmVbQYyN,Women of Indie,"592,233 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWXRvPx3nttRN,Feel Good Acoustic,"544,986 saves"
https://open.spotify.com/playlist/5ApIQzIxDRILkxhYSjX5Rr,boygenius but actually all of boygenius,"3,710 saves"
https://open.spotify.com/playlist/3tTUJOekveA3xAkItunQzQ,"julien baker, ranked by sadness","4,098 saves"
https://open.spotify.com/playlist/4yGyrIMKnGaOSb4pj3aCF9,Julien Baker - Complete Discography,"4,587 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9,Dark & Stormy,"829,700 saves"
https://open.spotify.com/playlist/0HY9QtArCWh5tJSYE5dubj,phoebe lucy julien boygenius,"4,427 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5bjCEbRU4SJ,Calm Down,"1,564 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1mdpXpgpDiF,שישי של מוזיקה חדשה,"23,165 saves"
https://open.spotify.com/playlist/37i9dQZF1DWUDoJcM4v6Tm,The Wilds,"715,607 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTMR78LDoAZC,Alternative Pride,"172,532 saves"
https://open.spotify.com/playlist/5tdfnRNnED2UAoW7LA1hmx,Viral Pop,"44,846 saves"
https://open.spotify.com/playlist/5Ra0uZM7vYYF8dhKu5sBr2,New Music Daily (feat. Lauv),"31,275 saves"
https://open.spotify.com/playlist/3jcya2zrsUu5jeAaKZJM8Q,Chill Pop (feat. Daniel Caesar),"34,781 saves"
https://open.spotify.com/playlist/1u5Arjj1QfvNLgfrPhyTeK,Indie Eclectic,"31,470 saves"
https://open.spotify.com/playlist/1LFaFwPRwLzCuuwfM8fXln,Chill 2.0 (feat. Bryson Tiller),"34,601 saves"
https://open.spotify.com/playlist/7lM7cNYsnZBuPBDdZ9Enjh,Indie Essentials,"29,619 saves"
https://open.spotify.com/playlist/0KOwuZFVxxiLcGy6kC6tkT,Rock Anthems,"21,300 saves"
https://open.spotify.com/playlist/1wGYpbz9715mvo3FE6eLXw,Sad Hour (feat. Alex Warren),"31,303 saves"
https://open.spotify.com/playlist/3uZf8J5T9dsUnC5JPIM7t0,Feels (feat. Ariana Grande),"34,345 saves"
https://open.spotify.com/playlist/3QrRzKqUCwMMJogKidd2X6,Indie Breakthroughs,"21,391 saves"
https://open.spotify.com/playlist/4wNdzflzh6gIeCMBhH6RuZ,All Things Go 2024,"3,093 saves"
https://open.spotify.com/playlist/37i9dQZF1DWV1bxlagjEmb,Sad Folk,"99,715 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWbVYL1LBbVy,10 Years of Heartache,"808,430 saves"
