url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWT7oUl2XAhgF,Retro Soul,"345,820 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4WgZiuR77Ef,All Funked Up,"393,935 saves"
https://open.spotify.com/playlist/2NaRFQ7hcA0Ncp3c7nl3vr,"Funky Jazz, Blues & Soul","71,738 saves"
https://open.spotify.com/playlist/6at4j7h8qM06Tu2E5MDPLH,Good Vibes 2024 🌈,"3,171 saves"
https://open.spotify.com/playlist/34La7Mt1w5SAYhEJu0JC5o,"Jazz, BigBand, Funk & Soul","2,059 saves"
https://open.spotify.com/playlist/7mpzDOVb2WcWysaVXOaRZJ,Discovered Weekly,"1,632 saves"
https://open.spotify.com/playlist/0qei9o8XZJI6TM8BZcitEi,What Else is New,"3,813 saves"
https://open.spotify.com/playlist/5E8QZdNnZPjcKPnbSDYMYm,Sugarshack Sessions,"7,157 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,"353,539 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbHcQpOiXk1D,Jazz UK,"315,936 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSXWSaQmvWOB,Soul 'n' the City,"771,410 saves"
https://open.spotify.com/playlist/37i9dQZF1DX7YCknf2jT6s,State of Jazz,"936,142 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2kt7dB63bU1,Vocal Jazz,"145,941 saves"
https://open.spotify.com/playlist/37i9dQZF1DWT7oUl2XAhgF,Retro Soul,"345,820 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2B3xivNXPeb,Your Kitchen Stereo,"44,766 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4mCDUA,This Is edbl,"1,252 saves"
https://open.spotify.com/playlist/37i9dQZF1DX80MfQNTNVNZ,aloe,"188,821 saves"
https://open.spotify.com/playlist/0ii393lRLo5gSrmxzabnXz,LATE NIGHT JAZZ (Slow) 🍷,"2,882 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4Ce7C9uKaHy,fine jazz,"27,357 saves"
https://open.spotify.com/playlist/2OioDzmnxunaDleMmsUZZG,Radio Meuh: Best of du mois,"5,480 saves"
https://open.spotify.com/playlist/3vozP42qIpzoCn4WCzqSOH,Jazz Funk,"4,036 saves"
https://open.spotify.com/playlist/164ve0IOjCP6tkcJzVLD7n,New Jazz 2024,"5,774 saves"
https://open.spotify.com/playlist/1vsMNoH3sPEKm4PA5qgzZm,Monte Carlo Nights | PLAYLIST,"7,292 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTbkKlc06FmH,都会の空と音楽と,"133,361 saves"
https://open.spotify.com/playlist/5kubxbHt0feph1g3m65tVD,Deutschlandfunk Kultur recommends,"39,610 saves"
https://open.spotify.com/playlist/28PN4CsR0yGPk8ZxZjMgH6,Coffee Lounge ☕️,"1,194 saves"
https://open.spotify.com/playlist/06Hqs1bgwn1YtimJUyBAgk,Funk / Soul,"1,976 saves"
https://open.spotify.com/playlist/5Xw6lAJJ5xHOzzczdERzN1,Lunch Restaurant,"1,197 saves"
https://open.spotify.com/playlist/11KlXmMVKK7NdkBXHDVcZ6,BAR JAZZ MUSIC,"2,103 saves"
https://open.spotify.com/playlist/3MmC3ngk0WR93Y7CaTwDXG,Funk & Coffee,"22,750 saves"url,playlistName,saves
https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","367,346 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdGHPXiRsW3u,Soft 00s,"818,805 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTWdbR13PQYH,Top Hits of 2004,"201,817 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXeOurMWUII5,2000er Hits,"778,448 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4gHgzu,This Is Hilltop Hoods,"97,697 saves"
https://open.spotify.com/playlist/748QkAz67Glx7j9XMNMrgV,90s/2000s Bangers,"6,315 saves"
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"175,913 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbub4v6aRx7T,Born in the 90s,"245,952 saves"
https://open.spotify.com/playlist/5ZARfvVlsH1eVFjhjheL9A,Hip Hop Anos 2000,"63,834 saves"
https://open.spotify.com/playlist/1HCSOLU1vRfhXGvvRAad3C,90er und 2000er Top Hits,"27,741 saves"
https://open.spotify.com/playlist/12kPjYo6GyCzamnpET3Xd9,Empowering Breakup Songs,"22,335 saves"
