url,playlistName,saves
https://open.spotify.com/playlist/3FSvK3GkiECDMHeeIbbJIn,COUNTRY MUSIC 2024 🔥 Top Country Hits + New Country Songs,"71,035 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVn8zvR5ROMB,All New Country,"289,262 saves"
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,644 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0bUGQdz5BJG,Next From Nashville,"216,542 saves"
https://open.spotify.com/playlist/3h85iMwBiTSMNgOyy2El4D,Country music 2024,"4,202 saves"
https://open.spotify.com/playlist/0ebPt1lsz1fKa5dZIXC2K9,Country Roadtrip 2024,"10,674 saves"
https://open.spotify.com/playlist/7MthDcrXbpOw86imG9omyw,Top Hits (Clean Version),"25,459 saves"
https://open.spotify.com/playlist/0VXj17xrCHWBd984tRq8MY,Bass Boosted Country,"7,546 saves"
https://open.spotify.com/playlist/0PTE5c1a639omCGuC20FbS,Country 2024 ⭐ Top Country,"6,975 saves"
https://open.spotify.com/playlist/37i9dQZF1DWYUfsq4hxHWP,Fresh Finds Country,"94,490 saves"
https://open.spotify.com/playlist/1fibupfLjDTwOCIFUy4aO6,New Country Hits 2024,"7,107 saves"
https://open.spotify.com/playlist/6kLxvrlSeWBSyjpMxXNgAG,Country vibes,"1,749 saves"
https://open.spotify.com/playlist/3oQC7tThf9qmuzdutVfjJQ,Country Radio 📻 Handpicked Hits,"6,627 saves"
https://open.spotify.com/playlist/0PD9hH8immdZG9IrPfj69W,Country & Americana,"8,762 saves"
https://open.spotify.com/playlist/5zT6dOYzE8i369PWmTll4A,"Greesha Indie, Country, Folk and Americana Mood 2024","1,583 saves"
https://open.spotify.com/playlist/3Z4Y62VAfQHhr12LlUW0XX,Country Gold,"10,868 saves"
https://open.spotify.com/playlist/2M1L0DUgxFCPruy4cUeKPt,Country Music 2024,"8,585 saves"
https://open.spotify.com/playlist/3RNo9lCNtfXogLahHDxXhu,Chill Indie Vibes,"3,320 saves"
https://open.spotify.com/playlist/2sbp134owpVtrxyEgT1qvo,Country Hue,"10,691 saves"
https://open.spotify.com/playlist/5lAEVVK6zRMcmsaCUQrnJx,Cooking Vibes 👨‍🍳,"4,356 saves"
https://open.spotify.com/playlist/4SJQGBRIF9UZ2Pa2Unl6ll,"Love Songs❤️(2021s,2010s,2000s & 90s)","1,267 saves"
https://open.spotify.com/playlist/0oDuWqM8VRVLwE0lsBWOi5,Best Country Music 2024 🎸 - Vibe Selection | T-VERSE |,"1,796 saves"
https://open.spotify.com/playlist/3pxSoODyWksOyoODbdgKTJ,COUNTRY 2024🍺 Top 301 Marto,"1,433 saves"url,playlistName,saves
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"351,942 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO23Vfpd,This Is Shaboozey,"22,863 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSBi5svWQ9Nk,Hot Hits NL,"928,681 saves"
https://open.spotify.com/playlist/5lH9NjOeJvctAO92ZrKQNB,Top 40,"335,052 saves"
https://open.spotify.com/playlist/37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,"618,789 saves"
https://open.spotify.com/playlist/37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,"915,453 saves"
https://open.spotify.com/playlist/37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,"546,065 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSK8os4XIQBk,All About Country,"551,644 saves"
https://open.spotify.com/playlist/5KJDMJe9EJ7QRz8FG2MIpI,BEST HITS 2024 🔥 Popular Songs 🎵 Top Music Hits 🎵 Summer 2024,"269,631 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTMYgB8TqtmR,Hot Hits Sweden,"882,907 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4zbZrYRGVam,Songs of Summer,"108,679 saves"
https://open.spotify.com/playlist/37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,"815,037 saves"
https://open.spotify.com/playlist/2rQTKyoNgZbc8wqIwI1Jq3,SUMMER VIBES 2024 🌴 CHILL HITS,"378,967 saves"
https://open.spotify.com/playlist/37i9dQZF1DX8685vIIepKh,Garde la pêche !,"739,193 saves"
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,Breakout Country,"575,976 saves"
https://open.spotify.com/playlist/0iNOs9oXZfkKkZceQlPNcd,Top 40 | Qmusic,"106,770 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXT8uSSn6PRy,Hot Hits Canada,"897,289 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,162 saves"
https://open.spotify.com/playlist/37i9dQZF1DWYAaAF4glatK,Summer Hits,"340,028 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdrln2UyZD7F,La vie est belle,"910,575 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbS5WTN5nKF7,Hit Radio,"391,775 saves"
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,298 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,243 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTh5RC6ek3nb,Sommarhits 2024,"565,871 saves"
https://open.spotify.com/playlist/37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,"216,460 saves"url,playlistName,saves
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"351,944 saves"
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,Breakout Country,"575,976 saves"
