
url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1Exmrs,This Is Noah Kahan,"285,692 saves"
https://open.spotify.com/playlist/5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,"170,847 saves"
https://open.spotify.com/playlist/37i9dQZF1DXd9zR7tdziuQ,Hits acústicos,"935,140 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1j96SzHv3js,Morgenkaffe,"235,978 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0AGqf6,This Is The Lumineers,"440,188 saves"
https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,Restaurant Music 2024,"66,305 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,246 saves"
https://open.spotify.com/playlist/37i9dQZF1DX17ZtCXQuwXM,Working From Home,"189,653 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXRvPx3nttRN,Feel Good Acoustic,"545,004 saves"
https://open.spotify.com/playlist/1pmsMvJXvQ6s55bz4FsqCy,Love Songs 2024 💕,"71,024 saves"
https://open.spotify.com/playlist/6b7jEKn1BF50vtVVnvZXow,James Bay Complete,"109,565 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSXBu5naYCM9,A Perfect Day,"918,657 saves"
https://open.spotify.com/playlist/0gFS9YxMj6gsP9ESwN1OCm,"Cozy, cuddly fall music","17,342 saves"
https://open.spotify.com/playlist/37i9dQZF1DWTc452KG008d,Lazy Sunday,"349,801 saves"
https://open.spotify.com/playlist/37i9dQZF1DX0b1hHYQtJjp,Just Good Music,"909,976 saves"
https://open.spotify.com/playlist/4h2MD8T5fNW2Ss8sO5up68,Calm Music 2024 😌💖,"141,410 saves"
https://open.spotify.com/playlist/11nSleISOWGLboWVWPDuwB,Café Music 2024 ☕ Chill Vibes - Coffee Lounge,"521,284 saves"
https://open.spotify.com/playlist/37i9dQZF1DX6IdqACeHRY7,ren hygge,"153,018 saves"
https://open.spotify.com/playlist/7hahEFgWBNRDeyZ2C0cMkt,Slow mornings🤍,"26,541 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWvoJqVv7uOD,Everyday Favorites,"442,938 saves"
https://open.spotify.com/playlist/37i9dQZF1DX2oVzuo0LbVg,Pop en Inglés,"161,922 saves"
https://open.spotify.com/playlist/37i9dQZF1DWV1PBrIG2weG,Chill 2024,"828,317 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4,ALT NOW,"602,397 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWbVYL1LBbVy,10 Years of Heartache,"808,480 saves"
https://open.spotify.com/playlist/72CtON9Gl1rS2Hvk6ktPhA,Breakfast & Coffe Music 2024,"49,733 saves"
https://open.spotify.com/playlist/0JSOXHtJHmDoFbBeIPWT5b,Work 40 Hour Office Playlist 2024 Changed Weekly. New & High School / Classic Hits,"13,497 saves"
https://open.spotify.com/playlist/37i9dQZF1DX6mWRaog94SQ,Hit Internazionali,"303,628 saves"
https://open.spotify.com/playlist/37i9dQZF1DX4WKDmViNbrh,Muzyka do pracy,"83,523 saves"
https://open.spotify.com/playlist/54v4AACu2VmRqz9Ya63nwB,Best of John Mayer,"75,185 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2llutr,This Is Zach Bryan,"489,602 saves"
https://open.spotify.com/playlist/4YYOnVhrLA4QLJsk4HbIxl,John Mayer - Top Tracks,"409,617 saves"
https://open.spotify.com/playlist/52VtjQ2EeRt54XLFclkDFf,John Mayer - Greatest Hits,"12,241 saves"
https://open.spotify.com/playlist/72CtON9Gl1rS2Hvk6ktPhA,Breakfast & Coffe Music 2024,"49,733 saves"
https://open.spotify.com/playlist/4SammBQx8lE5eS2zn1sPrT,Sunday Morning Vibes ⛅️,"9,827 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,246 saves"
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"303,163 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1BzILRveYHb,Sunny Day,"735,658 saves"
https://open.spotify.com/playlist/11nSleISOWGLboWVWPDuwB,Café Music 2024 ☕ Chill Vibes - Coffee Lounge,"521,286 saves"
https://open.spotify.com/playlist/4OrLCnci10VO8DlSQ7VK5d,Morning Coffee,"140,799 saves"
