url,playlistName,saves
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"156,382 saves"
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"342,044 saves"
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"175,003 saves"
https://open.spotify.com/playlist/249vSAsgkCMpMANGVu1s8C,Country Americano - O melhor,"127,044 saves"
https://open.spotify.com/playlist/5LeYztyxSMJLwotoHVQbZi,Country Party Songs 🤠 🍻,"43,106 saves"
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,236 saves"
https://open.spotify.com/playlist/4ixyNYbOmVoLpp6sttwrfs,"zach bryan, hozier, lumineers, noah kahan esque","72,127 saves"
https://open.spotify.com/playlist/69sctJ0acuqqO1dAjcSdBj,80's Country (Top 100),"55,056 saves"
https://open.spotify.com/playlist/3kEnfYJ3dyBG05cRm6UDnZ,70s Country (Top 100),"26,535 saves"
https://open.spotify.com/playlist/3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),"170,272 saves"
https://open.spotify.com/playlist/1qSvZo8CxjQY0QRdNpchsR,American Country 🇺🇸,"64,522 saves"
https://open.spotify.com/playlist/6eKwl5AJDWSCTt2NCFpqZm,Country Rap Mashup 🤠🎧,"26,992 saves"
https://open.spotify.com/playlist/17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,"103,646 saves"
https://open.spotify.com/playlist/1jvjtSC5sqLFwVSLiw00uB,TEXAS COUNTRY 🌵,"16,444 saves"
https://open.spotify.com/playlist/4CVE5ytphCc9rVXqk8H5v7,NOW 100 Hits Country,"6,340 saves"
https://open.spotify.com/playlist/4NNgX1wuo1iTPuXLT0ZbvZ,Tennessee Whiskey 🥃,"47,302 saves"
https://open.spotify.com/playlist/0GZM6ZsIAeztGV7qmR3tkE,sad country shit,"23,934 saves"
https://open.spotify.com/playlist/6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,"59,895 saves"
https://open.spotify.com/playlist/4nNUAkw3i6SXcjzYDMUPIT,Fishing Country Songs 🎣,"17,503 saves"
https://open.spotify.com/playlist/1lcbYKyLFvyLb5rZXbVVYc,Country Playlist 🤠,"23,259 saves"
https://open.spotify.com/playlist/3G0pyfnFl1wl2aqUattY6Z,Todays Country Hits (2018-2024),"45,408 saves"
https://open.spotify.com/playlist/7kEE6TqULEqEkWETKhXscw,sad country songs to cry to.,"95,648 saves"
https://open.spotify.com/playlist/6G7ZJuBDKwjCrk9ftdu82D,Outlaw Country,"108,490 saves"
https://open.spotify.com/playlist/1os1Dl7ADMYMNIDmWqRpCy,Sad Cowboy Shit😔🤠🚬,"23,721 saves"
https://open.spotify.com/playlist/6AnlE8YErRhgyOvOgypkDk,Free a country music playlist,"6,730 saves"
https://open.spotify.com/playlist/4izVJx4c1x3YpKq8lpj43i,Red Dirt Country,"7,296 saves"
https://open.spotify.com/playlist/7iwxYj68KXMrhO7W25Tfp9,"zach bryan, tyler childers, noah kahan & more","42,207 saves"
https://open.spotify.com/playlist/2lBKiVt2X6hLmoWLoohufg,Fallout New Vegas- Radio New Vegas,"86,747 saves"
https://open.spotify.com/playlist/7oxoxuulkQE7eVMGEiZcDS,Zach Bryan type shit,"56,662 saves"
https://open.spotify.com/playlist/2uy8YHTe1llzf1Wk6vEXFy,Steamy country 🤤,"7,657 saves"
https://open.spotify.com/playlist/72EUEM5K8DwJ6qiAp9o0gW,country love & late night drives,"14,422 saves"
https://open.spotify.com/playlist/6ydMlK08MF0Jqt6aTxdowk,Gritty Outlaw Country,"1,808 saves"
https://open.spotify.com/playlist/0LrK6gyVyn0JhXMKWAWNDX,country to listen to while drunk and sad,"15,746 saves"
https://open.spotify.com/playlist/0coC2vpi1TWtuz1YJtB7fl,Cry in your Beer Country 🍺,"47,342 saves"
https://open.spotify.com/playlist/0e5Qdtbmm1eR5T4no1RZKu,Best of Zac Brown Band,"31,204 saves"
https://open.spotify.com/playlist/5qYICmjy9jKQoSlgjdSEom,Sun Goes Down Tour 2024 Setlist,"15,972 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,155 saves"
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"175,005 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"852,897 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,2010s Country,"606,281 saves"
https://open.spotify.com/playlist/3FgcicJUPr6gWHgXJ8pB6C,country hits everyone knows,"12,991 saves"
https://open.spotify.com/playlist/1fkDgBQwW1WznebPh6kVeK,Beach Songs ☀️🌴,"19,943 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"438,498 saves"
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"342,044 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbIbVYph0Zr5,Country Cookout,"670,314 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSttCmn8GHUg,American Made,"228,965 saves"
https://open.spotify.com/playlist/44gouthN8Nfs6TMLI4eTI3,MARGARITAVILLE PLAYLIST 🦜,"13,344 saves"
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,575 saves"
https://open.spotify.com/playlist/37i9dQZF1DX42rTd7wQPNO,coastal cowgirl,"207,110 saves"
https://open.spotify.com/playlist/5FWhYtR66Kf04oFWNsEVoM,Late Night/Chill Country,"8,579 saves"
https://open.spotify.com/playlist/0A7njjO6LMimV1ce46gLJw,Country Beach Party 2024 🏖️,"11,909 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2yjxtK,This Is Alan Jackson,"316,416 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1diY80,This Is Jimmy Buffett,"106,137 saves"
https://open.spotify.com/playlist/05jzobshraN4wg2ZX3cJSX,Upbeat Office Clean Mix,"12,636 saves"
https://open.spotify.com/playlist/0UWuAxDMysiVkmqLtvNyLp,SUMMERTIME COUNTRY,"6,288 saves"
https://open.spotify.com/playlist/4ZmCS4rWUw3osS59yqaMQr,country music that's actually good,"20,560 saves"
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","9,592 saves"
https://open.spotify.com/playlist/6JnmdFtN1UF4sPlggRrrZL,BEACH DAY COUNTRY 🇺🇸🤠,"6,938 saves"
https://open.spotify.com/playlist/1XwEAXjgVRVmoxThgzCbdO,Clean Country Songs,"9,539 saves"
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,272 saves"
https://open.spotify.com/playlist/1qwbqrnuPTsQNcagyNut9H,Tiki Bar Island Music,"8,737 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5iKSDtVcf7Q,Heartland Country,"280,226 saves"
https://open.spotify.com/playlist/1aPuq8PDnfzsYEnTKRWYFg,Summer Boat Mix,"4,236 saves"
https://open.spotify.com/playlist/0qMVHggT7vBXaejPgUTbxA,The Greatest Showman Full Playlist,"56,361 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVFzWmxRnRJH,Raised on Country,"285,063 saves"
https://open.spotify.com/playlist/7APcM0pDgeFCZi1HlrsWCM,best country songs ever made🤠🤘,"9,016 saves"
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,173 saves"
https://open.spotify.com/playlist/37i9dQZF1DWXi7h4mmmkzD,Country Nights,"582,638 saves"
https://open.spotify.com/playlist/048TOuBckpthAwzzLVsApx,Coastal Cowgirl,"6,619 saves"
https://open.spotify.com/playlist/6H8VH4RI97zuWupHMimKYX,Ronan Keating - Greatest Hits,"3,523 saves"
https://open.spotify.com/playlist/76fIv2eV0gcNauBwetvSdT,Clare Bowen & Sam Palladio,"1,916 saves"
https://open.spotify.com/playlist/1Hsv62B2pwTf20jyyV6K31,Sam Palladio and Clare Bowen (Nashville),"2,520 saves"
https://open.spotify.com/playlist/048TOuBckpthAwzzLVsApx,Coastal Cowgirl,"6,619 saves"
https://open.spotify.com/playlist/6H8VH4RI97zuWupHMimKYX,Ronan Keating - Greatest Hits,"3,524 saves"
https://open.spotify.com/playlist/76fIv2eV0gcNauBwetvSdT,Clare Bowen & Sam Palladio,"1,916 saves"
https://open.spotify.com/playlist/1Hsv62B2pwTf20jyyV6K31,Sam Palladio and Clare Bowen (Nashville),"2,520 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits,"719,223 saves"
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"156,407 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"852,906 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1bD1DO,This Is Faith Hill,"33,233 saves"
https://open.spotify.com/playlist/7KfUYWFM4hpESLHNZXNFud,Faith Hill — Greatest Hits,"8,429 saves"
https://open.spotify.com/playlist/37i9dQZF1DX1BzILRveYHb,Sunny Day,"734,901 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVFzWmxRnRJH,Raised on Country,"285,068 saves"
https://open.spotify.com/playlist/6yvI7zRuB5uw7Kniv76qdr,90's COUNTRY THROWBACK,"75,715 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdGHPXiRsW3u,Soft 00s,"818,381 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVcJK7WY4M52,90s Pop,"266,446 saves"
https://open.spotify.com/playlist/0Onq9DoiaVvA63znkekvX4,Women Of Country 90s & 00s,"22,978 saves"
https://open.spotify.com/playlist/37i9dQZF1DWUJrRlgpYslH,Sunday Mood,"85,723 saves"
https://open.spotify.com/playlist/3NKthdgxid2S9fHhN54Vp3,80s/90s Country Hits,"19,824 saves"
https://open.spotify.com/playlist/1wa6SYaVFe5xbCgXrqUQPG,Classic Country 80s 90s 2000s,"27,788 saves"
https://open.spotify.com/playlist/41hK8gnuYkAbBWHh7ec8j0,90’s Mom Cleaning Playlist 🫧🧽,"15,991 saves"
https://open.spotify.com/playlist/7JeSkN9KULT5MBf0xYYlKV,90s Wedding Theme Songs 👰🏻💍,"23,870 saves"
https://open.spotify.com/playlist/5uodt6Yyd77Tu4dFuWc72F,Love Songs - Anos 80s 90s - Só As Melhores Internacionais,"92,515 saves"
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,238 saves"
https://open.spotify.com/playlist/7rInhqZ8uw2h8sR0IFvGjK,Women of 90s Country,"3,931 saves"
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","9,594 saves"
https://open.spotify.com/playlist/3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),"170,273 saves"
https://open.spotify.com/playlist/4lPRuMr4rYgT1Efo5JxWEE,As 100 Melhores Românticas Internacionais,"167,276 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country,"261,577 saves"
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,174 saves"
https://open.spotify.com/playlist/04OYMP4K257wngCxsY0o81,Faith Hill/Tim McGraw Duets,"7,028 saves"
https://open.spotify.com/playlist/7Irt9bkccUZCj7Nq1klW5v,Love Songs 70s 80s 90s Mix | Romantic Music | Românticas Internacionais | Top Músicas de Amor,"60,590 saves"
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,275 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3NQvqF,This Is Tim McGraw,"123,849 saves"
https://open.spotify.com/playlist/1cSe1tbdYYYnyoP93yJlRA,Christmas Music 🎅🏻🎄🎁,"967,849 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdK49S1DyoyG,Rosé on Tap,"79,944 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWXUgpTTs0Pv,Family Country,"44,866 saves"
https://open.spotify.com/playlist/37i9dQZF1DX64nnRPoKA6J,Good Feeling 90s,"174,669 saves"
https://open.spotify.com/playlist/37i9dQZF1DXaiEFNvQPZrM,Traditional Country,"772,149 saves"
https://open.spotify.com/playlist/37i9dQZF1DWYLUQ5WYaArq,Throwback Thursday AU & NZ,"372,847 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits,"719,223 saves"
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"156,409 saves"
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"852,908 saves"
