url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/4I62EW5TNHq8We12uVlvKA,Ásgeir Trausti,"2,046 saves",Ingólfur Örn Friðriksson,https://open.spotify.com/user/11139941476
https://open.spotify.com/playlist/72U9wNe1fkxYW68gh0TbO3,Icelandic Playlist,"10,402 saves",Visitisland.co,https://open.spotify.com/user/11171398034
https://open.spotify.com/playlist/3nu7T9lmz8oUTzj9gQ9KEQ,íslensk lög sem allir eiga að þekkja,"4,905 saves",Úlfur Ólafsson,https://open.spotify.com/user/21dkw7xqvheuer5tcr7qgxp7y
https://open.spotify.com/playlist/3UEhUvjRiG3JUDqwjOo4A4,元スタバ店員が厳選する歴代BGM,"4,992 saves",K&K,https://open.spotify.com/user/silzj2skdt86gh1o59ln9821s
https://open.spotify.com/playlist/4rI9w0uD91D2TIkmCspN0L,Ásgeir – The Complete Playlist,"3,783 saves",Ásgeir,https://open.spotify.com/user/%C3%A1sgeirmusic
https://open.spotify.com/playlist/3zUdO8wvOYhcvgec4R3BQ4,Iceland Road Trip,"14,947 saves",Lonely Planet,https://open.spotify.com/user/lonely_planet
https://open.spotify.com/playlist/1IXmrqJSvBQoNmCXFWq0d6,Sundown Songwriters,"20,625 saves",WXB,https://open.spotify.com/user/1opnj2gbnoy34rxta4hrszcqt
https://open.spotify.com/playlist/2gc08nFOIjlc2UjJYLIVVw,AUTUMN LOVE. 🍁,"4,815 saves",Mutausbrüche,https://open.spotify.com/user/119991586
https://open.spotify.com/playlist/5GK8pmvQqYYWzBRFamgvL8,PES 2016 (SOUNDTRACK) ⚽,"1,713 saves",João Victor,https://open.spotify.com/user/vi2000win
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,067 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/1Pa1fH4hCYwoSnWtamtIGE,abc lounge radio,"7,509 saves",Simona Garufi,https://open.spotify.com/user/simonagarufi
https://open.spotify.com/playlist/2mHjUnGxlZ4QEa13HqH587,CHILL SEXY VIBES,"5,059 saves",Charlotte Miseur,https://open.spotify.com/user/118956622
https://open.spotify.com/playlist/4I62EW5TNHq8We12uVlvKA,Ásgeir Trausti,"2,046 saves",Ingólfur Örn Friðriksson,https://open.spotify.com/user/11139941476
https://open.spotify.com/playlist/72U9wNe1fkxYW68gh0TbO3,Icelandic Playlist,"10,402 saves",Visitisland.co,https://open.spotify.com/user/11171398034
https://open.spotify.com/playlist/3nu7T9lmz8oUTzj9gQ9KEQ,íslensk lög sem allir eiga að þekkja,"4,905 saves",Úlfur Ólafsson,https://open.spotify.com/user/21dkw7xqvheuer5tcr7qgxp7y
https://open.spotify.com/playlist/3UEhUvjRiG3JUDqwjOo4A4,元スタバ店員が厳選する歴代BGM,"4,992 saves",K&K,https://open.spotify.com/user/silzj2skdt86gh1o59ln9821s
https://open.spotify.com/playlist/4rI9w0uD91D2TIkmCspN0L,Ásgeir – The Complete Playlist,"3,783 saves",Ásgeir,https://open.spotify.com/user/%C3%A1sgeirmusic
https://open.spotify.com/playlist/3zUdO8wvOYhcvgec4R3BQ4,Iceland Road Trip,"14,947 saves",Lonely Planet,https://open.spotify.com/user/lonely_planet
https://open.spotify.com/playlist/1IXmrqJSvBQoNmCXFWq0d6,Sundown Songwriters,"20,625 saves",WXB,https://open.spotify.com/user/1opnj2gbnoy34rxta4hrszcqt
https://open.spotify.com/playlist/2gc08nFOIjlc2UjJYLIVVw,AUTUMN LOVE. 🍁,"4,815 saves",Mutausbrüche,https://open.spotify.com/user/119991586
https://open.spotify.com/playlist/5GK8pmvQqYYWzBRFamgvL8,PES 2016 (SOUNDTRACK) ⚽,"1,713 saves",João Victor,https://open.spotify.com/user/vi2000win
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,067 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/1Pa1fH4hCYwoSnWtamtIGE,abc lounge radio,"7,509 saves",Simona Garufi,https://open.spotify.com/user/simonagarufi
https://open.spotify.com/playlist/2mHjUnGxlZ4QEa13HqH587,CHILL SEXY VIBES,"5,059 saves",Charlotte Miseur,https://open.spotify.com/user/118956622
https://open.spotify.com/playlist/4I62EW5TNHq8We12uVlvKA,Ásgeir Trausti,"2,046 saves",Ingólfur Örn Friðriksson,https://open.spotify.com/user/11139941476
https://open.spotify.com/playlist/72U9wNe1fkxYW68gh0TbO3,Icelandic Playlist,"10,402 saves",Visitisland.co,https://open.spotify.com/user/11171398034
https://open.spotify.com/playlist/3nu7T9lmz8oUTzj9gQ9KEQ,íslensk lög sem allir eiga að þekkja,"4,905 saves",Úlfur Ólafsson,https://open.spotify.com/user/21dkw7xqvheuer5tcr7qgxp7y
