url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DX9fDcF6S4tuJ,Disney Princess,"919,816 saves"
https://open.spotify.com/playlist/42UkpxHZzexqaG1T2Wf2yu,disney songs that slap harder than your mom last night,"176,991 saves"
https://open.spotify.com/playlist/6vfJDywgbubwqV6UcpEEHV,Scottish Folk & Gaelic Singing,"54,318 saves"
https://open.spotify.com/playlist/6uYWvulQdSIw1L5KHmlYqn,Clásicos Disney (Castellano),"21,978 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2abbsS,This Is Julie Fowlis,"4,356 saves"
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,438 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZrtMhzu7qoN,Disney Hits España,"89,643 saves"
https://open.spotify.com/playlist/37i9dQZF1DXb651y4Mmljv,Disney Hits Deutschland,"532,266 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSwdDfrTTq40,Disney Prinzessinnen,"33,812 saves"
https://open.spotify.com/playlist/042nNrkuQYJZ7QkZe0FzPA,i am my mother’s savage daughter,"10,784 saves"
https://open.spotify.com/playlist/37i9dQZF1DXd4bJEFQJTXh,Family Movie Hits,"176,674 saves"
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,300 saves"
https://open.spotify.com/playlist/7iwn94y55JHOD1Wk87hfuY,Best Disney Songs for Kids,"41,119 saves"
https://open.spotify.com/playlist/7wZns4h0U3ndWIcDUNbypp,Traditional Celtic/Gaelic music,"8,130 saves"
https://open.spotify.com/playlist/6NzzbdiF7nJL4XYW3XhwKi,lagunya disney yg ak SUKAAAA,"14,910 saves"
https://open.spotify.com/playlist/7bWE9GtRx2b1jwSckjLqW1,Fairytale Vibes,"19,082 saves"
https://open.spotify.com/playlist/37i9dQZF1DXbmaHM5tnxzO,Pixar Hits,"82,919 saves"
https://open.spotify.com/playlist/4UPGk63iaIrszvzM4tORAx,Kids Chill Out,"2,159 saves"
https://open.spotify.com/playlist/4rhOH4Cpwge4sk5TsKHyAq,Disney España (Actualizada 2024),"6,850 saves"
https://open.spotify.com/playlist/5YhCc85ujX3vddXiKPyAxa,🌾 Cole's Playlist,"8,069 saves"
https://open.spotify.com/playlist/1qT5Vq0JVRh7lSSEjV2zFR,MUSICA DISNEY EN ESPAÑOL,"6,313 saves"
https://open.spotify.com/playlist/5mJAvY13SFnjrxJmk1SlFm,Disney Classics Playlist,"11,995 saves"
https://open.spotify.com/playlist/0TQXrOHctIJ6VDD2FQHTzd,英語聞き流しディズニー,"10,344 saves"
https://open.spotify.com/playlist/0QUvTN6BNB2J5IFLkoJOgM,Merida-Songs,"2,881 saves"
https://open.spotify.com/playlist/40HIMO3g3s6v1eplHF5nXc,Gaelic Language Music,"8,136 saves"
https://open.spotify.com/playlist/4Q4v7sWHQLcFdGxAUxmsms,Ren Faire BANGERS,"5,004 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZIpZ4LZSlUo,Disney Hits Philippines,"87,489 saves"
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,822 saves"
https://open.spotify.com/playlist/47jPf61a5pOxmGEfisc0Xe,Kids Movie Soundtracks,"7,825 saves"
https://open.spotify.com/playlist/23M5EONZColrZsgMtxnhq0,Happily Ever After Fireworks Show!,"20,006 saves"
https://open.spotify.com/playlist/0rxdEId3quKPPpxQ1pjyyG,kingdom dance vibes,"19,658 saves"
https://open.spotify.com/playlist/6ub4DjX7dLfa6J96RphZyz,tavern wench (fantasycore) 🌾🧚🍺,"16,767 saves"
https://open.spotify.com/playlist/3pWDFmDAjSuRbR7Q7wpOFw,outlander vibes,"4,239 saves"
https://open.spotify.com/playlist/4E6VYLNDlVHoU09gLmos1n,Scottish Gaelic songs,"1,449 saves"
https://open.spotify.com/playlist/6Csz85e5CaohPBc2hggxGY,Happy Travel songs ✈️🌍,"10,411 saves"
https://open.spotify.com/playlist/4S3zzBss5GIhvXSd5t8nKJ,Princess Songs,"6,417 saves"
https://open.spotify.com/playlist/3kUQ1pgC5AC5i2obFJFReY,"“Hello, Feyre Darling”","10,252 saves"
https://open.spotify.com/playlist/3z2Y8LzuD0B8nZVgjcusX7,classic disney princesses👑,"27,367 saves"url,playlistName,saves
https://open.spotify.com/playlist/6OJBQs9vWu8K8QFQlGm877,100 Best Disney Songs of All Time,"122,541 saves"
https://open.spotify.com/playlist/7xwD468nVxLhkKWMDARoCm,Moana Soundtrack - All Songs,"131,675 saves"
https://open.spotify.com/playlist/14LVJZRt9L9m1BlJELmYXa,MOANA SONGS,"38,524 saves"
https://open.spotify.com/playlist/1ynJ63k9UYnKQWH2Q0KMml,Children's songs 😊 Happy kids music,"131,445 saves"
https://open.spotify.com/playlist/37i9dQZF1DXd4bJEFQJTXh,Family Movie Hits,"176,675 saves"
https://open.spotify.com/playlist/2r9P0Tm0V9yW4y9jmoXzEt,Kids Disco 2024,"31,217 saves"
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,441 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWu0xeeDiEZc,Sing Along,"389,403 saves"
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,301 saves"
https://open.spotify.com/playlist/3UE3tNJ2ktVmVEFPVjH6aS,Disney songs everyone knows,"12,012 saves"
https://open.spotify.com/playlist/1RpaaN1WhtxBEJJEOh6gOK,Moana - Trilha Sonora (Brasil),"11,167 saves"
https://open.spotify.com/playlist/37i9dQZF1DZ06evO45pZcs,This Is Tech N9ne,"126,473 saves"
https://open.spotify.com/playlist/7iwn94y55JHOD1Wk87hfuY,Best Disney Songs for Kids,"41,119 saves"
https://open.spotify.com/playlist/7vDbm6OQ1Bw4l5Y4b3JH1x,disney songs to belt in the shower 🛁,"78,054 saves"
https://open.spotify.com/playlist/441IWUjWCXWPF6leOCUVOH,Moana Movie Songs,"8,880 saves"
https://open.spotify.com/playlist/45oqmL3silSTKWTBPahpat,MOTIVATION SONGS OF 2024 | BEST SONGS TO PUSH YOUR LIMITS ❌❌📢,"69,109 saves"
https://open.spotify.com/playlist/7bPv5uVjGF1oZ6YQAqvEvM,BEST WORKOUT SONGS FOR 2024 💪😎 (English & Hindi),"35,227 saves"
https://open.spotify.com/playlist/5knnw22gAPyvrw1buVjipE,disney princess songs,"26,074 saves"
https://open.spotify.com/playlist/3FaLVxuPrvsaW2nV2yE7AF,Vaiana alle Lieder,"5,990 saves"
https://open.spotify.com/playlist/1YPCY0iK3VXxlRvGoObPL8,ITS ABOUT DRIVE ITS ABOUT POWER,"40,118 saves"
https://open.spotify.com/playlist/6jNM3ktSXdT4DfymH4plgg,Kids Disney Dance Party,"6,489 saves"
https://open.spotify.com/playlist/5muSk2zfQ3LI70S64jbrX7,TOP ENGLISH SONGS OF ALL TIME🔥♥️,"270,121 saves"
https://open.spotify.com/playlist/44imBReuLDHuIP0j4UmCtm,BEAST MODE - Motivation for sports GYM and bodybuilding,"174,127 saves"
https://open.spotify.com/playlist/2y9URNtkzZMfb2VXH3KXIr,Toddler Songs that Don’t Suck,"9,044 saves"
https://open.spotify.com/playlist/4x9T7QmVs0PKt80zqZPo1S,DISNEY THAT SLAPS HARD.,"10,543 saves"
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,821 saves"
https://open.spotify.com/playlist/3vHjFKeNa7SYCsuIEJRjjb,Disney Songs 2000 to 2024 - Disney Songs Playlist Old and New,"33,516 saves"
https://open.spotify.com/playlist/0cjJGkb7x0dl3A6FU107v4,Moana playlist,"2,901 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5dyzSiETSEk,Pop for Kids,"586,507 saves"
https://open.spotify.com/playlist/2K45ibqfZXFB50yoLTOxF4,School Appropriate Upbeat Songs,"24,045 saves"
https://open.spotify.com/playlist/44KDUErtWvsk0spSmzujAr,迪士尼電影經典歌曲,"9,760 saves"
https://open.spotify.com/playlist/37i9dQZF1DWYa24lU2SeaC,Disney Hits France,"85,822 saves"
https://open.spotify.com/playlist/1FZCOQcbF42ZoegltNefxs,"Gym & Workout | English, Punjabi & Hindi","40,215 saves"
https://open.spotify.com/playlist/2HIgaPHRxZZC8rBxTS4XRT,Moana Soundtrack OST,"9,315 saves"
https://open.spotify.com/playlist/0Jr2lYiROIcyso8lqIFh4l,Disney Movie Songs 🎵,"248,229 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZIpZ4LZSlUo,Disney Hits Philippines,"87,486 saves"
https://open.spotify.com/playlist/7LD17YaJftpf0WMg40h25L,Kids Dance Party (Clean),"38,314 saves"url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWYMVEbshVhe1,Encanto Official Playlist,"274,250 saves"
https://open.spotify.com/playlist/2r9P0Tm0V9yW4y9jmoXzEt,Kids Disco 2024,"31,217 saves"
https://open.spotify.com/playlist/0TTVvai4I47APQ6D2eeo0n,Encanto Songs,"99,447 saves"
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,301 saves"
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,441 saves"
https://open.spotify.com/playlist/1mIx28FUwPYkZZ3kE3NBRz,who am I without my academic achievements?,"15,321 saves"
https://open.spotify.com/playlist/4x9T7QmVs0PKt80zqZPo1S,DISNEY THAT SLAPS HARD.,"10,543 saves"
https://open.spotify.com/playlist/37i9dQZF1DX3SzuIjjsy97,Hits From The Musicals,"400,068 saves"
https://open.spotify.com/playlist/37i9dQZF1DX6ygqbbD1pKk,Disney Hits Latino,"176,986 saves"
https://open.spotify.com/playlist/3dmmjnEVj1NSlqaWuN96Yv,Sing 1 & 2,"15,261 saves"
https://open.spotify.com/playlist/6jNM3ktSXdT4DfymH4plgg,Kids Disney Dance Party,"6,489 saves"
https://open.spotify.com/playlist/37i9dQZF1DX5dyzSiETSEk,Pop for Kids,"586,507 saves"
https://open.spotify.com/playlist/37i9dQZF1DXb651y4Mmljv,Disney Hits Deutschland,"532,260 saves"
https://open.spotify.com/playlist/37i9dQZF1DWZIpZ4LZSlUo,Disney Hits Philippines,"87,486 saves"
https://open.spotify.com/playlist/37i9dQZF1DXecqoofR0Q25,Disney Hits,"4,393 saves"
https://open.spotify.com/playlist/77M49guWfZ7oC9nuvTMo4g,Encanto Soundtrack,"82,221 saves"
https://open.spotify.com/playlist/3vHjFKeNa7SYCsuIEJRjjb,Disney Songs 2000 to 2024 - Disney Songs Playlist Old and New,"33,516 saves"
https://open.spotify.com/playlist/1do5SElcmY6ye5x3M71JaJ,classroom friendly/class playlist,"7,579 saves"
https://open.spotify.com/playlist/5odFxaEoTK8plMJGsB4795,Best Disney Songs of ALL Time,"3,492 saves"
https://open.spotify.com/playlist/68TDI4GkK9jFVCHUkPknvI,KIDS PARTY PLAYLIST ! (CLEAN) 🎉🥳🎊,"24,076 saves"
https://open.spotify.com/playlist/0Jr2lYiROIcyso8lqIFh4l,Disney Movie Songs 🎵,"248,229 saves"
https://open.spotify.com/playlist/6Tk7MQdzeb0PUuu3quwt5D,Encanto✨ (English),"7,191 saves"
https://open.spotify.com/playlist/6eYl3FdJ7wOTQJAjVoeF8A,Disney English Songs ディズニー 英語,"19,417 saves"
https://open.spotify.com/playlist/53NShOSq5DbFmp0cruuFVW,🌾 Perrine's Playlist,"7,168 saves"
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,821 saves"
https://open.spotify.com/playlist/2SuYbG1U3WyYSkgEftcDiB,Disneyland Paris 30th 2022,"5,395 saves"
https://open.spotify.com/playlist/4GV9Tcj6rXGCATFUjLcpGQ,ULTIMATE DISNEY & MUSICALS,"2,189 saves"
https://open.spotify.com/playlist/3y9iO3eBkQ1Xtmywf2SidY,burned out overachiever former gifted kid with eldest daughter and imposter syndrome,"5,235 saves"
https://open.spotify.com/playlist/6Hui8Gs9ZSYWzJtHH2tvJ0,I was raised by a woman who was hard to impress,"1,383 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVLLXSxmZy0O,디즈니+ 인기곡,"59,406 saves"
https://open.spotify.com/playlist/1iR6zYEPL7WoZ8riDnxSXg,Weird songs that go hard,"31,435 saves"
https://open.spotify.com/playlist/0F0ZMVsRqMWhRfltnmq4QO,Disney Hits - Disney Songs 2024 - Music For Kids 2024 - LAUV - Steal The Show - Elemental,"6,673 saves"
https://open.spotify.com/playlist/0omD8p6DuyaO3qY7r8dQRx,the good disney songs,"3,348 saves"
https://open.spotify.com/playlist/7f34FTP4aNmhpP7DLX9baM,PLAYLIST NG MGA BURNED-OUT OVERACHIEVER NA UHAW SA ACADEMIC VALIDATION,"9,641 saves"url,playlistName,saves
https://open.spotify.com/playlist/14LVJZRt9L9m1BlJELmYXa,MOANA SONGS,"38,522 saves"
https://open.spotify.com/playlist/37i9dQZF1DX9fDcF6S4tuJ,Disney Princess,"919,799 saves"
https://open.spotify.com/playlist/6OJBQs9vWu8K8QFQlGm877,100 Best Disney Songs of All Time,"122,554 saves"
https://open.spotify.com/playlist/7xwD468nVxLhkKWMDARoCm,Moana Soundtrack - All Songs,"131,673 saves"
https://open.spotify.com/playlist/1ynJ63k9UYnKQWH2Q0KMml,Children's songs 😊 Happy kids music,"131,447 saves"
https://open.spotify.com/playlist/1P27ra5VqAizmkcUzVAvp2,Kids Party Songs 2024 🎉,"128,737 saves"
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,443 saves"
https://open.spotify.com/playlist/441IWUjWCXWPF6leOCUVOH,Moana Movie Songs,"8,880 saves"
https://open.spotify.com/playlist/3UE3tNJ2ktVmVEFPVjH6aS,Disney songs everyone knows,"12,013 saves"
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,301 saves"
https://open.spotify.com/playlist/3sli6Xk6KbuJccwc2tliUP,Calming disney songs,"3,769 saves"
https://open.spotify.com/playlist/5OdOuUWuS2xm09t3kODKzl,Mean Girls 2024,"8,419 saves"
https://open.spotify.com/playlist/3FaLVxuPrvsaW2nV2yE7AF,Vaiana alle Lieder,"5,990 saves"
https://open.spotify.com/playlist/0cjJGkb7x0dl3A6FU107v4,Moana playlist,"2,901 saves"
https://open.spotify.com/playlist/5knnw22gAPyvrw1buVjipE,disney princess songs,"26,072 saves"
https://open.spotify.com/playlist/3vHjFKeNa7SYCsuIEJRjjb,Disney Songs 2000 to 2024 - Disney Songs Playlist Old and New,"33,516 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWu0xeeDiEZc,Sing Along,"389,403 saves"
