url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWT7oUl2XAhgF,Retro Soul,"345,732 saves"
https://open.spotify.com/playlist/37i9dQZF1DWSXWSaQmvWOB,Soul 'n' the City,"771,363 saves"
https://open.spotify.com/playlist/768SflksbwuG1jZBTK7RMl,lagu pengantar tidur,"13,748 saves"
https://open.spotify.com/playlist/1V4QL33vsALvljElabTpxq,Early Morning Playlist ✨️🌷,"10,619 saves"
https://open.spotify.com/playlist/63aOMpGXakIizfhsXu6p9E,Chill songs,"9,296 saves"
https://open.spotify.com/playlist/11oLOJ8pmH3Q8esPFWmOIr,Strawberry [late night chill vibes],"116,871 saves"
https://open.spotify.com/playlist/74yXeQARdWYvO64RL5cSFQ,Honey [chill morning vibes],"100,452 saves"
https://open.spotify.com/playlist/3AUAs41Vr5wcwbGHq9ksHH,Cold Weather Playlist Q,"6,526 saves"
https://open.spotify.com/playlist/2ZipitvVHb1CWaMwv49iNc,Mode Jungler🔥,"2,946 saves"
https://open.spotify.com/playlist/37i9dQZF1DX7yhuKT9G4qk,eten met vrienden,"48,208 saves"
https://open.spotify.com/playlist/3ch1SltYN1sH9Vr4UOjhM7,parang gago kinikilig ako,"62,819 saves"
https://open.spotify.com/playlist/2VuaEBCUoglyC022I7EwOd,laufey vibes 🦢,"27,586 saves"
https://open.spotify.com/playlist/6qOYZu0BVD7NB7YEjeeuiA,Cooking and dancing in the kitchen,"35,697 saves"
https://open.spotify.com/playlist/0WpJHWRoElRIy8QlcTAMjv,seasons's vibes,"22,180 saves"
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,632 saves"
https://open.spotify.com/playlist/2MdcKug0XocIMuom5r7U5b,jeff bernat + bruno major + luke chiang + rini + jeremy passion + jesse barrera + mac ayres +++,"1,854 saves"
https://open.spotify.com/playlist/7DPSUXq6oVgBFdwiHYeL4y,jazzy & groovy vibes,"25,194 saves"
https://open.spotify.com/playlist/70XwOfkGae10QrIWab1fDk,HYBS Vibes,"4,721 saves"
https://open.spotify.com/playlist/1azC4nGfhxwLHDtZW9HzZH,buat pacarkuuu💗💐,"6,117 saves"
https://open.spotify.com/playlist/7kixgIoayW5DL3FyR6dyKQ,lily of the valley vibes,"18,620 saves"
https://open.spotify.com/playlist/2uPsUbYXEhoouFZA78xcc1,休日の朝カフェに聴く気持ちいい洋楽【Hibinoki Roku Original Mix】,"1,270 saves"
https://open.spotify.com/playlist/2UZDLI8xVhDoGjrcN2hPfW,songs about her <3,"19,600 saves"
https://open.spotify.com/playlist/0MioFj3ipfWyxQvijE6GV1,The Queen's Gambit - Netflix Soundtrack,"25,791 saves"
https://open.spotify.com/playlist/4WK6lAwpn67SNpqGnD1gBS,Feminine Energy ✨ (Soul / Rnb / Alternative),"91,672 saves"
https://open.spotify.com/playlist/6vlrLanMcj818Tmlit187Y,"walang papantay sayo, maging sino man sila","5,286 saves"
https://open.spotify.com/playlist/79uwjet39OoutEPSd1NLQY,Underrated RnB Songs,"10,926 saves"
https://open.spotify.com/playlist/3EtGcag1KU7hDtu4UJ2nVY,초여름의 피크닉 early summer picnic songs,"2,184 saves"
https://open.spotify.com/playlist/6QSIZ85Zamu23M9yLF62pE,nothing | bruno major,"2,179 saves"
https://open.spotify.com/playlist/30wqejN29SzyMtd3aHUqvl,카페 사장 최준도 이거 틀고 커피내리는 중,"2,959 saves"
https://open.spotify.com/playlist/2emF93QaDgT9zx6AryhfPr,buat gua tidur,"2,124 saves"
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,202 saves"
https://open.spotify.com/playlist/1NyQLgq9SeOVR8IxtVjDfy,Double take vibe,"7,818 saves"
https://open.spotify.com/playlist/37i9dQZF1DX6UaqbKdP2Bt,Lazy Country Morning,"23,491 saves"
https://open.spotify.com/playlist/27Hk7tSk4C5NlA7AvAPO5O,kasing ganda mo ang music taste ko,"4,882 saves"
https://open.spotify.com/playlist/7rLk44lsh6E8XmkdQn2iah,สากลฟังตอนฝนตก 🔈🌧️,"8,013 saves"
