url,playlistName,saves,playlistOwnerProfile,playlistOwner
https://open.spotify.com/playlist/7b8VqJeXeH102Upx1Hw3Ek,,"8,582 saves",,undefined
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1jcq7S,This Is Trey Songz,"198,835 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/3NJt9AdW0HpyPTe8WP5XRi,Bedroom jams 🥵😈💦,"121,545 saves",https://open.spotify.com/user/22djoercxe2fkt2elxgbao57i,Iamyach
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"158,517 saves",https://open.spotify.com/user/12145397198,Hudson Helms
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"175,948 saves",https://open.spotify.com/user/12142901212,Tam Hoffman-Levy
https://open.spotify.com/playlist/3qysEdvWzFxk1aK1kudfqV,2000s stripper music,"36,617 saves",https://open.spotify.com/user/31kxwurwkjkh66t66lu4gnsg4l74,Autumn
https://open.spotify.com/playlist/4TvVpoyxF9kmnu1GLikiQp,clubbing like it's the 2000's,"85,618 saves",https://open.spotify.com/user/0v18m5rzsdub5pujpnmuh56ij,kass !!
https://open.spotify.com/playlist/6hh4qPprTNLbDkCLzwE0P7,Freaky Playlist • Sex Music 😏👅💦,"44,648 saves",https://open.spotify.com/user/gdmg59uun5noyjwh28hpotmvj,Noémi Reyes
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0684jS,This Is Nicki Minaj,"866,622 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,"313,655 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,163 saves",https://open.spotify.com/user/ricoo97,Miranda Sullivan
https://open.spotify.com/playlist/37i9dQZF1DWX9mGYsaqc7V,Slow Jamz,"430,932 saves",https://open.spotify.com/user/spotify,Spotify
