url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4t4K4w,This Is Ásgeir,"20,985 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4I62EW5TNHq8We12uVlvKA,Ásgeir Trausti,"2,034 saves",Ingólfur Örn Friðriksson,https://open.spotify.com/user/11139941476
https://open.spotify.com/playlist/37i9dQZF1DWSM0Vq39VM1S,Réveil en douceur,"172,022 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX0611i4oGheJ,Soft & Slow,"454,446 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX42c5TkSUfEb,Au calme,"767,980 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX79N7YUDFu8f,Easy On Saturday,"112,654 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX4Umko6nOmN7,Lugnt & Skönt,"620,909 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbvABJXBIyiY,Rainy Day,"410,018 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/72U9wNe1fkxYW68gh0TbO3,Icelandic Playlist,"10,365 saves",Visitisland.co,https://open.spotify.com/user/11171398034
https://open.spotify.com/playlist/37i9dQZF1DX1j96SzHv3js,Morgenkaffe,"235,980 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3nu7T9lmz8oUTzj9gQ9KEQ,íslensk lög sem allir eiga að þekkja,"4,855 saves",Úlfur Ólafsson,https://open.spotify.com/user/21dkw7xqvheuer5tcr7qgxp7y
https://open.spotify.com/playlist/37i9dQZF1DX4INov2FfpME,Café & Música,"40,691 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3UEhUvjRiG3JUDqwjOo4A4,元スタバ店員が厳選する歴代BGM,"4,948 saves",K&K,https://open.spotify.com/user/silzj2skdt86gh1o59ln9821s
https://open.spotify.com/playlist/37i9dQZF1DXc0aozDLZsk7,No Stress,"476,144 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4rI9w0uD91D2TIkmCspN0L,Ásgeir – The Complete Playlist,"3,780 saves",Ásgeir,https://open.spotify.com/user/%C3%A1sgeirmusic
https://open.spotify.com/playlist/37i9dQZF1DX4HvY8T59VN2,Chilled Indie,"73,589 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX0FJ8JYkqiJu,Just Chill,"391,977 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX3asLxmR3A9e,Best of Indie 2014,"79,318 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3zUdO8wvOYhcvgec4R3BQ4,Iceland Road Trip,"14,826 saves",Lonely Planet,https://open.spotify.com/user/lonely_planet
https://open.spotify.com/playlist/1IXmrqJSvBQoNmCXFWq0d6,Sundown Songwriters,"21,330 saves",WXB,https://open.spotify.com/user/1opnj2gbnoy34rxta4hrszcqt
https://open.spotify.com/playlist/5GK8pmvQqYYWzBRFamgvL8,PES 2016 (SOUNDTRACK) ⚽,"1,666 saves",João Victor,https://open.spotify.com/user/vi2000win
https://open.spotify.com/playlist/37i9dQZF1DWUDoJcM4v6Tm,The Wilds,"715,620 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1Pa1fH4hCYwoSnWtamtIGE,abc lounge radio,"7,496 saves",Simona Garufi,https://open.spotify.com/user/simonagarufi
https://open.spotify.com/playlist/37i9dQZF1DXdEsjhZLqzBi,Chill Total,"56,460 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX5qwHeIGQ14o,Chilled Afternoon,"197,102 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2mHjUnGxlZ4QEa13HqH587,CHILL SEXY VIBES,"4,914 saves",Charlotte Miseur,https://open.spotify.com/user/118956622
https://open.spotify.com/playlist/37i9dQZF1DXaLaoaQqrfyO,Indie Pop 2010s,"349,526 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6tL5dElT453HHbpHWhaEvr,Ein Sommerabend im Garten,"1,193 saves",willibonrath,https://open.spotify.com/user/willibonrath
https://open.spotify.com/playlist/37i9dQZF1DXdJqnaw1s7iq,voltage,"47,012 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWVsh2vXzlKFb,Summer Indie,""564,589 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWURugcFfOfEH,good energy,"389,983 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYRdd9noPgqB,Feel Good,"291,439 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXT8uSSn6PRy,Hot Hits Canada,"897,247 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2hmLDliFT9mW84XHxRUzwx,Summer Vibes 2024 🌞🌴 Chill Hits,"290,425 saves",Lilly Era,https://open.spotify.com/user/lillyera
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,614 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXcx1szy2g67M,Summer 2024,"617,696 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWUW2bvSkjcJ6,New Music Friday Deutschland,"819,284 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4,ALT NOW,"602,402 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWvoJqVv7uOD,Everyday Favorites,"442,967 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/28oY1vSsipRE5VOyLDQqed,triple j's Like A Version,"308,551 saves",triple j,https://open.spotify.com/user/triple.j.abc
https://open.spotify.com/playlist/131wVohjHrpv3U321ZzFzD,Playlist Bonne humeur 🌞 | Hits feel good,"33,552 saves",Digster France,https://open.spotify.com/user/digster.fr
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,952 saves",partyfiesta!,https://open.spotify.com/user/partyfiesta%21
https://open.spotify.com/playlist/37i9dQZF1DX4W3aJJYCDfV,New Music Friday UK,"860,639 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX5WTH49Vcnqp,Front Left,"566,876 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbO6rt3GhXDY,Indie Pop Hits,"149,229 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8DAKoukubXJ,Letní chill,"66,371 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2LGmNuz7V96ah9hSNzlu1i,RUNNER GIRL JAMS👟🏃‍♀️🎧🔥,"15,033 saves",MAGGIE O,https://open.spotify.com/user/moferrall628
https://open.spotify.com/playlist/37i9dQZF1DXcecv7ESbOPu,New Music Friday Sweden,"215,451 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWAv76uXmtxB,romanticizing life,"16,045 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5wY6zoFktPSgcikEnXIfJW,Whisky Neat🥃,"5,817 saves",Live laugh love,https://open.spotify.com/user/fehtdyjgy92mbu2bbxn1hffxy
https://open.spotify.com/playlist/37i9dQZF1DX742okrrpwah,New Music Friday France,"351,635 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6TvutItQch5ry84ppTRPWN,Matin motivé ! ☀️☀️ Réveil de bonne humeur,"22,901 saves",Digster France,https://open.spotify.com/user/digster.fr
https://open.spotify.com/playlist/37i9dQZF1DWV3RrjH1jDkx,New Music Friday Norway,"188,483 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSwyaV6GLT48,summer songs,"104,816 saves",Spotify,https://open.spotify.com/user/spotify
