url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DZ06evO30Fe5W,This Is Bobby Bazini,"1,150 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWVzZlRWgqAGH,BUTTER,"813,893 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,648 saves",syd2004-de,https://open.spotify.com/user/syd2004-de
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,315 saves",Chris Bo,https://open.spotify.com/user/21woite5u4kfmyluvpigt3pli
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,993 saves",bobbybazini,https://open.spotify.com/user/bobbybazini
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,278 saves",Charlie Dimaala,https://open.spotify.com/user/22qcadht6d5v3lgjkttqthdvi
https://open.spotify.com/playlist/37i9dQZF1DXcgNXUHsZlwX,Café montréalais,"131,562 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,632 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,021 saves",Adrian Harsono,https://open.spotify.com/user/21wmro3ylffgolbqzail4a5uq
https://open.spotify.com/playlist/37i9dQZF1DWWv6MSZULLBi,Folk & Friends,"165,677 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWV5vqkTng2MA,the new retro,"407,064 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,202 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,551 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,703 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,565 saves",Manu Coens,https://open.spotify.com/user/qycmek84rc08fmcnfw964g3jk
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,972 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,887 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2p8kf1,This Is Gizmo Varillas,"2,245 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,382 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,450 saves",Gue Vieira,https://open.spotify.com/user/guevieira
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,613 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
