url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","367,659 saves",Esydia,https://open.spotify.com/user/savz8vts72hqdy7von3mqc29g
https://open.spotify.com/playlist/37i9dQZF1DXdGHPXiRsW3u,Soft 00s,"818,841 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWTWdbR13PQYH,Top Hits of 2004,"201,830 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXeOurMWUII5,2000er Hits,"778,512 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4gHgzu,This Is Hilltop Hoods,"97,698 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/748QkAz67Glx7j9XMNMrgV,90s/2000s Bangers,"6,316 saves",Lachlan Bernard,https://open.spotify.com/user/lpramberg
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"175,930 saves",Tam Hoffman-Levy,https://open.spotify.com/user/12142901212
https://open.spotify.com/playlist/37i9dQZF1DXbub4v6aRx7T,Born in the 90s,"245,964 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5ZARfvVlsH1eVFjhjheL9A,Hip Hop Anos 2000,"63,843 saves",Guilherme Dilelis,https://open.spotify.com/user/12162082047
https://open.spotify.com/playlist/1HCSOLU1vRfhXGvvRAad3C,90er und 2000er Top Hits,"27,760 saves",kallilucahsen,https://open.spotify.com/user/kallilucahsen
https://open.spotify.com/playlist/12kPjYo6GyCzamnpET3Xd9,Empowering Breakup Songs,"22,342 saves",thriftshop88,https://open.spotify.com/user/thriftshop88
https://open.spotify.com/playlist/3LxAucWWAt9iawKAB2zF8t,fuck what i said it dont mean shit now,"2,969 saves",danabbott97,https://open.spotify.com/user/danabbott97
https://open.spotify.com/playlist/37i9dQZF1DXcpdUBVeCXW9,Anni 00,"194,593 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWT2SPAYawYcO,New Music Friday AU & NZ,"379,103 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/51cdm8VHe8GtiHUNPxWGSW,Ultimate Millenials-Playlist (1995-2005),"15,878 saves",danieljelski,https://open.spotify.com/user/danieljelski
https://open.spotify.com/playlist/37i9dQZF1DWT7oUl2XAhgF,Retro Soul,"345,836 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5TsokYgtQL0Uuv6p8iaHHh,Festivalbar Novanta / Duemila,"21,654 saves",Darione,https://open.spotify.com/user/2hfadvieyvlxf45caqhpbkar3
https://open.spotify.com/playlist/048kreA4wf7WSSz8NuPEz6,"90s & 2000s Hip Hop, Rap, R&B","98,371 saves",Marky Gannon,https://open.spotify.com/user/thyra0307
https://open.spotify.com/playlist/6mPOHxLsi156NVojQMhGhi,DINAMITE 98 SÓ AS MELHORES,"6,769 saves",Eduxline,https://open.spotify.com/user/txu30eps1tf6hefczdlcb29f7
https://open.spotify.com/playlist/2doTIbDhEOK1PjAUTpjYsU,SAMUEL (Arte) - BO originale,"7,821 saves",Antoine Liquier,https://open.spotify.com/user/myriam.liquier
https://open.spotify.com/playlist/3T7tvVM961LDCk46xmHnLs,Hip-Hop Romântico (Antigas),"5,210 saves",Mano DG,https://open.spotify.com/user/12173766159
https://open.spotify.com/playlist/486PRCuvQkA7tU02hEYEua,Fuck It/Fuck You Right Back,"1,745 saves",Kota Greaver,https://open.spotify.com/user/1222173203
https://open.spotify.com/playlist/4ia6ZERoo5XsuWa7EECWGu,2000s Bass Songs,"10,563 saves",angel.oraye,https://open.spotify.com/user/angel.oraye
https://open.spotify.com/playlist/3JMN0MpX13RyPIPaj9DIQc,2000er ✨flashback ✨,"29,888 saves",die.kim,https://open.spotify.com/user/un83daiyr9y0fgzxl6v9qfij0
https://open.spotify.com/playlist/7G09x3aZKv159hUQWh5bwa,2000’s R&B HipHop - Old But Gold 🔥,"9,337 saves",SP3CTRUM,https://open.spotify.com/user/sp3ctrumofficial
https://open.spotify.com/playlist/6zGbgDCvY2ph9e80EqTKVd,Noughties 00s Throwback Y2K,"47,618 saves",Filtr Ireland,https://open.spotify.com/user/filtr.ie
https://open.spotify.com/playlist/1D0Mj4E8Es0xy9mcwRNkbr,Hilltop Hoods: Best Of The Best,"1,152 saves",Best Of The Best,https://open.spotify.com/user/best-of-the-best
https://open.spotify.com/playlist/3GSrjv74GAtmfNz6HU109e,So Fresh 2000-2017,"46,997 saves",Jared Brindley,https://open.spotify.com/user/22rbxg3evao5hqr57dipl4l2i
https://open.spotify.com/playlist/7h9wlay1uiXIvHPcMf7JRO,Hilltop Hoods Complete,"18,341 saves",Hilltop Hoods,https://open.spotify.com/user/hilltophoodsmusic
https://open.spotify.com/playlist/4jCtgTbM8IfhB551206q6P,2000 R&B Hits,"109,927 saves",LT-Dawg008,https://open.spotify.com/user/12155088627
https://open.spotify.com/playlist/5RZeYzyjFyJTp08r24FYMF,"The Best of R&B: 80's, 90's, & 00's","8,740 saves",Mike Salinas,https://open.spotify.com/user/msalinas408
https://open.spotify.com/playlist/37i9dQZF1DWVCpK5SVqe66,Top Hits de 2004,"24,801 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4b82jIPv2yUIf07pLjuL6A,the ultimate fuck you playlist ☆,"5,962 saves",madisonwing8,https://open.spotify.com/user/madisonwing8
https://open.spotify.com/playlist/6CY4Hw9o6VjJaTTesUk8iK,HIP HOP DAS ANTIGAS SÓ AS MELHORES,"2,467 saves",Erickplay12,https://open.spotify.com/user/shqy90xam36fasul37d2ktxd7
,,undefined,undefined,
url,,saves,undefined,
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4jkBCE,This Is Snoop Dogg,"475,879 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX9sQDbOMReFI,West Coast Classics,"877,902 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7K5T1por7Awge7QiukTFfS,Américain Rap 🇺🇸 90-2000,"25,635 saves",Nathan B,https://open.spotify.com/user/31f5f4rz3d4sud5ouk2tfgoevx5i
https://open.spotify.com/playlist/0lg6yptLZAi8kjxSkpJejr,Best of 90s Hip Hop,"47,374 saves",Baranderos,https://open.spotify.com/user/officialbuzz
https://open.spotify.com/playlist/76rIPTSqm8noZgcmNhe1Hp,Best 90s rap songs💸,"102,697 saves",Elsaa,https://open.spotify.com/user/cfaxt7142n7cxrl6vikitgw72
https://open.spotify.com/playlist/3xqcAMgjHGrv3ElA51zZRj,Eminem: Best Of The Best,"612,895 saves",Best Of The Best,https://open.spotify.com/user/best-of-the-best
https://open.spotify.com/playlist/7xUf4YLvM2ZrWskl1ZM9hO,"50 Cent, Eminem, Snoop Dog, Dr. Dree CR","8,636 saves",Raul,https://open.spotify.com/user/3144m3omvkeqqdmjv2ifo4tfeoau
https://open.spotify.com/playlist/0C2zyPdlkbWHrwVg9gqNdU,90s Rap | 90s Hiphop | Old School Hip Hop House Party!,"191,635 saves",Anish Mammen,https://open.spotify.com/user/mammenag
https://open.spotify.com/playlist/0xBgEyxG2s159XU8e7btWx,90s Rap Greatest Hits - 90s Hiphop 🇺🇸,"29,833 saves",Gringoinho,https://open.spotify.com/user/edvans18ylonheemva63wodpm
https://open.spotify.com/playlist/2rP7cjH0aGECdyRWyK3PcC,BLACK ANTIGOS 2000'S | SÓ OS MELHORES 💎,"42,230 saves",Sandro Hiroshi,https://open.spotify.com/user/sandrohiroshi
https://open.spotify.com/playlist/6lAOSVxxvGuEhPtZguaeav,West Coast Classics/Rap,"112,056 saves",Classics,https://open.spotify.com/user/21uty3wxsp56xycg5it3bv62q
https://open.spotify.com/playlist/5RnA4ENsn69ekz0qdIHfcq,Snoop Dogg: Greatest Hits,"4,452 saves",Alfonso Castro,https://open.spotify.com/user/1297027321
https://open.spotify.com/playlist/2sUnJwjAHuUU9Ums6jp6aA,Saxophone House 2024 🎷 Tropical Chill,"323,014 saves",El Neas,https://open.spotify.com/user/1160665844
https://open.spotify.com/playlist/7gxKeEYlRRf16vdpqVQwmQ,Hip Hop Classic 🔥Clasicos del HipHop en INGLES,"63,339 saves",Indiplaylist,https://open.spotify.com/user/elnarkodelared_
https://open.spotify.com/playlist/0dMexqq0XIWS3QJ74z3ZhD,Hip Hop 2000s Music - Best Hip Hop Hits of the 00s Playlist (Top Hip Hop Songs from 2000 to 2009),"67,892 saves",Redlist Playlists,https://open.spotify.com/user/7bntwjdswpqhrnqr0gssydbd0
https://open.spotify.com/playlist/2KYnOjOMzSCeQs97ZJiMe1,Need for Speed: Underground 2,"259,326 saves",Need for Speed,https://open.spotify.com/user/needforspeed
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3VkoW4,This Is Dr. Dre,"298,448 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/259niTrgy3mcfCtEGLr4vN,"Banda MS - Éxitos - Románticas, Adoloridas y Chingonas de la MS!","144,437 saves",Valeria de la O Banda,https://open.spotify.com/user/312j6hzrkyalxfk3usjzcnhsjgwm
https://open.spotify.com/playlist/37i9dQZF1DXd4bJEFQJTXh,Family Movie Hits,"176,117 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6kthdfbq97PF7JpANEZgrM,HIP HOP DAS ANTIGAS // AS MAIS ESCUTADAS DOS ANOS 2000 🔥🎼,"65,035 saves",Erick musico,https://open.spotify.com/user/31p3f5eizbzbonjak76phkoaxieq
https://open.spotify.com/playlist/69kEzLThamIxllCH3UKRuN,Grand Theft Auto: San Andreas – The Definitive Edition,"21,685 saves",PlayStation®️,https://open.spotify.com/user/playstation_music
https://open.spotify.com/playlist/4eaKZrz9Ym66YRgrC06m97,Snoop Dogg Exitos,"2,126 saves",Rigo Gomez,https://open.spotify.com/user/riguitojr
https://open.spotify.com/playlist/1F4XAuSWIgdvi2tqbumHcE,,"104,090 saves",undefined,
