url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"854,233 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,461 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,786 saves",LunaTheTuna331,https://open.spotify.com/user/destinyb266
https://open.spotify.com/playlist/34yzOP8kUAMb1WRwzL3Zfq,Early 2000's Country Best Hits,"6,241 saves",Rylan Coffey,https://open.spotify.com/user/rj02coffey
https://open.spotify.com/playlist/4Rj125SGTzwPOK3ILJH6sL,spicy country 🫢👀,"4,295 saves",mccann_colleen,https://open.spotify.com/user/mccann_colleen
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,488 saves",Sam B.,https://open.spotify.com/user/sambone2
https://open.spotify.com/playlist/0UWuAxDMysiVkmqLtvNyLp,SUMMERTIME COUNTRY,"6,306 saves",Anna Kate Howard,https://open.spotify.com/user/31mqurednkfm6246zpf3pnnptgwy
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,286 saves",Emily,https://open.spotify.com/user/pqeorh1xzmmlqy4r66p30le6v
https://open.spotify.com/playlist/0v5AneHQFa5FYp94PCiz3e,Country Music 2024,"114,056 saves",Boisterous Pop,https://open.spotify.com/user/l70mtbcfoapp3mst5n81hlkz9
https://open.spotify.com/playlist/0wqUVPa19eClnNClEMQQoY,2010’s Country Hits,"6,318 saves",Kyle Prenger,https://open.spotify.com/user/joe.buh
https://open.spotify.com/playlist/49S6WHKuBWhmNcDiYjD9vF,Nostalgic 2000s country,"2,361 saves",ashnykole21,https://open.spotify.com/user/ashnykole21
https://open.spotify.com/playlist/7pgY4yvjJK298rUdjt1lev,Two-Stepping the Night Away,"8,666 saves",Joshua Poole,https://open.spotify.com/user/12179184693
https://open.spotify.com/playlist/3t9g0zGUYvn91KlEYeg8CN,Top Hits of 2008,"6,077 saves",Ryan Milowicki,https://open.spotify.com/user/122367408
https://open.spotify.com/playlist/4bdFkQKM6jAzAUIDlcPJjp,Country 1990s-Early 2000s,"4,246 saves",Crusader,https://open.spotify.com/user/31zny33mxq2zeiiwwrdeaipwvrnq
https://open.spotify.com/playlist/0cEEjmhrho6vCsu7fceFYG,Country Patriotic Songs,"3,652 saves",Johnny,https://open.spotify.com/user/j7c7zqb18xx2ra6r0pq180i1z
https://open.spotify.com/playlist/781JLVshOHfAeHAx7WuhiH,Country Bedroom Mix,"4,446 saves",B,https://open.spotify.com/user/22uvmfioosdh7omd7ozn5vcbq
https://open.spotify.com/playlist/394HMXgyuum51RbfnmLYl9,Save a horse,"6,813 saves",Traci Hinkel Gesell,https://open.spotify.com/user/31jpv57co5qrkmnamxiieemo5zje
https://open.spotify.com/playlist/2anfitqFNFgWcaENqz5ZpA,COUNTRY THROWBACKS,"1,727 saves",TAYLOR SWAIN,https://open.spotify.com/user/taylor_swain
https://open.spotify.com/playlist/71GffX5acHb3NonTIoN1Ch,Country Covers of Popular Songs,"14,229 saves",Stephie Rae,https://open.spotify.com/user/227n4t65bx6bb7d7zev5m7yta
https://open.spotify.com/playlist/2ZSrzRMIJmHHyAirPujk2s,oldies country,"2,442 saves",Makenzie Wilson,https://open.spotify.com/user/1271946538
https://open.spotify.com/playlist/5VFiXkQVM0yPQ1v1EkneDw,Country festival gals,"6,815 saves",𝚂 𝚑 𝚊 𝚗 𝚒 𝚊,https://open.spotify.com/user/31guqnannfv3j224bcpi3mukpq2e
https://open.spotify.com/playlist/2l3Ipf54bXStgnKyeiWORu,Country Road Trip 🤘,"24,004 saves",brady.torborg,https://open.spotify.com/user/brady.torborg
https://open.spotify.com/playlist/5qeq4MaJ8gIkDVKWK59JCj,Rocky Top,"3,789 saves",kcornicello,https://open.spotify.com/user/kcornicello
https://open.spotify.com/playlist/29rtLnYh8jaD5dUyNtiG7k,Y2K Country,"12,576 saves",Whiskey Riff,https://open.spotify.com/user/whiskeyriff
https://open.spotify.com/playlist/32k0tte3AB19E6uf2boA32,country songs to scream in the car!,"24,953 saves",deannanedanis,https://open.spotify.com/user/5spotify2002
https://open.spotify.com/playlist/42Didpel8ArfxKYMdeJCsm,Country Songs You Forgot About,"1,893 saves",Hunter,https://open.spotify.com/user/bowlesracing5
https://open.spotify.com/playlist/1FvfKS3SvoK3yasPzIJIjh,Best of Old and New Country,"1,361 saves",Kyle Miller,https://open.spotify.com/user/kylemiller014
https://open.spotify.com/playlist/0AgZu5wvNVO6S7k63PnmfF,Up beat country music!!✅,"2,183 saves",𝐂𝐚𝐢𝐭𝐥𝐲𝐧𝐧🪶,https://open.spotify.com/user/p7n16vfkrvpbz8wixc128x8i8
https://open.spotify.com/playlist/27SxbJ6MUxG8ayLc6jgUAI,old happy country i forgot about🤠,"2,127 saves",mfoltzy02,https://open.spotify.com/user/mfoltzy02
https://open.spotify.com/playlist/2lGOGNW2zbTaGkmS3SH57X,,"4,959 saves",__allikat,https://open.spotify.com/user/alli.d1998
https://open.spotify.com/playlist/6gXgPeZLfob30T6RSoy9nb,2000 Country Music,"47,779 saves""url,playlistName,saves
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,""176,204 saves",2000s Country,https://open.spotify.com/user/225maj3hqpdbqhxihtfoyphdy
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,786 saves",LunaTheTuna331,https://open.spotify.com/user/destinyb266
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0TqdSo,This Is Billy Currington,"30,026 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,2010s Country,"607,055 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,770 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4Nzgw5Dv15mgILcGldwzGJ,Best of Billy Currington,"1,058 saves",garybig3,https://open.spotify.com/user/garybig3
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,464 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/34yzOP8kUAMb1WRwzL3Zfq,Early 2000's Country Best Hits,"6,241 saves",Rylan Coffey,https://open.spotify.com/user/rj02coffey
https://open.spotify.com/playlist/1wa6SYaVFe5xbCgXrqUQPG,Classic Country 80s 90s 2000s,"28,146 saves",Jimmyd,https://open.spotify.com/user/b4ilp3c6ltyf3yvv3ep63axjn
https://open.spotify.com/playlist/2XlWXSTD1AYi4MIhhKnqCU,Country Hits 2024,"126,226 saves",majohnson445,https://open.spotify.com/user/1r3qgjybj9yfp9prm6fwdh6fu
https://open.spotify.com/playlist/5LeYztyxSMJLwotoHVQbZi,Country Party Songs 🤠 🍻,"43,283 saves",zkags04,https://open.spotify.com/user/zacharykillam
https://open.spotify.com/playlist/1UVVxYkKPCFuwKaE7w9dRV,Chill country to sleep to 😴,"10,831 saves",bhekman,https://open.spotify.com/user/c4na5obgykqff3h65kry7litw
https://open.spotify.com/playlist/78YvwnuHS1aD0SzaWoeac4,Golf Cart Bangers ⛳️⛳️⛳️,"10,288 saves",tannersteffy88,https://open.spotify.com/user/tannersteffy88
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,286 saves",Emily,https://open.spotify.com/user/pqeorh1xzmmlqy4r66p30le6v
https://open.spotify.com/playlist/37i9dQZF1DX5iKSDtVcf7Q,Heartland Country,"280,634 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaiEFNvQPZrM,Traditional Country,"772,808 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,684 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/0A7njjO6LMimV1ce46gLJw,Country Beach Party 2024 🏖️,"11,964 saves",Country Music Playlists,https://open.spotify.com/user/meubmywercam6d7o1rus9s6dx
https://open.spotify.com/playlist/2NSbS8OueYEhk8kJJ7YDQ4,Late 2000's early 2010's Country,"3,255 saves",Peyton,https://open.spotify.com/user/gvddw1mrigidrcjebu6fxylfd
https://open.spotify.com/playlist/37i9dQZF1DWXi7h4mmmkzD,Country Nights,"582,781 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXadasIcsfbqh,Pop Country,"203,660 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0wqUVPa19eClnNClEMQQoY,2010’s Country Hits,"6,318 saves",Kyle Prenger,https://open.spotify.com/user/joe.buh
https://open.spotify.com/playlist/2ibHrO1ieV3ZO6I16EqRIN,Labor Day Weekend Playlist,"10,507 saves",Joey,https://open.spotify.com/user/jadams15170
https://open.spotify.com/playlist/0gDYFMtFfSpB1R1ltNchXt,Billy Currington: Greatest Hits,"10,022 saves",Billy Currington,https://open.spotify.com/user/billycurrington
https://open.spotify.com/playlist/7uSv6shhF1NXzXFI49Nq6f,Old Country bangers 🚜🌾,"13,151 saves",Noah,https://open.spotify.com/user/elahwos7w0p2sfnvxnf9atzg4
https://open.spotify.com/playlist/5lPkoM2CSE5OCiqq56loqe,Country Beer Drinking Songs,"17,876 saves",Eric Lacey,https://open.spotify.com/user/1253722244
https://open.spotify.com/playlist/1XwEAXjgVRVmoxThgzCbdO,Clean Country Songs,"9,593 saves",Casey Varabkanich,https://open.spotify.com/user/wmxozuijwx8e0xyo369vcjt2h
https://open.spotify.com/playlist/2l3Ipf54bXStgnKyeiWORu,Country Road Trip 🤘,"24,004 saves",brady.torborg,https://open.spotify.com/user/brady.torborg
https://open.spotify.com/playlist/1fkDgBQwW1WznebPh6kVeK,Beach Songs ☀️🌴,"20,015 saves",Mark Niemann,https://open.spotify.com/user/the_ledge
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,527 saves",Ty Kirkland,https://open.spotify.com/user/7ztab7j11w9y9vartxq3jjwb9
https://open.spotify.com/playlist/17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,"103,992 saves",sissytelford88,https://open.spotify.com/user/megmo88
https://open.spotify.com/playlist/3k1DTlf9tRuECk9mdyXBtj,Country Summer Pool Party ‘24,"2,337 saves",trishaconnelly7,https://open.spotify.com/user/trishaconnelly7
https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB,Country Drive,"368,963 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4q565bWz5SKjVrRTAr1vKY,Falling in love…but country,"9,094 saves",Ky,https://open.spotify.com/user/kylieehlenfeldt-us
https://open.spotify.com/playlist/6hOB3I5XWVTvQVrKgTwvxH,Most Popular Country Songs Of All Time - Top 100 Greatest Country Hits (Best Country Music Ever),"14,925 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,""854,234 saves",Redlist - Future Mix,https://open.spotify.com/user/31cewwa53a2hbrtzyboamgm2h5mu
https://open.spotify.com/playlist/3Wdsoy8m4USpgvXggMK5ny,Brad Paisley Greatest Hits,"14,966 saves",Bryce Rasmussen,https://open.spotify.com/user/1264798709
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,464 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/1a7oaPLNHuwaZlyTSn8P9h,country forever,"58,695 saves",Post Malone,https://open.spotify.com/user/postmaloneofficial
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,786 saves",LunaTheTuna331,https://open.spotify.com/user/destinyb266
https://open.spotify.com/playlist/4EeQ4LBBXNBdqorHk9x4Oj,Cars 1 & 2 & 3 Soundtrack,"16,698 saves",Niels Dijkman,https://open.spotify.com/user/dijkman.niels
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,772 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWVFzWmxRnRJH,Raised on Country,"286,118 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1wa6SYaVFe5xbCgXrqUQPG,Classic Country 80s 90s 2000s,"28,147 saves",Jimmyd,https://open.spotify.com/user/b4ilp3c6ltyf3yvv3ep63axjn
https://open.spotify.com/playlist/2NAjn8veT5enl78TMZQOh7,post malone goes country,"22,858 saves",Tom,https://open.spotify.com/user/tom_hauwert
https://open.spotify.com/playlist/2npmuL0YSwkIScT7GdpgHL,2000s and 2010s Country,"8,286 saves",Emily,https://open.spotify.com/user/pqeorh1xzmmlqy4r66p30le6v
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","9,791 saves",Craig Breckheimer,https://open.spotify.com/user/1172706708
https://open.spotify.com/playlist/2rT9EcJfnVSWuKZJ5JFnX8,Old Gospel Hymns,"35,027 saves",Cindy Fuller,https://open.spotify.com/user/12182640441
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,2010s Country,"607,055 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/72Kpvv7aHNnIa1khpdvsJm,Lightning McQueen songs,"2,480 saves",bexhillleopard,https://open.spotify.com/user/bexhillleopard
https://open.spotify.com/playlist/2wPheDmO9OQmd0aFUSoLkX,Cars Songs,"4,160 saves",ZachAttack,https://open.spotify.com/user/1of77rgksznon7jnamyypnl3n
https://open.spotify.com/playlist/6SX9mvpZKyZqxy6KQ6mA5a,Post Malone New Releases 🔥,"5,035 saves",Country Hits Group,https://open.spotify.com/user/31wn4u442v2kjfucxk53usgx7vgy
https://open.spotify.com/playlist/1qSvZo8CxjQY0QRdNpchsR,American Country 🇺🇸,"64,719 saves",bradwelling1999,https://open.spotify.com/user/backsideburbank
https://open.spotify.com/playlist/6R289Js63LzdasMGQfATub,RELAXING ACCOUSTIC LOVE SONG,"9,352 saves",reynaldo,https://open.spotify.com/user/31wr3dgtjgfgafirdaeyemitu6li
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,527 saves",Ty Kirkland,https://open.spotify.com/user/7ztab7j11w9y9vartxq3jjwb9
https://open.spotify.com/playlist/3NGBAmme5YekGkhFsUVQSN,Disney Español LATINO,"94,018 saves",Victoria 빅토리아,https://open.spotify.com/user/2qnihejhzbv0235np9fhl5e85
https://open.spotify.com/playlist/17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,"103,994 saves",sissytelford88,https://open.spotify.com/user/megmo88
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,261 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5YBl8FKGn5u0On2unIURWt,F-1 Trillion - Post Malone (Country Album),"10,695 saves",Viral Hits.,https://open.spotify.com/user/twanray
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,684 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/1fkDgBQwW1WznebPh6kVeK,Beach Songs ☀️🌴,"20,015 saves",Mark Niemann,https://open.spotify.com/user/the_ledge
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,488 saves",Sam B.,https://open.spotify.com/user/sambone2
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1KXgbK,This Is Dolly Parton,"248,519 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0KX3mlXkQ2gfmMSPxPkNkE,Best Fishing playlist,"3,273 saves",red-man44,https://open.spotify.com/user/red-man44
https://open.spotify.com/playlist/4RYtFitTj2wfC3tj5JbJ5k,Top Country Hits of the 2000s,"4,311 saves",Sam Allen,https://open.spotify.com/user/123162938
https://open.spotify.com/playlist/37i9dQZF1DWU4lunzhQdRx,sad girl country,"165,978 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6hOB3I5XWVTvQVrKgTwvxH,Most Popular Country Songs Of All Time - Top 100 Greatest Country Hits (Best Country Music Ever),"14,925 saves",Redlist - Future Mix,https://open.spotify.com/user/31cewwa53a2hbrtzyboamgm2h5mu
https://open.spotify.com/playlist/0wWckcrghIp3HnV6fOE45i,Post Malone F-1 Trillion (New 2024 Country Album - Long Bed),"16,598 saves",Ray Fontaine,https://open.spotify.com/user/1221028518
https://open.spotify.com/playlist/1UVVxYkKPCFuwKaE7w9dRV,Chill country to sleep to 😴,"10,831 saves",bhekman,https://open.spotify.com/user/c4na5obgykqff3h65kry7litw
https://open.spotify.com/playlist/2ibHrO1ieV3ZO6I16EqRIN,Labor Day Weekend Playlist,"10,507 saves",Joey,https://open.spotify.com/user/jadams15170
https://open.spotify.com/playlist/2obrIajjdAn8043mICYF3L,Country Music Hits 80s 90s | Best Country Songs of the 80's & 90's,"32,507 saves""url,playlistName,saves
https://open.spotify.com/playlist/6SS7n5RnL7oeDIcOdXWx7S,Brooks & Dunn - Greatest Hits,""57,826 saves",Listanauta,https://open.spotify.com/user/listanauta
https://open.spotify.com/playlist/37i9dQZF1DZ06evO49lTA4,This Is Luke Combs,"811,299 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0vtAPe,This Is Brooks & Dunn,"81,010 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,465 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits,"719,988 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,2000s Country,"854,235 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWVFzWmxRnRJH,Raised on Country,"286,119 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6yvI7zRuB5uw7Kniv76qdr,90's COUNTRY THROWBACK,"75,960 saves",Hudson Moore,https://open.spotify.com/user/hudsonmoore
https://open.spotify.com/playlist/34DTr4PZQTYkFyJs1tyXuJ,90s and 2000s Country Music,"31,787 saves",LunaTheTuna331,https://open.spotify.com/user/destinyb266
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,774 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1wa6SYaVFe5xbCgXrqUQPG,Classic Country 80s 90s 2000s,"28,147 saves",Jimmyd,https://open.spotify.com/user/b4ilp3c6ltyf3yvv3ep63axjn
https://open.spotify.com/playlist/37i9dQZF1DX5gMBaRFQjOY,Classic Country,"485,619 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/249vSAsgkCMpMANGVu1s8C,Country Americano - O melhor,"127,991 saves",Thiago Arruda,https://open.spotify.com/user/1230976112
https://open.spotify.com/playlist/37i9dQZF1DXbIbVYph0Zr5,Country Cookout,"670,991 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3NKthdgxid2S9fHhN54Vp3,80s/90s Country Hits,"20,095 saves",Countrymusic_07,https://open.spotify.com/user/wtsfxqfiamyq7l97sn95zagw6
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,488 saves",Sam B.,https://open.spotify.com/user/sambone2
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3SSBWg,This Is Cody Johnson,"104,157 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"176,207 saves",rmcbride7,https://open.spotify.com/user/buhmann.levi
https://open.spotify.com/playlist/37i9dQZF1DZ06evO48Rn9u,This Is Kacey Musgraves,"142,107 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0MOtYSEF9q9neD8ktLwCNQ,Luke Combs greatest hits,"32,913 saves",Maxy Tolks,https://open.spotify.com/user/3ezkr5c88gubiz58j37b8j5bk
https://open.spotify.com/playlist/37i9dQZF1DX42rTd7wQPNO,coastal cowgirl,"207,522 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/35jpwOZWTLFJWNjCRniFBg,Garth Brooks Greatest Hits,"215,426 saves",Garth Brooks Country,https://open.spotify.com/user/1217796051
https://open.spotify.com/playlist/5LeYztyxSMJLwotoHVQbZi,Country Party Songs 🤠 🍻,"43,283 saves",zkags04,https://open.spotify.com/user/zacharykillam
https://open.spotify.com/playlist/5sEM3oiygrXyRP2USzyDGs,"Luke Combs - Guy For That, The Man He Sees in Me, Ain't No Love In Oklahoma & More Hits","560,801 saves",Luke Combs,https://open.spotify.com/user/lukecombs
https://open.spotify.com/playlist/6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,"59,949 saves",tgdeere97,https://open.spotify.com/user/travisgadient
https://open.spotify.com/playlist/37i9dQZF1DWXi7h4mmmkzD,Country Nights,"582,782 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSttCmn8GHUg,American Made,"229,477 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/773C94toTlloOtkAAHbm38,"Country Hits 90's, 00's, 10's, and 20's","9,791 saves",Craig Breckheimer,https://open.spotify.com/user/1172706708
https://open.spotify.com/playlist/7uSv6shhF1NXzXFI49Nq6f,Old Country bangers 🚜🌾,"13,152 saves",Noah,https://open.spotify.com/user/elahwos7w0p2sfnvxnf9atzg4
https://open.spotify.com/playlist/27iJ7YElwDNiF2GDTPhrzf,Old School Country Classics,"52,692 saves",MotorCitySmytty Music,https://open.spotify.com/user/motorcitysmytty
https://open.spotify.com/playlist/6TRDxclNMCj29o2OMtfmuc,Luke Combs Setlist 2024,"13,408 saves",Diana Cardoso,https://open.spotify.com/user/1284264580
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"341,903 saves",Harrison Harper Snell,https://open.spotify.com/user/1255127429
https://open.spotify.com/playlist/37i9dQZF1DWYubIwLN4Hq2,Country Party,"171,988 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaiEFNvQPZrM,Traditional Country,"772,808 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2qaY4abBfkpVxwiyKELhUZ,🇺🇸 Classic Country 🇺🇸,"2,518 saves",CJ Stephens,https://open.spotify.com/user/31azltvztybqcuzlu2bpubr3ru6i
https://open.spotify.com/playlist/3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),"170,368 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/3Ka5VOBh7EQVK9dUoq1CwM,70’s 80’s And 90’s Country,"3,062 saves""url,playlistName,saves
https://open.spotify.com/playlist/5WEiihq9aveRjVgM9W0pov,Toby Keith Greatest Hits,""53,382 saves",Jacob Shaller,https://open.spotify.com/user/22ou27coyerftm7x3kphmr22i
https://open.spotify.com/playlist/0ZSp6ra6fFvGk4vyaqQea8,Greatest 90’s Country,"20,889 saves",Shane,https://open.spotify.com/user/ls9q86bjbyrxs1hzm2skynd8k
