url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DXd9zR7tdziuQ,Hits acústicos,"935,145 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4xIneg,This Is James Vincent McMorrow,"16,607 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWZpGSuzrdTXg,Easy On Sunday,"267,295 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,Restaurant Music 2024,"66,315 saves",Cooking Music,https://open.spotify.com/user/jc415
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,276 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbsWQD03AVcA,Travailler en musique,"343,242 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXnscMH24yOc,Chill Covers,"475,844 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSM0Vq39VM1S,Réveil en douceur,"172,024 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX6KOz8PNkOlS,Soft Office,"472,580 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3JDIjUpjyySLL8Ne0bqfkj,Détente du soir !,"8,167 saves",Benjamin Roy,https://open.spotify.com/user/benji78320
https://open.spotify.com/playlist/51qOPnQyKC8uaNbCOXuaSR,Jazz - As Melhores,"12,859 saves",Marcio Carvalho Moura,https://open.spotify.com/user/mmouracarvalho
https://open.spotify.com/playlist/5Av6VbvC17372uc3UP1GPn,Whoa-hoa-hoa-hoa-hoa season,"37,477 saves",veronikaku,https://open.spotify.com/user/veronikakuradchik
https://open.spotify.com/playlist/0QtBQxLZzKKuSunmAAIBwy,All Twilight Songs,"13,915 saves",Rosetail05,https://open.spotify.com/user/ws7zkspfuvmmxfa9aeh1vmvef
https://open.spotify.com/playlist/79a86h0CeTF1sW8vpONSw9,Twilight Saga - Complete Soundtrack,"463,761 saves",KULTPOP!,https://open.spotify.com/user/ikd5w5sgnw6dbvzb3vfaycex8
https://open.spotify.com/playlist/4OrLCnci10VO8DlSQ7VK5d,Morning Coffee,"140,808 saves",QRTR,https://open.spotify.com/user/qrtr
https://open.spotify.com/playlist/5fPDWsuu7rjLdrfLkJP0mm,Best Acoustic Covers,"9,272 saves",Alessio Ansini,https://open.spotify.com/user/anzinen
https://open.spotify.com/playlist/37i9dQZF1DX5qwHeIGQ14o,Chilled Afternoon,"197,098 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7Mcg7fPQaM2e5SIIRrVWeZ,forest fairy vibes 🧝‍♀️ 🌳 🌿,"91,584 saves",Danai,https://open.spotify.com/user/21nqzehjeekdanusfpc52ssry
https://open.spotify.com/playlist/37i9dQZF1DX42c5TkSUfEb,Au calme,"767,985 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2O18dCV9uoGTyxN5HLJkTo,twilight songs - in order of appearance,"226,551 saves",isabelle 🍂,https://open.spotify.com/user/livthfa49q7opximeum9dwwox
https://open.spotify.com/playlist/12vj6nTcnOnc6qdrr6R6Xj,Crepúsculo - músicas da saga,"81,843 saves",Mariana Henrique,https://open.spotify.com/user/22txppdfmiqzdntxjcvlcfywa
https://open.spotify.com/playlist/3tVWNtaJpCKHlQuElSZALa,crepúsculo soundtrack,"9,679 saves",helena almeida,https://open.spotify.com/user/is9bei7psmv6do9b9ht1nmfa1
https://open.spotify.com/playlist/5sMfgeII8qGOwcgxfqqDaM,Relax In the Bath,"84,574 saves",Matt Johnson,https://open.spotify.com/user/117687144
https://open.spotify.com/playlist/6bZZjVMaDsWcNJJt9onSeR,Calm Mornings,"49,928 saves",7 Layers,https://open.spotify.com/user/7-layers
https://open.spotify.com/playlist/32uUQ3IV4pppRtsQKcJhPs,MUSICA SOTTOFONDO,"8,323 saves",Federicamasella,https://open.spotify.com/user/k8fqvx3sbhjrwfzfzu10ojug7
https://open.spotify.com/playlist/1LGyyzhFXmPyrcBpokBW2L,soft summer evening,"2,401 saves",ghoufrant,https://open.spotify.com/user/ghoufrant
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2ycWiY,This Is Claptone,"93,887 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3Tm2ec,This Is SYML,""52,308 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,"171,208 saves",vicky's world <3,https://open.spotify.com/user/vvk188m7ueif0ygf6p9nv7bh0
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,276 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4OrLCnci10VO8DlSQ7VK5d,Morning Coffee,"140,808 saves",QRTR,https://open.spotify.com/user/qrtr
https://open.spotify.com/playlist/37i9dQZF1DXa1BeMIGX5Du,Coffee + Chill,"563,777 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2ZnAWYy4AOs8tpRUCGF6Py,Sad playlist to cry to at 3am 🌃,"28,303 saves",RP,https://open.spotify.com/user/3xin07wp5zh4ip27t2qjqe1uq
https://open.spotify.com/playlist/37i9dQZF1DXbfDwyMAX9yi,Maxton Hall Official Playlist,"66,491 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3ouiqEz27UyPllucZ5SkYF,SYML Complete Collection,"28,557 saves",SYML,https://open.spotify.com/user/1228291609
