url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DX9fDcF6S4tuJ,Disney Princess,"919,816 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/42UkpxHZzexqaG1T2Wf2yu,disney songs that slap harder than your mom last night,"176,991 saves",phwebee <3,https://open.spotify.com/user/pscny
https://open.spotify.com/playlist/6vfJDywgbubwqV6UcpEEHV,Scottish Folk & Gaelic Singing,"54,318 saves",erinhomie,https://open.spotify.com/user/erinhomie
https://open.spotify.com/playlist/6uYWvulQdSIw1L5KHmlYqn,Clásicos Disney (Castellano),"21,978 saves",JosephJey23,https://open.spotify.com/user/waaqn6xwogqgt0n4a18at4pdw
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2abbsS,This Is Julie Fowlis,"4,356 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4dpFpAvUpVewU98eYN7GtY,Ultimate Disney Movie Songs Playlist,"13,438 saves",Anna Marie,https://open.spotify.com/user/d7c2keocvws1ok9xgg6brob3y
https://open.spotify.com/playlist/37i9dQZF1DWZrtMhzu7qoN,Disney Hits España,"89,643 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXb651y4Mmljv,Disney Hits Deutschland,"532,266 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSwdDfrTTq40,Disney Prinzessinnen,"33,812 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/042nNrkuQYJZ7QkZe0FzPA,i am my mother’s savage daughter,"10,784 saves",kenny,https://open.spotify.com/user/31qcmh65xhofv4hkkedbnrta7i7u
https://open.spotify.com/playlist/37i9dQZF1DXd4bJEFQJTXh,Family Movie Hits,"176,674 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2osqjnMiWKYV2gvlIqoZCj,Disney Magic: Greatest Hits 2024,"7,300 saves",Trending Music,https://open.spotify.com/user/316ngwsiqjj3lwyj7lrwstgu4z7y
https://open.spotify.com/playlist/7iwn94y55JHOD1Wk87hfuY,Best Disney Songs for Kids,"41,119 saves",POPSUGAR Entertainment,https://open.spotify.com/user/buzzsugar
https://open.spotify.com/playlist/7wZns4h0U3ndWIcDUNbypp,Traditional Celtic/Gaelic music,"8,130 saves",Dylanmuziks,https://open.spotify.com/user/37hiz9x5x4st5dzn68okgcrkb
https://open.spotify.com/playlist/6NzzbdiF7nJL4XYW3XhwKi,lagunya disney yg ak SUKAAAA,"14,910 saves",has,https://open.spotify.com/user/31i6cfooinhpl3xmgh26coqnkf4e
https://open.spotify.com/playlist/7bWE9GtRx2b1jwSckjLqW1,Fairytale Vibes,"19,082 saves",EchiStasoo,https://open.spotify.com/user/4h0koj9nestlym420e92nv6ti
https://open.spotify.com/playlist/37i9dQZF1DXbmaHM5tnxzO,Pixar Hits,"82,919 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4UPGk63iaIrszvzM4tORAx,Kids Chill Out,"2,159 saves",Amber Rose Forbes,https://open.spotify.com/user/22vajbdt6pjb45p67ysvez3qq
https://open.spotify.com/playlist/4rhOH4Cpwge4sk5TsKHyAq,Disney España (Actualizada 2024),"6,850 saves",costman,https://open.spotify.com/user/costman
https://open.spotify.com/playlist/5YhCc85ujX3vddXiKPyAxa,🌾 Cole's Playlist,"8,069 saves",Keath,https://open.spotify.com/user/31bfm75qthg4xmbth7orzf6lup4i
https://open.spotify.com/playlist/1qT5Vq0JVRh7lSSEjV2zFR,MUSICA DISNEY EN ESPAÑOL,"6,313 saves",Alvaro Rigaud,https://open.spotify.com/user/312byj3cra2wbl7tz2qzecqt6oji
https://open.spotify.com/playlist/5mJAvY13SFnjrxJmk1SlFm,Disney Classics Playlist,"11,995 saves",LuLu Vee,https://open.spotify.com/user/920ffym0xuv3fqqridjcz4pw4
https://open.spotify.com/playlist/0TQXrOHctIJ6VDD2FQHTzd,英語聞き流しディズニー,"10,344 saves",Caramel,https://open.spotify.com/user/xtmxtrxqowreiba3z3lv3jnbn
https://open.spotify.com/playlist/0QUvTN6BNB2J5IFLkoJOgM,Merida-Songs,"2,881 saves",Lilly,https://open.spotify.com/user/z0ofo1qi4bdyvlsc29sbg7plf
https://open.spotify.com/playlist/40HIMO3g3s6v1eplHF5nXc,Gaelic Language Music,"8,136 saves",Meg,https://open.spotify.com/user/meaghan-alex
https://open.spotify.com/playlist/4Q4v7sWHQLcFdGxAUxmsms,Ren Faire BANGERS,"5,004 saves",Tristan 🌠,https://open.spotify.com/user/itrtgy0egzq452izr91erstuq
https://open.spotify.com/playlist/37i9dQZF1DWZIpZ4LZSlUo,Disney Hits Philippines,"87,489 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3l3Czd8L3ay841zN3zhOy1,Disney Sing-Alongs,"3,822 saves",Jess,https://open.spotify.com/user/222asyxoge67j6iqfp6aujmti
