url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DX0bUGQdz5BJG,Next From Nashville,"216,394 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWY1wwcap53LA,Country Frequency,"39,409 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6nU0t33tQA2i0qTI5HiyRV,Country Hits 2024,"907,095 saves",Digster Global,https://open.spotify.com/user/digster.fm
https://open.spotify.com/playlist/6JUng9Z6Phpx9r4Zg68MxX,Alt Country • Folk • Americana • Roots • Acoustic • Singer Songwriter,"5,148 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/77dAC2w2EvseEwvHWKz5II,Outlaw Bluegrass,"4,027 saves",r.hogan_1,https://open.spotify.com/user/r.hogan_1
https://open.spotify.com/playlist/0N2psSxKwz0licgMefLKx2,New Country Hits (Country Life),"10,534 saves",Digster Canada,https://open.spotify.com/user/digsterca
https://open.spotify.com/playlist/4izVJx4c1x3YpKq8lpj43i,Red Dirt Country,"7,319 saves",kylefordet,https://open.spotify.com/user/31k6oywwe7ocfxgmv5m7iqn2lgde
https://open.spotify.com/playlist/5SBRhqxctG4awl4apGxaZm,Grady Smith - Favorite Country Music,"16,186 saves",Grady Smith,https://open.spotify.com/user/12180978759
https://open.spotify.com/playlist/07cij1x4IyOZh7n76wsMpn,Cowboy Killer Songs,"9,012 saves",CowboyKillerSongs,https://open.spotify.com/user/31j36urvb53rmujzmi2i7geccqwu
https://open.spotify.com/playlist/67tgwUnW2nWEwVZ3i7p8wP,Soul & Country • Country with Soul • Roots • Blues • Americana,"12,341 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/76E17w9BjyF47IQXxYu9GF,Home Grown(new country added weekly!),"22,693 saves",bangeroftheday,https://open.spotify.com/user/bangeroftheday
https://open.spotify.com/playlist/6Nk3pPQonxPt6B65oB7cFm,Dreamy cowboy,"5,118 saves",Kerry Webster,https://open.spotify.com/user/31m5bqs5x4mtaj7fdpwqlhxvaiom
https://open.spotify.com/playlist/1lnP7Ca3HUs6sKMv6H9aSJ,Stagecoach 2025 Official Playlist,"18,942 saves",Stagecoach Festival,https://open.spotify.com/user/stagecoachfestival
https://open.spotify.com/playlist/6rduohKmPxV1qriRMhlUpr,Red Dirt Country,"5,194 saves",elisabethglasscott,https://open.spotify.com/user/elisabethglasscott
https://open.spotify.com/playlist/3ig8f8hqzpKQVOqgbzY83f,New Country Music Releases,"2,675 saves",Country Swag,https://open.spotify.com/user/nycountryswag
https://open.spotify.com/playlist/0gPU5AFJPsF3Z9SNFGpvCn,TG's Discovery Zone 7.10,"1,505 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,""725,261 saves",Dawes,https://open.spotify.com/user/dawestheband
https://open.spotify.com/playlist/37i9dQZF1DX42rTd7wQPNO,coastal cowgirl,"207,192 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma,Country Rocks,"605,650 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7LqstB7e0q03cmfyaCJYYM,Jackson Dean - Complete Collection,"1,126 saves",Jackson Dean,https://open.spotify.com/user/v3psgnx4o66fsdp7y0u4zt7cj
https://open.spotify.com/playlist/37i9dQZF1DX2SzDYPXnP1a,Beast Mode Country,"74,394 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX0rqWPYlTDZ8,Boots and Hearts 2024,"24,430 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWTQebjaPYhvs,Yellowstone Official Playlist,"517,241 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaJXCbmtHVHV,Big Country,"568,578 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/74IixZCn2p16t6f5ZMAbjS,Country Rock 2024,"17,395 saves",Pure Country,https://open.spotify.com/user/osicktk
https://open.spotify.com/playlist/37i9dQZF1DWVn8zvR5ROMB,All New Country,"288,437 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaDsAWldGrpI,Country Live,"128,639 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4TPquEORP9lqNwCta62M3Y,New Country Music Friday,"14,323 saves",Country Pickinz,https://open.spotify.com/user/a3x6lj3rtp0tk90ejtm8y6vgr
https://open.spotify.com/playlist/3cI6nMKGS84XUbQr6o9GgU,Hot Country 2024,"32,847 saves",majohnson445,https://open.spotify.com/user/1r3qgjybj9yfp9prm6fwdh6fu
https://open.spotify.com/playlist/2u0s9nWFDl0qaj95cuc7dR,Country Music Workout 2024 💪🏽,"20,336 saves",Country Music Playlists,https://open.spotify.com/user/meubmywercam6d7o1rus9s6dx
https://open.spotify.com/playlist/37i9dQZF1DXe6yev4qlxCV,Country Frontier,"20,981 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXepGEFFmQXJ,Fresh Country,"405,307 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2l1qPKcEszrhfDI9TVCaZE,Country Music 2024,"36,032 saves",Systemic,https://open.spotify.com/user/oovgpqfyd2zjgkcm5ran58rog
https://open.spotify.com/playlist/37i9dQZF1DZ06evO17WN34,This Is Josh Ross,"2,175 saves",Spotify,https://open.spotify.com/user/spotify
