url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"158,310 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"341,905 saves",Harrison Harper Snell,https://open.spotify.com/user/1255127429
https://open.spotify.com/playlist/37i9dQZF1DWVn8zvR5ROMB,All New Country,"289,556 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3mEjwQ,This Is LOCASH,"4,606 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0jnKpJMK9W3GcFJC6eYdls,Country Remixed & Mashed-Up 2023,"39,857 saves",Tonya,https://open.spotify.com/user/31oa5zwubzqlep5o25ll6lbkailq
https://open.spotify.com/playlist/3FgcicJUPr6gWHgXJ8pB6C,country hits everyone knows,"13,267 saves",co112288,https://open.spotify.com/user/co112288
https://open.spotify.com/playlist/249vSAsgkCMpMANGVu1s8C,Country Americano - O melhor,"127,929 saves",Thiago Arruda,https://open.spotify.com/user/1230976112
https://open.spotify.com/playlist/17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,"103,983 saves",sissytelford88,https://open.spotify.com/user/megmo88
https://open.spotify.com/playlist/6G7ZJuBDKwjCrk9ftdu82D,Outlaw Country,"108,763 saves",ramblinman66,https://open.spotify.com/user/hithimnotme
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,253 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4ixyNYbOmVoLpp6sttwrfs,"zach bryan, hozier, lumineers, noah kahan esque","72,654 saves",sarah l. ☆,https://open.spotify.com/user/316ox4eblj3n63k66cd66vkcpzre
https://open.spotify.com/playlist/2XlWXSTD1AYi4MIhhKnqCU,Country Hits 2024,"126,230 saves",majohnson445,https://open.spotify.com/user/1r3qgjybj9yfp9prm6fwdh6fu
https://open.spotify.com/playlist/5LeYztyxSMJLwotoHVQbZi,Country Party Songs 🤠 🍻,"43,271 saves",zkags04,https://open.spotify.com/user/zacharykillam
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,469 saves",Sam B.,https://open.spotify.com/user/sambone2
https://open.spotify.com/playlist/37i9dQZF1DWYubIwLN4Hq2,Country Party,"171,981 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/69sctJ0acuqqO1dAjcSdBj,80's Country (Top 100),"55,209 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2024,"96,498 saves",trosser6258,https://open.spotify.com/user/trosser6258
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,663 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/0d1RPJy1FgCVR3lFhrYAwU,Dixie chicks greatest hits,"64,100 saves",belle sellers,https://open.spotify.com/user/sailtime70
https://open.spotify.com/playlist/2lBKiVt2X6hLmoWLoohufg,Fallout New Vegas- Radio New Vegas,"87,045 saves",Jeffrey Allan Boriski,https://open.spotify.com/user/flintshipnafer
https://open.spotify.com/playlist/6jp2eu2wY9giHJDfYevYV3,Country Hits 2000-2024,"2,491 saves",Thaoden Hartman,https://open.spotify.com/user/68xabi431f9je4gi5p1dkudl2
https://open.spotify.com/playlist/6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,"59,945 saves",tgdeere97,https://open.spotify.com/user/travisgadient
https://open.spotify.com/playlist/3kEnfYJ3dyBG05cRm6UDnZ,70s Country (Top 100),"26,680 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),"170,360 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/7Cg5wKZ98CTB0DNvvFpyWA,Country Radio 2024,"11,583 saves",Country Hits Group,https://open.spotify.com/user/31wn4u442v2kjfucxk53usgx7vgy
https://open.spotify.com/playlist/1qSvZo8CxjQY0QRdNpchsR,American Country 🇺🇸,"64,702 saves",bradwelling1999,https://open.spotify.com/user/backsideburbank
https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB,Country Drive,"368,954 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3B9fYV4WJFYXnQBVrZtps2,Fun Drinking Songs,"1,677 saves",Willy,https://open.spotify.com/user/d0z45ruzsc68ao8ozrg8dshqh
https://open.spotify.com/playlist/37i9dQZF1DWUPRADzDnbMq,,"94,079 saves",undefined,
https://open.spotify.com/playlist/36LTGEppXAZNaQ9QMKDm3l,Country Remixes 🤠 Party Songs 2024,"18,067 saves",Pure Country,https://open.spotify.com/user/osicktk
https://open.spotify.com/playlist/78YvwnuHS1aD0SzaWoeac4,Golf Cart Bangers ⛳️⛳️⛳️,"10,284 saves",tannersteffy88,https://open.spotify.com/user/tannersteffy88
https://open.spotify.com/playlist/6Xla9mG2rJooT301R5YniJ,Summer Country ☀️🏝️,"82,532 saves",Ty Kirkland,https://open.spotify.com/user/7ztab7j11w9y9vartxq3jjwb9
https://open.spotify.com/playlist/05jzobshraN4wg2ZX3cJSX,Upbeat Office Clean Mix,"12,735 saves",mepitch12,https://open.spotify.com/user/mepitch12
https://open.spotify.com/playlist/4NNgX1wuo1iTPuXLT0ZbvZ,Tennessee Whiskey 🥃,"47,471 saves",J.B. Treeby,https://open.spotify.com/user/1263251846
https://open.spotify.com/playlist/5PixTzM2pcZyNXZXXEwBJ0,Clean Country Hits,"1,357 saves",cooper3.928,https://open.spotify.com/user/cooper3.928
https://open.spotify.com/playlist/4CVE5ytphCc9rVXqk8H5v7,NOW 100 Hits Country,"6,498 saves",J. Chesterfield,https://open.spotify.com/user/1295843890
https://open.spotify.com/playlist/0GZM6ZsIAeztGV7qmR3tkE,sad country shit,"23,995 saves",Nelson Wyatt III,https://open.spotify.com/user/227kwlvfta3qmsaavy6izfrly
https://open.spotify.com/playlist/063MDbfYV01hYzzHJDGEf7,Best of Country Rap / Hick Hop,"4,763 saves",Heff-A,https://open.spotify.com/user/jefestl
https://open.spotify.com/playlist/1jvjtSC5sqLFwVSLiw00uB,TEXAS COUNTRY 🌵,"16,576 saves""url,playlistName,saves
https://open.spotify.com/playlist/1IDnZClgWNpmvGaZcqcqBr,Morgan Wallens Greatest Hits,""47,879 saves",TXForever1836,https://open.spotify.com/user/12182866998
https://open.spotify.com/playlist/4fho9qBYzR8nnSrkx33dLQ,Morgan Wallen Setlist 2024 (Updated),"38,885 saves",jedmire,https://open.spotify.com/user/jmire10
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,"353,000 saves",Spot,https://open.spotify.com/user/31heeg5wrzm67nrgtehxz23z2mmq
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"176,102 saves",rmcbride7,https://open.spotify.com/user/buhmann.levi
https://open.spotify.com/playlist/4mEOstPCrjhDl484rH7TH7,Morgan Wallen New Releases 🔥,"27,534 saves",Country Music Playlists,https://open.spotify.com/user/meubmywercam6d7o1rus9s6dx
https://open.spotify.com/playlist/7krhhL9zbK6OI3Ml8rzCOS,MORGAN WALLEN ALL SONGS,"50,722 saves",Bell Retallack,https://open.spotify.com/user/isabella.glengowan
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"341,905 saves",Harrison Harper Snell,https://open.spotify.com/user/1255127429
https://open.spotify.com/playlist/3FSvK3GkiECDMHeeIbbJIn,COUNTRY MUSIC 2024 🔥 Top Country Hits + New Country Songs,"71,143 saves",Desi Gnio,https://open.spotify.com/user/31dpl3egrlppl77n7dgaya5a4u64
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,253 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/464qefaxV4RfCteotvr3ge,Morgan Wallen: The Complete Collection,"155,324 saves",Big Loud,https://open.spotify.com/user/bigloudmountain
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,568 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5lH9NjOeJvctAO92ZrKQNB,Top 40,"335,086 saves",Nederlandse Top 40,https://open.spotify.com/user/nederlandse_top_40
https://open.spotify.com/playlist/37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,"546,054 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaJXCbmtHVHV,Big Country,"568,857 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,"915,497 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSK8os4XIQBk,All About Country,"551,715 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbLp5XoPON0wI,Top Songs - USA,"254,339 saves",Spotify,https://open.spotify.com/user/spotify
