url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/76MuWc140iE4F1M07XTjuH,2000s R&B Love Songs,"176,026 saves",Tam Hoffman-Levy,https://open.spotify.com/user/12142901212
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,207 saves",Miranda Sullivan,https://open.spotify.com/user/ricoo97
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"158,547 saves",Hudson Helms,https://open.spotify.com/user/12145397198
https://open.spotify.com/playlist/1Ovmq0mAjbzAtfN0EFf249,"Neyo, Usher, Chris Brown, Sisqo, Craig David, Mario, Nelly, Akon PL","96,962 saves",💅🏿 MoNique 💅🏿,https://open.spotify.com/user/1110350782
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3FHDDq,This Is Pleasure P,"2,813 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3XHC4e4kCnzdS3YpJX2Gbk,OLD MYSPACE JAMS ✨🦋🎶,"37,358 saves",Apmulder,https://open.spotify.com/user/123161188
https://open.spotify.com/playlist/1vAYWdLz62LTcCcJudy89X,Freak Nasty Songs 👅,"15,202 saves",kenbrice22,https://open.spotify.com/user/kenbrice22
https://open.spotify.com/playlist/37i9dQZF1DWX9mGYsaqc7V,Slow Jamz,"430,989 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7d9EUccMmzu4cn7VPgX3nb,Purely Aesthetic,"28,373 saves",Virtue Playlists,https://open.spotify.com/user/3177hmrdfae4aozkha7p3quyyh34
https://open.spotify.com/playlist/42MWEssl8lsw2qeuf8ls7Z,Plies 🍆 & Pleasure P 💦,"3,597 saves",Kayla McQuade,https://open.spotify.com/user/1263241191
https://open.spotify.com/playlist/5IBCdi2T9KR3JDcyZ2Ugo6,❤️MYSPACE THROWBACKS❤️,"11,744 saves",heyglenny,https://open.spotify.com/user/itsxglenny
https://open.spotify.com/playlist/5BHXdYTiikPRJ9EAjW94lI,R&B Break UP Songs💔,"1,571 saves",essiepoo,https://open.spotify.com/user/essencewilliams207
https://open.spotify.com/playlist/0sp3fv2OgXKg6iDcxxR83R,Plies Greatest Hits,"2,793 saves",davmad1,https://open.spotify.com/user/davmad1
https://open.spotify.com/playlist/5it3zOLarZU6Ov8u3Iw29V,🔞 ฟังตอนอ่านnc,"11,040 saves",─── ⋆⋅𖤐⋅⋆ ──,https://open.spotify.com/user/31sfmfuohwlwlubm3emq2sln5zjq
https://open.spotify.com/playlist/4vzbXqoYUPoHKuiYOgIfwP,R&B Mood,"7,011 saves",Emilie Perez,https://open.spotify.com/user/31pj43uksn24iyrvwesst2blrad4
https://open.spotify.com/playlist/2lR6DVk8az4v71SfulYpiV,2000s RnB Hits,"60,214 saves",tealcdorgin88,https://open.spotify.com/user/ariellecherry
