url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/3FSvK3GkiECDMHeeIbbJIn,COUNTRY MUSIC 2024 🔥 Top Country Hits + New Country Songs,"71,035 saves",Desi Gnio,https://open.spotify.com/user/31dpl3egrlppl77n7dgaya5a4u64
https://open.spotify.com/playlist/37i9dQZF1DWVn8zvR5ROMB,All New Country,"289,262 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2Hi4RV1DJHHiSDcwYFFKeR,Country Hits 2010-2024,"84,644 saves",mareike,https://open.spotify.com/user/h2f5nank4apvpl0ery3zl7o4l
https://open.spotify.com/playlist/37i9dQZF1DX0bUGQdz5BJG,Next From Nashville,"216,542 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3h85iMwBiTSMNgOyy2El4D,Country music 2024,"4,202 saves",kikicaramel,https://open.spotify.com/user/31smk3ic7timp3r4nfjh7lymd3wq
https://open.spotify.com/playlist/0ebPt1lsz1fKa5dZIXC2K9,Country Roadtrip 2024,"10,674 saves",Cerberus,https://open.spotify.com/user/31mzes6vagvuahimhsnolfy3p5xy
https://open.spotify.com/playlist/7MthDcrXbpOw86imG9omyw,Top Hits (Clean Version),"25,459 saves",Robert Johnson,https://open.spotify.com/user/1259663388
https://open.spotify.com/playlist/0VXj17xrCHWBd984tRq8MY,Bass Boosted Country,"7,546 saves",Karter,https://open.spotify.com/user/e2wbszldltckxam5djjvq2quv
https://open.spotify.com/playlist/0PTE5c1a639omCGuC20FbS,Country 2024 ⭐ Top Country,"6,975 saves",CountryHue,https://open.spotify.com/user/317faqwawyr7bqrremskk5wg5yhq
https://open.spotify.com/playlist/37i9dQZF1DWYUfsq4hxHWP,Fresh Finds Country,"94,490 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1fibupfLjDTwOCIFUy4aO6,New Country Hits 2024,"7,107 saves",Soundgoat,https://open.spotify.com/user/31oknmogrxluhk5ktwkmwr3tlw64
https://open.spotify.com/playlist/6kLxvrlSeWBSyjpMxXNgAG,Country vibes,"1,749 saves",TarzannovaMusic,https://open.spotify.com/user/21vwybgjylgbr274djj4q257q
https://open.spotify.com/playlist/3oQC7tThf9qmuzdutVfjJQ,Country Radio 📻 Handpicked Hits,"6,627 saves",GessaFM,https://open.spotify.com/user/31enhix4g7rsuvfx7ijhiftlnvfq
https://open.spotify.com/playlist/0PD9hH8immdZG9IrPfj69W,Country & Americana,"8,762 saves",Sense Records,https://open.spotify.com/user/316g55tt7qipdy4xvujydy7he7a4
https://open.spotify.com/playlist/5zT6dOYzE8i369PWmTll4A,"Greesha Indie, Country, Folk and Americana Mood 2024","1,583 saves",Greeshamusic,https://open.spotify.com/user/1rqbhtoz7g9wfx0zdti1osiq8
https://open.spotify.com/playlist/3Z4Y62VAfQHhr12LlUW0XX,Country Gold,"10,868 saves",Top Radio Hits,https://open.spotify.com/user/xmfbo62tlvv3c1av66764msdv
https://open.spotify.com/playlist/2M1L0DUgxFCPruy4cUeKPt,Country Music 2024,"8,585 saves",Wedge Music,https://open.spotify.com/user/316z7lelrfks3j4kjcfysm6d5sdu
https://open.spotify.com/playlist/3RNo9lCNtfXogLahHDxXhu,Chill Indie Vibes,"3,320 saves",Zycix,https://open.spotify.com/user/coolcrabbycool
https://open.spotify.com/playlist/2sbp134owpVtrxyEgT1qvo,Country Hue,"10,691 saves",Moodplaylisting,https://open.spotify.com/user/31vtsxu5n2llsja436jvhkbvbapu
https://open.spotify.com/playlist/5lAEVVK6zRMcmsaCUQrnJx,Cooking Vibes 👨‍🍳,"4,356 saves",Frank Parzynski,https://open.spotify.com/user/frank.parzynski
https://open.spotify.com/playlist/4SJQGBRIF9UZ2Pa2Unl6ll,"Love Songs❤️(2021s,2010s,2000s & 90s)","1,267 saves",MELODIK,https://open.spotify.com/user/12151746616
https://open.spotify.com/playlist/0oDuWqM8VRVLwE0lsBWOi5,Best Country Music 2024 🎸 - Vibe Selection | T-VERSE |,"1,796 saves",T-VERSE,https://open.spotify.com/user/nvzsbq14y9ukdylnu784njmx4
https://open.spotify.com/playlist/3pxSoODyWksOyoODbdgKTJ,COUNTRY 2024🍺 Top 301 Marto,"1,433 saves""url,playlistName,saves
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,""351,942 saves",Marto Napoli,https://open.spotify.com/user/12154653137
https://open.spotify.com/playlist/37i9dQZF1DZ06evO23Vfpd,This Is Shaboozey,"22,863 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSBi5svWQ9Nk,Hot Hits NL,"928,681 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5lH9NjOeJvctAO92ZrKQNB,Top 40,"335,052 saves",Nederlandse Top 40,https://open.spotify.com/user/nederlandse_top_40
https://open.spotify.com/playlist/37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,"618,789 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,"915,453 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,"546,065 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSK8os4XIQBk,All About Country,"551,644 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5KJDMJe9EJ7QRz8FG2MIpI,BEST HITS 2024 🔥 Popular Songs 🎵 Top Music Hits 🎵 Summer 2024,"269,631 saves",hotamazingnetwork,https://open.spotify.com/user/hotamazingnetwork
https://open.spotify.com/playlist/37i9dQZF1DWTMYgB8TqtmR,Hot Hits Sweden,"882,907 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX4zbZrYRGVam,Songs of Summer,"108,679 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,"815,037 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2rQTKyoNgZbc8wqIwI1Jq3,SUMMER VIBES 2024 🌴 CHILL HITS,"378,967 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/37i9dQZF1DX8685vIIepKh,Garde la pêche !,"739,193 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,Breakout Country,"575,976 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0iNOs9oXZfkKkZceQlPNcd,Top 40 | Qmusic,"106,770 saves",QmusicNL,https://open.spotify.com/user/qmusicnl
https://open.spotify.com/playlist/37i9dQZF1DWXT8uSSn6PRy,Hot Hits Canada,"897,289 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,"440,162 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYAaAF4glatK,Summer Hits,"340,028 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXdrln2UyZD7F,La vie est belle,"910,575 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbS5WTN5nKF7,Hit Radio,"391,775 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,298 saves",partyfiesta!,https://open.spotify.com/user/partyfiesta%21
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,Party Cove,"441,243 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWTh5RC6ek3nb,Sommarhits 2024,"565,871 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,"216,460 saves""url,playlistName,saves
https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy,COUNTRY HITS 2024 🔥 New Country Songs + Top Hits,""351,944 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,Breakout Country,"575,976 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3hPCXzE58raLtT3OlwTaNy,Twister (2024) Soundtrack,"23,251 saves",Nitrocide,https://open.spotify.com/user/nitrocide88
https://open.spotify.com/playlist/37i9dQZF1DWSK8os4XIQBk,All About Country,"551,644 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWUPPdrlg41gp,Twisters Official Playlist,"45,665 saves",Spotify,https://open.spotify.com/user/spotify
