url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),"156,382 saves",rwinslow71,https://open.spotify.com/user/1276364988
https://open.spotify.com/playlist/7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,"342,044 saves",Harrison Harper Snell,https://open.spotify.com/user/1255127429
https://open.spotify.com/playlist/02t75h5hsNOw4VlC1Qad9Z,Country Bangers Only 🤘🏻,"175,003 saves",rmcbride7,https://open.spotify.com/user/buhmann.levi
https://open.spotify.com/playlist/249vSAsgkCMpMANGVu1s8C,Country Americano - O melhor,"127,044 saves",Thiago Arruda,https://open.spotify.com/user/1230976112
https://open.spotify.com/playlist/5LeYztyxSMJLwotoHVQbZi,Country Party Songs 🤠 🍻,"43,106 saves",zkags04,https://open.spotify.com/user/zacharykillam
https://open.spotify.com/playlist/3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,"194,236 saves",Sam B.,https://open.spotify.com/user/sambone2
https://open.spotify.com/playlist/4ixyNYbOmVoLpp6sttwrfs,"zach bryan, hozier, lumineers, noah kahan esque","72,127 saves",sarah l. ☆,https://open.spotify.com/user/316ox4eblj3n63k66cd66vkcpzre
https://open.spotify.com/playlist/69sctJ0acuqqO1dAjcSdBj,80's Country (Top 100),"55,056 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/3kEnfYJ3dyBG05cRm6UDnZ,70s Country (Top 100),"26,535 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),"170,272 saves",a.j.matthews16,https://open.spotify.com/user/tdkqms1h1k98zcv23ug77vcb1
https://open.spotify.com/playlist/1qSvZo8CxjQY0QRdNpchsR,American Country 🇺🇸,"64,522 saves",bradwelling1999,https://open.spotify.com/user/backsideburbank
https://open.spotify.com/playlist/6eKwl5AJDWSCTt2NCFpqZm,Country Rap Mashup 🤠🎧,"26,992 saves",missmarlboro,https://open.spotify.com/user/allansauce
https://open.spotify.com/playlist/17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,"103,646 saves",sissytelford88,https://open.spotify.com/user/megmo88
https://open.spotify.com/playlist/1jvjtSC5sqLFwVSLiw00uB,TEXAS COUNTRY 🌵,"16,444 saves",TXForever1836,https://open.spotify.com/user/12182866998
https://open.spotify.com/playlist/4CVE5ytphCc9rVXqk8H5v7,NOW 100 Hits Country,"6,340 saves",J. Chesterfield,https://open.spotify.com/user/1295843890
https://open.spotify.com/playlist/4NNgX1wuo1iTPuXLT0ZbvZ,Tennessee Whiskey 🥃,"47,302 saves",J.B. Treeby,https://open.spotify.com/user/1263251846
https://open.spotify.com/playlist/0GZM6ZsIAeztGV7qmR3tkE,sad country shit,"23,934 saves",Nelson Wyatt III,https://open.spotify.com/user/227kwlvfta3qmsaavy6izfrly
https://open.spotify.com/playlist/6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,"59,895 saves",tgdeere97,https://open.spotify.com/user/travisgadient
https://open.spotify.com/playlist/4nNUAkw3i6SXcjzYDMUPIT,Fishing Country Songs 🎣,"17,503 saves",clovell-2,https://open.spotify.com/user/jesswalker1
https://open.spotify.com/playlist/1lcbYKyLFvyLb5rZXbVVYc,Country Playlist 🤠,"23,259 saves",Randy Frey,https://open.spotify.com/user/128222885
