url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,"165,438 saves",vicky's world <3,https://open.spotify.com/user/vvk188m7ueif0ygf6p9nv7bh0
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"300,902 saves",Unplugged,https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy
https://open.spotify.com/playlist/1gpieiLrFEDBqKZ9kHVc90,James Arthur melhores ❣️🎶,"13,537 saves",James Arthur,https://open.spotify.com/user/22liutrpltyg7x5f2c7ef3iji
https://open.spotify.com/playlist/37i9dQZF1DX1ngEVM0lKrb,Pop Internacional 2024,"672,825 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6EjwG58sVXTjqTVgPBzwoW,James Arthur 🤗,"8,599 saves",niy@,https://open.spotify.com/user/t8alcutepoo0t075r5ugvmkq4
https://open.spotify.com/playlist/2zrH75nfqPyy1QGQrCSlmA,lovee ♥️,"33,244 saves",🫶Anaya🫶,https://open.spotify.com/user/xd2l2mz11akqmvnx0la0q50ag
https://open.spotify.com/playlist/1Ayv3KBdJwWTnG28iGsAYj,James Arthur Playlist,"3,664 saves",wthfbublle,https://open.spotify.com/user/31pdfjcw4rabcaxnhk4exlri77wu
https://open.spotify.com/playlist/4AO6oKCkkkC5SXZoak13S5,sad galau brutal 😢,"23,926 saves",Calm Radio,https://open.spotify.com/user/p8i783maagp01g0lca7jqk8wo
https://open.spotify.com/playlist/3mt7YKTwDZI4xoehun3uFQ,pov: breakdown malala pota,"145,206 saves",riri,https://open.spotify.com/user/22epnxi7s67nyxmdsrnivcpqy
https://open.spotify.com/playlist/2JtMCwq7aSoxf4EACEqZL9,LAGU INGGRIS SAD VIBES🤍✨,"75,058 saves",Playlst Recordings,https://open.spotify.com/user/31ytfhkn5yyfcm2n7ashbzapfh64
https://open.spotify.com/playlist/4kZ5vf6eD8GfF4aRfvjF5j,LAGU TIKTOK VIRAL 2024 - Lagu inggris TikTok - Hot Hits Indonesia TikTok Hits Lagu Viral TikTok FYP,"63,492 saves",Sounds of Someday | SOS,https://open.spotify.com/user/5wi87sgd8qz0wa2nhozzbwq74
https://open.spotify.com/playlist/7stJJVvNTQ7o9fZOoqKW24,Sad vibes tiktok 2024 🎵,"113,895 saves",kat ♡,https://open.spotify.com/user/katrinasynchro
https://open.spotify.com/playlist/3eRDrCYLPbpbrK6xdw8AyO,inggris tiktok viral song,"46,573 saves",lndyalmraa,https://open.spotify.com/user/31pvgypjnvjxyooliqcyarhfeahu
https://open.spotify.com/playlist/32fmHQIVPJvrvaSw4i1OTR,musicas triste em inglês para sofrer sem entender nada,"41,456 saves",Alicia Noronha,https://open.spotify.com/user/312luipzllarw6vcfbe5cxglxhzq
https://open.spotify.com/playlist/6P98cP6nMIlk4AWB4wPMJf,LOUNGE MUSIC 2024,"998,382 saves",OneSevenMusic,https://open.spotify.com/user/hbhz741mqsyfv0zafwby1nbq0
https://open.spotify.com/playlist/1wTf3PgBefW4tOmj2eDtGm,Mode Sad ML,"8,127 saves",HAMMZ,https://open.spotify.com/user/31aa26nmebonyjeatyw3hfmxbdgm
https://open.spotify.com/playlist/7ruRiMsFDd8eWnqLBfpUkY,James Arthur - Tour Setlist 2024,"3,022 saves",lottevanderheijden,https://open.spotify.com/user/7956u0w61k4zn1k1bho4233wq
https://open.spotify.com/playlist/5irzXdNeeKc0Dg3UK4Ww6n,Sad songs everyone knows 😢🎵,"59,090 saves",Calm Radio,https://open.spotify.com/user/p8i783maagp01g0lca7jqk8wo
https://open.spotify.com/playlist/2nzVCXza1cHdl0jk7vmdNQ,tiktok music - tiktok hits 2024,"105,404 saves",silva,https://open.spotify.com/user/62wzf85cq4gbj86et0m44dn0l
https://open.spotify.com/playlist/61VZ7ZWnpXS6idfynGbU8d,GALAU BRUTAL🤡🤡,"51,000 saves",subqiee,https://open.spotify.com/user/31fb54fmqraicv6h4maughtndrwq
https://open.spotify.com/playlist/6yYA6aUGp8qUTgQWWYkPkP,crying myself to sleep 😢 sad songs,"422,492 saves",Stormy Chocada,https://open.spotify.com/user/biels09
https://open.spotify.com/playlist/1ai10axqhUX88pDiGVZEer,Summer Mix 2024 🌴 Beach Vibes 2024,"147,794 saves",One More Rep,https://open.spotify.com/user/df2syndivahv6cpr0b5gpizwu
https://open.spotify.com/playlist/6tSugmKKNj6KlZuj268M5M,"""CALON TARUNA""","39,027 saves",Mer,https://open.spotify.com/user/31zq6d5p547274ds3hxynqmgfsry
https://open.spotify.com/playlist/2CMcLwYip2nL0urcHWawOB,Sad songs for the boys,"16,255 saves",🌙,https://open.spotify.com/user/nb7lk3qy1qc38zirpalk2pe99
https://open.spotify.com/playlist/5hOH3HcnQon0lWreL9Tfwx,NANGIS AMPE MATA BENGKAK 😭,"223,949 saves",@radionangis,https://open.spotify.com/user/31vitks5btv53w6tfu23bocixkm4
https://open.spotify.com/playlist/37i9dQZF1DX4Umko6nOmN7,Lugnt & Skönt,"620,853 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1mfuKA5qmOUWvOvMhN5rA4,Kumpulan lagu barat yang enak didengar,"6,126 saves",ZeettennS,https://open.spotify.com/user/31ay2cr3wesauf3bvmtljby46k4i
https://open.spotify.com/playlist/3BnhVf03cMI7vvJnbaVcpv,Lagu Sad Inggris+Indonesia fyp tiktok,"18,745 saves",loving yourself is better,https://open.spotify.com/user/31vhwjjclt6emnwc4bwg5plwor7i
https://open.spotify.com/playlist/37i9dQZF1DXd9zR7tdziuQ,Hits acústicos,"934,813 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0uzdNC,This Is Daniela Andrade,"22,090 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8Yh4s5ZlkHg,sexy indie,"134,027 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5fPDWsuu7rjLdrfLkJP0mm,Best Acoustic Covers,"9,048 saves",Alessio Ansini,https://open.spotify.com/user/anzinen
https://open.spotify.com/playlist/5sY9v4pg7jEFLHyIjLNrdY,The Best Acoustic Covers,"33,834 saves",Mashable,https://open.spotify.com/user/mashablehq
https://open.spotify.com/playlist/37i9dQZF1DWXnscMH24yOc,Chill Covers,"475,171 saves",Spotify,https://open.spotify.com/user/spotify
